Government Dated Securities and Treasury Bills
at RBI, Mumbai on 1 November 2000
 11.40 %  2008                      5.00          100.07          11.3794
 11.40 %  2008                      5.00          100.09          11.3755
 11.40 %  2008                      5.00          100.09          11.3755
 11.40 %  2008                      5.00          100.065         11.3804
 11.40 %  2008                      5.00          100.095         11.3745
 11.40 %  2008                      5.00          100.095         11.3745
 11.40 %  2008                      5.00          100.095         11.3745
 11.40 %  2008                      0.50          100.15          11.3637
 11.50 %  2008                      5.00          100.36          11.4242
 11.50 %  2008                      5.00          100.36          11.4242
 11.50 %  2007                      5.00          101.13          11.2567
 11.50 %  2007                      5.00          101.095         11.2640
 11.00 %  2006                      5.00          100.05          10.9792
 11.00 %  2006                      5.00          100.055         10.9780
 11.00 %  2006                      5.00          100.06          10.9769
 11.00 %  2006                      5.00          100.06          10.9769
 11.00 %  2006                      5.00          100.04          10.9816
 11.68 %  2006                      5.00          102.80          10.9790
 11.68 %  2006                      5.00          102.80          10.9790
 14.00 %  2005(INSTA                5.00          110.97          11.0151
 14.00 %  2005(INSTA                1.20          110.70          11.0836
 11.19 %  2005                      5.00          101.45          10.7840
 11.19 %  2005                     10.00          101.45          10.7840
 11.19 %  2005                      1.40          101.22          10.8463
 12.50 %  2004                      5.00          105.14          10.6465
 12.50 %  2004                      5.00          105.14          10.6465
 12.50 %  2004                      5.00          105.145         10.6448
 12.50 %  2004                      5.00          105.145         10.6448
 12.50 %  2004                     10.00          105.13          10.6500
 12.50 %  2004                      5.00          105.10          10.6604
 11.10 %  2003                      5.00          101.125         10.5559
 11.15 %  2002                      5.00          101.13          10.4376
 11.15 %  2002                      5.00          101.13          10.4376
 11.15 %  2002                      5.00          101.13          10.4376
 11.75 %  2001                     10.00          101.06          10.3186
 11.75 %  2001                      5.00          101.065         10.3122
 11.75 %  2001                      0.70          101.14          10.2154
 11.55 %  2001                     10.00          100.745         10.3181
  5.75 %  2001                      0.0073         93.35          16.6562
          Contract Date : October 31, 2000
 11.03 %  2012                      2.50           95.72          11.7043
          Contract Date : October 30, 2000
A.Government of India Dated Securities
I.  Outright Transactions
---------------------------------------------------------------------------
                                 (in Rs.Crore)    nominal
                                 (Face Value)     Per Rs.100   Indicative
   Nomenclature                  Amount           Price *        YTM %
---------------------------------------------------------------------------
Subsidiary General Ledger Account Transactions in 10.85 %  2001                      5.00          100.34          10.3151
 11.55 %  2001                     10.00          100.74          10.3260
 11.55 %  2001                      5.00          100.74          10.3260
 11.55 %  2001                      5.00          100.74          10.3260
 11.55 %  2001                      5.00          100.74          10.3260
 13.85 %  2001                      0.10          101.677          9.4141
          Contract Date : November 01, 2000
 12.30 %  2016                      0.75          103.50          11.7993
 11.03 %  2012                      5.00           95.74          11.7011
 11.03 %  2012                      5.00           95.74          11.7011
 11.03 %  2012                      5.00           95.74          11.7011
 11.03 %  2012                      3.00           95.76          11.6978
 11.03 %  2012                      0.10           95.78          11.6945
 11.03 %  2012                      5.00           95.72          11.7044
 11.03 %  2012                     10.00           95.72          11.7044
 11.03 %  2012                     10.00           95.73          11.7027
 11.03 %  2012                      5.00           95.72          11.7044
 11.03 %  2012                     10.00           95.73          11.7027
 11.03 %  2012                     10.00           95.72          11.7044
 11.03 %  2012                      5.00           95.73          11.7027
 11.03 %  2012                      3.00           95.78          11.6945
 11.30 %  2010                      5.00           98.26          11.5958
 11.30 %  2010                     10.00           98.28          11.5923
 11.30 %  2010                      5.00           98.28          11.5923
 11.30 %  2010                      1.50           98.10          11.6240
 11.30 %  2010                      5.00           98.29          11.5905
 11.30 %  2010                      5.00           98.29          11.5905
 11.30 %  2010                      5.00           98.28          11.5923
 11.30 %  2010                      5.00           98.285         11.5914
 11.30 %  2010                      5.00           98.29          11.5905
 11.30 %  2010                      5.00           98.27          11.5941
 11.30 %  2010                      5.00           98.29          11.5905
 11.30 %  2010                     10.00           98.28          11.5923
 11.30 %  2010                     10.00           98.275         11.5932
 11.30 %  2010                      5.00           98.29          11.5905
 11.30 %  2010                      5.00           98.28          11.5923
 11.30 %  2010                      5.00           98.29          11.5905
 11.30 %  2010                      5.00           98.28          11.5923
 11.30 %  2010                      0.50           98.35          11.5800
 11.30 %  2010                      0.50           98.40          11.5712
 11.40 %  2008                      5.00          100.07          11.3794
 11.40 %  2008                     10.00          100.07          11.3794
 11.40 %  2008                      5.00          100.085         11.3765
 11.40 %  2008                      5.00          100.065         11.3804
 11.40 %  2008                      1.00           99.89          11.4147
 11.40 %  2008                     15.00          100.06          11.3814
 11.40 %  2008                     10.00          100.075         11.3784
 11.40 %  2008                      5.00          100.09          11.3755
 11.40 %  2008                      5.00          100.095         11.3745
 11.40 %  2008                      5.00          100.07          11.3794
 11.40 %  2008                      5.00          100.10          11.3735
 11.40 %  2008                      5.00          100.10          11.3735
 11.40 %  2008                     10.00          100.10          11.3735
 11.40 %  2008                      5.00          100.09          11.3755
 11.40 %  2008                     10.00          100.07          11.3794
 11.40 %  2008                      5.00          100.095         11.3745
 11.40 %  2008                      5.00          100.07          11.3794 11.00 %  2006                     10.00          100.06          10.9769
 11.00 %  2006                      5.00          100.08          10.9721
 11.00 %  2006                      5.00          100.07          10.9745
 11.00 %  2006                      5.00          100.07          10.9745
 11.00 %  2006                      5.80          100.07          10.9745
 11.00 %  2006                      5.00          100.07          10.9745
 11.00 %  2006                      5.00          100.07          10.9745
 11.00 %  2006                      5.00          100.08          10.9721
 11.00 %  2006                      5.00          100.08          10.9721
 11.00 %  2006                      5.00          100.08          10.9721
 11.00 %  2006                      5.00          100.08          10.9721
 11.00 %  2006                      5.00          100.06          10.9769
 11.00 %  2006                     10.00          100.06          10.9769
 11.00 %  2006                      5.00          100.065         10.9757
 11.00 %  2006                      5.00          100.055         10.9780
 11.00 %  2006                      5.00          100.055         10.9780
 11.00 %  2006                      5.00          100.065         10.9757
 11.00 %  2006                      5.00          100.06          10.9769
 11.00 %  2006                      5.00          100.055         10.9780
 11.00 %  2006                      5.00          100.07          10.9745
 11.68 %  2006                      5.00          102.82          10.9741
 11.68 %  2006                      5.00          102.80          10.9790
 11.68 %  2006                      5.00          102.77          10.9863
 11.19 %  2005                      5.00          101.45          10.7840
  9.90 %  2005                      5.00           96.90          10.7898
  9.90 %  2005                      5.00           96.88          10.7957
 11.98 %  2004                      5.00          103.905         10.7061
 11.98 %  2004                      5.00          103.90          10.7077
 12.50 %  2004                      5.00          105.14          10.6465
 12.50 %  2004                     10.00          105.15          10.6431
 12.50 %  2004                      5.00          105.145         10.6448
 12.50 %  2004                      5.00          105.145         10.6448
 12.50 %  2004                      5.00          105.135         10.6483
 12.50 %  2004                      5.00          105.135         10.6483
 12.50 %  2004                      5.00          105.145         10.6448
 12.50 %  2004                      5.00          105.17          10.6361
 12.50 %  2004                      5.00          105.14          10.6465
 12.50 %  2004                      5.00          105.16          10.6396
