Government Dated Securities and Treasury Bills
at RBI, Mumbai on 29 July 2000
1
 11.00 %  2006                     15.00          100.00          11.0000
 11.00 %  2006                     18.75          100.00          11.0000
 11.00 %  2006                     37.50          100.00          11.0000
 11.00 %  2006                     18.75          100.00          11.0000
 13.85 %  2006(INSTA                0.0875        112.00          11.0250
 11.68 %  2006                      5.00          102.97          10.9567
 11.68 %  2006                      5.00          102.84          10.9874
 11.68 %  2006                      5.00          102.96          10.9591
 11.68 %  2006                      5.00          102.96          10.9591
 11.75 %  2004                      5.00          102.87          10.8185
 11.50 %  2004                      0.028         102.15          10.7804
 12.50 %  2004                      5.00          105.15          10.7465
 12.50 %  2004                      5.00          105.175         10.7383
 12.50 %  2004                      5.00          105.175         10.7383
 12.50 %  2004                      5.00          105.155         10.7448
 12.50 %  2004                      5.00          105.17          10.7399
 12.50 %  2004                      5.00          105.19          10.7334
 12.50 %  2004                      5.00          105.19          10.7334
 12.50 %  2004                      2.00          105.20          10.7301
 11.10 %  2003                      5.00          101.15          10.5831
 11.10 %  2003                      5.00          101.20          10.5615
 11.10 %  2003                     10.00          101.15          10.5831
 11.55 %  2001                      0.71          101.30          10.0277
 11.40 %  2000                      5.00          100.185         10.0796
 11.40 %  2000                     10.00          100.14          10.3482
 11.40 %  2000                      5.00          100.18          10.1094
 11.40 %  2000                     10.00          100.14          10.3482
          Contract Date : July 28, 2000
 11.50 %  2010                     15.00          101.23          11.2851
 12.29 %  2010                      5.00          105.68          11.2996
 11.90 %  2007                      5.00          104.05          11.0334
 12.50 %  2004                      5.00          105.15          10.7474
          Contract Date : July 27, 2000
 11.95 %  2004                      5.00          103.23          10.9299
 11.95 %  2004                      5.00          103.23          10.9299
          Contract Date : July 26, 2000
 11.00 %  2006                     10.00          100.02          10.9936
 10.20 %  2005                     10.00           97.65          10.8213
          Contract Date : July 18, 2000
A.Government of India Dated Securities
I.  Outright Transactions
---------------------------------------------------------------------------
                                 (in Rs.Crore)    nominal
                                 (Face Value)     Per Rs.100   Indicative
   Nomenclature                  Amount           Price *        YTM %
---------------------------------------------------------------------------
Subsidiary General Ledger Account Transactions in2
 11.00 %  2006                     20.00          100.01          10.9977
 11.00 %  2006                     10.00          100.00          11.0000
 11.00 %  2006                      0.50          100.00          11.0000
 11.00 %  2006                     40.00          100.00          11.0000
 11.00 %  2006                     25.00          100.00          11.0000
 11.00 %  2006                     25.00          100.00          11.0000
 11.00 %  2006                     10.00          100.00          11.0000
 11.00 %  2006                     10.00          100.00          11.0000
