Government Dated Securities and Treasury Bills
Mumbai on 06 November 2000
%  2008                      5.00          100.85          11.2270 11.40 
%  2008                      5.00          100.85          11.2270 11.40 
%  2008                     10.00          100.90          11.2173 11.40 
%  2008                      5.00          103.85          11.2264 12.00 
%  2008                      0.214          90.50          11.4494  9.50 
%  2006                     10.00          100.50          10.8719 11.00 
%  2006                      5.00          100.57          10.8552 11.00 
%  2006                      5.00          100.58          10.8528 11.00 
%  2006                      5.00          100.57          10.8552 11.00 
%  2006                      5.00          100.57          10.8552 11.00 
%  2006                      5.00          100.56          10.8576 11.00 
%  2006                      5.00          100.59          10.8505 11.00 
%  2006                      5.00          100.61          10.8457 11.00 
%  2005                      0.086         110.95          10.8992 14.00 
%  2004                     10.00          105.40          10.5520 12.50 
%  2004                     10.00          105.41          10.5486 12.50 
%  2004                      5.00          105.31          10.5833 12.50 
%  2004                      5.00          105.39          10.5555 12.50 
%  2004                      5.00          105.42          10.5451 12.50 
%  2004                      5.00          105.42          10.5451 12.50 
%  2004                      5.00          105.42          10.5451 12.50 
%  2004                      5.00          105.42          10.5451 12.50 
%  2003                     10.00          101.315         10.4635 11.10 
%  2002                     10.00          101.27          10.3489 11.15 
%  2001                     25.00          101.06          10.3038 11.75 
%  2001                      5.00          100.32          10.3381 10.85 
Date : November 04, 2000          Contract 
%  2010                      5.00           98.95          11.4750 11.30 
%  2010                      5.00           98.95          11.4750 11.30 
%  2010                      5.00           99.08          11.4524 11.30 
%  2008                     15.00          100.63          11.2699 11.40 
%  2008                     10.00          100.63          11.2699 11.40 
%  2008                     10.00          100.69          11.2582 11.40 
%  2008                      5.00          103.57          11.2816 12.00 
%  2008                      5.00          103.51          11.2934 12.00 
%  2007                      2.00          103.58          11.1135 11.90 
%  2007                      3.00          103.58          11.1135 11.90 
%  2006                      5.00          103.00          10.9293 11.68 
%  2005                      5.00          101.70          10.7160 11.19 
%  2004                      5.00          105.40          10.5535 12.50 
%  2004                     10.00          105.40          10.5535 12.50 
Date : November 03, 2000          Contract 
A.Government of India Dated Securities
I.  Outright Transactions
---------------------------------------------------------------------------
Rs.Crore)    nominal in                                  (
Rs.100   Indicative                                 (Face Value)     Per 
Nomenclature                  Amount           Price *        YTM %   
---------------------------------------------------------------------------
at RBI, 
Subsidiary General Ledger Account Transactions in%  2012                      5.00           96.50          11.5775 11.03 
%  2012                      5.00           96.70          11.5451 11.03 
%  2012                      5.00           96.695         11.5459 11.03 
%  2012                      5.00           96.65          11.5532 11.03 
%  2012                      5.00           96.69          11.5467 11.03 
%  2012                      5.00           96.73          11.5403 11.03 
%  2012                      5.00           96.73          11.5403 11.03 
%  2012                      5.00           96.60          11.5613 11.03 
%  2012                      5.00           96.70          11.5451 11.03 
%  2010                      5.00           99.42          11.3934 11.30 
%  2010                     10.00           99.37          11.4021 11.30 
%  2010                      5.00           99.36          11.4038 11.30 
%  2010                      5.00           99.35          11.4055 11.30 
%  2010                      5.00           99.40          11.3969 11.30 
%  2010                      1.00           98.50          11.5538 11.30 
%  2010                      5.00           99.56          11.3692 11.30 
%  2010                      5.00           99.30          11.4142 11.30 
%  2010                      5.00           99.39          11.3986 11.30 
%  2010                     10.00           99.38          11.4003 11.30 
%  2010                      5.00           99.27          11.4194 11.30 
%  2010                      5.00           99.46          11.3865 11.30 
%  2010                      5.00           99.16          11.4385 11.30 
%  2010                      5.00           99.24          11.4246 11.30 
%  2010                      5.00           99.45          11.3882 11.30 
%  2010                     10.00           99.45          11.3882 11.30 
%  2010                      5.00           99.405         11.3960 11.30 
%  2010                      5.00           99.44          11.3899 11.30 
%  2010                      5.00           99.60          11.3623 11.30 
%  2010                      5.00           99.37          11.4021 11.30 
%  2010                      5.00           99.58          11.3657 11.30 
%  2010                      5.00           99.45          11.3882 11.30 
%  2010                      5.00          100.25          11.4518 11.50 
%  2010                     10.00          100.50          11.4084 11.50 
%  2009                      6.00          101.05          11.3033 11.50 
%  2009                     10.00          101.05          11.3033 11.50 
%  2009                     10.00          100.95          11.3217 11.50 
%  2009                      5.00          103.45          11.3396 11.99 
%  2009                     10.00          103.50          11.3305 11.99 
%  2009                      5.00          103.55          11.3213 11.99 
%  2008                     15.00          100.85          11.2270 11.40 
%  2008                      0.50          100.60          11.2756 11.40 
%  2008                      1.00          100.61          11.2737 11.40 
%  2008                      5.00          100.83          11.2309 11.40 
%  2008                      0.50          100.75          11.2464 11.40 
%  2008                      5.00          100.90          11.2173 11.40 
%  2008                      5.00          100.85          11.2270 11.40 
