Government Dated Securities and Treasury Bills
at RBI, Mumbai on 17 February 2000
1
 12.50 %  2004                      5.00          108.15          10.0198
 12.50 %  2004                      5.00          108.24           9.9939
 12.50 %  2004                      5.00          108.25           9.9910
 12.50 %  2004                      5.00          108.25           9.9910
 12.50 %  2004                      5.00          108.25           9.9910
 12.50 %  2004                      5.00          108.25           9.9910
 12.50 %  2004                      5.00          108.30           9.9766
 12.50 %  2004                      5.00          108.20          10.0054
 12.50 %  2004                      5.00          108.20          10.0054
 12.50 %  2004                      5.00          108.02          10.0574
 12.50 %  2004                      5.00          108.25           9.9910
 12.50 %  2004                      5.00          108.02          10.0574
 12.50 %  2004                      5.00          107.995         10.0646
 12.50 %  2004                      0.15          108.25           9.9910
 12.50 %  2004                      5.00          108.20          10.0054
 12.50 %  2004                      2.00          108.38           9.9536
 12.50 %  2004                      5.00          108.20          10.0054
 12.50 %  2004                      5.00          107.60          10.1790
 11.83 %  2003                     10.00          105.34           9.9415
 11.10 %  2003                      5.00          103.10           9.9164
 11.10 %  2003                      5.00          103.10           9.9164
 11.10 %  2003                      5.00          103.10           9.9164
 11.55 %  2002(I)                  15.00          103.95           9.8576
 11.55 %  2002(I)                   5.00          103.90           9.8782
 11.55 %  2002(I)                  10.00          103.94           9.8617
 11.15 %  2002                     10.00          103.00           9.7827
 11.15 %  2002                      5.00          103.00           9.7827
 11.15 %  2002                      5.00          103.00           9.7827
 11.15 %  2002                      5.00          103.00           9.7827
 11.15 %  2002                      5.00          102.98           9.7916
 11.15 %  2002                     10.00          102.78           9.8808
 11.15 %  2002                      5.00          102.99           9.7871
 11.68 %  2002                      5.00          103.95           9.8358
 11.68 %  2002                      5.00          103.95           9.8358
%  2000                      3.00          100.95           9.7340 11.40 
%  2000                     13.00          100.90           9.8184 11.40 
%  2000                     10.00          100.90           9.4788 11.64 
%  2000                      5.00          100.98           9.2922 11.64 
%  2000                      2.25          100.95           8.0634 13.25 
%  2000                      0.01          101.25           6.5425 13.25 
A.Government of India Dated Securities
I.  Outright Transactions
---------------------------------------------------------------------------
Rs.Crore)    nominal in                                  (
Rs.100   Indicative                                 (Face Value)     Per 
Nomenclature                  Amount           Price *        YTM %   
---------------------------------------------------------------------------
Subsidiary General Ledger Account Transactions in2
 11.90 %  2007                      5.00          108.13          10.2794
 11.90 %  2007                      5.00          108.05          10.2944
 11.90 %  2007                     10.00          108.00          10.3039
 11.75 %  2006                      5.00          106.95          10.1965
 11.68 %  2006                      5.00          106.65          10.1910
 11.68 %  2006                      5.00          106.60          10.2017
 11.68 %  2006                      5.00          106.60          10.2017
 11.19 %  2005                      5.00          104.35          10.1360
 11.19 %  2005                      5.00          104.345         10.1372
 11.19 %  2005                      5.00          104.45          10.1124
 11.19 %  2005                      5.00          104.30          10.1478
 11.19 %  2005                      5.00          104.41          10.1218
 11.19 %  2005                      5.00          104.40          10.1242
 11.19 %  2005                      5.00          104.40          10.1242
 11.19 %  2005                      5.00          104.30          10.1478
 11.19 %  2005                      5.00          104.38          10.1289
 11.19 %  2005                     10.00          104.25          10.1595
 11.19 %  2005                      5.00          104.41          10.1218
 11.19 %  2005                      5.00          104.40          10.1242
 11.19 %  2005                      5.00          104.40          10.1242
 11.19 %  2005                      5.00          104.42          10.1195
 11.19 %  2005                     10.00          104.35          10.1360
 11.19 %  2005                      5.00          104.30          10.1478
 11.19 %  2005                      5.00          104.35          10.1360
 11.98 %  2004                      5.00          107.02          10.0197
 11.98 %  2004                      5.00          107.02          10.0197
 11.98 %  2004                      5.00          106.83          10.0705
 11.98 %  2004                     10.00          106.85          10.0651
 11.98 %  2004                     10.00          107.05          10.0117
 11.98 %  2004                     10.00          107.00          10.0251
 11.98 %  2004                      5.00          107.05          10.0117
 11.98 %  2004                     10.00          106.85          10.0651
 11.98 %  2004                      5.00          107.05          10.0117
 11.98 %  2004                      5.00          107.10           9.9984
 11.98 %  2004                      5.00          107.02          10.0197
 11.98 %  2004                      5.00          107.00          10.0251
 11.98 %  2004                     10.00          106.90          10.0518
 11.98 %  2004                      5.00          107.15           9.9851
 11.98 %  2004                      1.10          107.00          10.0251
 11.98 %  2004                      5.00          107.00          10.0251
 11.75 %  2004                     10.00          105.85          10.0445
 11.75 %  2004                     10.00          105.85          10.0445
 11.50 %  2004                      5.00          104.95          10.0246
 11.50 %  2004                      5.00          105.00          10.0102
 11.50 %  2004                      5.00          104.98          10.0160
 11.50 %  2004                      5.00          104.99          10.0131
 11.50 %  2004                      5.00          104.99          10.0131
 11.50 %  2004                     10.00          104.98          10.0160
 11.50 %  2004                      5.00          104.96          10.0217
 11.50 %  2004                     10.00          104.98          10.0160
 11.50 %  2004                      5.00          105.10           9.9816
 11.50 %  2004                     10.00          104.94          10.0274
 12.50 %  2004                      5.00          108.15          10.0198
 12.50 %  2004                     10.00          108.06          10.0458
 12.50 %  2004                     10.00          108.20          10.00543
 12.00 %  2008                      5.00          108.92          10.3538
