Government Dated Securities and Treasury Bills
at RBI, Mumbai on 13 December 2000
1
 11.50 %  2010                      0.50          102.35          11.0934
  7.50 %  2010                      2.00           80.80          10.7958
  7.50 %  2010                      0.14           75.04          11.9913
 11.50 %  2009                      5.00          102.42          11.0477
 11.99 %  2009                      5.00          105.18          11.0163
 11.99 %  2009                      5.00          105.20          11.0127
 11.99 %  2009                      5.00          105.20          11.0127
 11.99 %  2009                      5.00          105.20          11.0127
 11.99 %  2009                     10.00          105.20          11.0127
 11.40 %  2008                      5.00          102.71          10.8652
 11.40 %  2008                      5.00          102.70          10.8671
 11.40 %  2008                     10.00          102.71          10.8652
 11.40 %  2008                      5.00          102.70          10.8671
 11.40 %  2008                      5.00          102.68          10.8709
 11.40 %  2008                      5.00          102.70          10.8671
 11.40 %  2008                      0.75          101.67          11.0653
 11.40 %  2008                      5.00          102.68          10.8709
 11.40 %  2008                      5.00          102.69          10.8690
 11.40 %  2008                     10.00          102.70          10.8671
 11.40 %  2008                     10.00          102.70          10.8671
 11.40 %  2008                      5.00          102.70          10.8671
 11.40 %  2008                     10.00          102.67          10.8729
 11.40 %  2008                      5.00          102.64          10.8786
 11.40 %  2008                      5.00          102.63          10.8805
 11.40 %  2008                      5.00          102.695         10.8681
 11.40 %  2008                      5.00          102.65          10.8767
 11.40 %  2008                      5.00          102.60          10.8862
 11.40 %  2008                      5.00          102.65          10.8767
 11.40 %  2008                      5.00          102.70          10.8671
 11.40 %  2008                      0.045         103.00          10.8099
 11.90 %  2007                      5.00          105.20          10.7602
 11.90 %  2007                     10.00          105.25          10.7496
 11.90 %  2007                      5.00          105.25          10.7496
 11.90 %  2007                      5.00          105.32          10.7348
 11.00 %  2006                     10.00          101.60          10.6086
 13.85 %  2006(INSTA                0.175         113.79          10.4985
  6.50 %  2005                      0.15658        82.50          11.3171
  9.90 %  2005                      5.00           97.94          10.4934
          Contract Date : December 12, 2000
 11.03 %  2012                      5.00           98.19          11.3100
 11.40 %  2008                      3.00          102.60          10.8863
          Contract Date : December 11, 2000
 11.40 %  2008                      0.30          103.00          10.8103
          Contract Date : December 09, 2000
A.Government of India Dated Securities
I.  Outright Transactions
---------------------------------------------------------------------------
                                 (in Rs.Crore)    nominal
                                 (Face Value)     Per Rs.100   Indicative
   Nomenclature                  Amount           Price *        YTM %
---------------------------------------------------------------------------
Subsidiary General Ledger Account Transactions in2
 11.03 %  2012                      5.00           98.12          11.3213
 11.03 %  2012                      5.00           98.15          11.3165
 11.03 %  2012                      0.75           98.25          11.3006
 11.03 %  2012                      5.00           98.15          11.3165
 11.03 %  2012                      5.00           98.15          11.3165
 11.03 %  2012                      5.00           98.15          11.3165
 11.03 %  2012                     10.00           98.18          11.3117
 11.03 %  2012                      5.00           98.15          11.3165
 11.03 %  2012                     10.00           98.16          11.3149
 11.03 %  2012                     10.00           98.16          11.3149
 11.03 %  2012                      5.00           98.17          11.3133
 11.03 %  2012                      0.35           97.80          11.3723
 11.03 %  2012                     10.00           98.14          11.3181
 11.03 %  2012                      5.00           98.14          11.3181
 11.03 %  2012                      5.00           98.05          11.3324
 11.50 %  2011                      5.00          101.73          11.2194
 11.50 %  2011                      5.00          101.70          11.2242
 11.50 %  2011                     10.00          101.64          11.2337
 11.50 %  2011                      5.00          101.68          11.2274
 11.50 %  2011                      5.00          101.72          11.2210
 11.50 %  2011                     10.00          101.69          11.2258
 11.50 %  2011                      5.00          101.75          11.2162
 11.50 %  2011                      5.00          101.75          11.2162
 11.50 %  2011                      5.00          101.74          11.2178
 11.50 %  2011                      2.50          101.65          11.2321
 11.50 %  2011                      5.00          101.73          11.2194
 11.50 %  2011                      5.00          101.615         11.2377
 11.30 %  2010                      5.00          101.17          11.0942
 11.30 %  2010                     10.00          101.17          11.0942
 11.30 %  2010                      5.00          101.17          11.0942
 11.30 %  2010                      5.00          101.18          11.0925
 11.30 %  2010                      5.00          101.18          11.0925
 11.30 %  2010                      2.00          101.12          11.1027
 11.30 %  2010                      5.00          101.19          11.0908
 11.30 %  2010                      5.00          101.18          11.0925
 11.30 %  2010                      5.00          101.18          11.0925
 11.30 %  2010                      5.00          101.18          11.0925
 11.30 %  2010                      5.00          101.19          11.0908
 11.30 %  2010                      5.00          101.24          11.0823
 11.30 %  2010                      5.00          101.20          11.0891
 11.30 %  2010                      5.00          101.23          11.0840
 11.30 %  2010                      5.00          101.175         11.0933
 11.30 %  2010                      5.00          101.18          11.0925
 11.30 %  2010                      5.00          101.205         11.0882
 11.30 %  2010                      5.00          101.14          11.0993
 11.30 %  2010                      5.00          101.18          11.0925
 11.30 %  2010                      5.00          101.20          11.0891
 11.30 %  2010                     10.00          101.70          11.0043
 11.30 %  2010                     10.00          101.17          11.0942
 11.30 %  2010                      5.00          101.17          11.0942
 11.30 %  2010                      5.00          101.20          11.0891
 11.30 %  2010                      5.00          101.19          11.0908
 11.30 %  2010                      5.00          101.20          11.0891
 11.30 %  2010                      5.00          101.20          11.0891
 11.50 %  2010                     10.00          102.20          11.1189
 11.50 %  2010                      5.00          102.20          11.1189
 11.50 %  2010                      5.00          102.20          11.1189
 11.50 %  2010                     10.00          102.20          11.1189
 11.50 %  2010                     10.00          102.20          11.11893
 11.40 %  2008                      5.00          102.74          10.8594
 11.40 %  2008                      5.00          102.60          10.8861
 11.40 %  2008                      5.00          102.60          10.8861
 11.40 %  2008                     10.00          102.615         10.8833
 11.40 %  2008                      5.00          102.635         10.8794
 11.40 %  2008                      5.00          102.66          10.8747
 11.40 %  2008                      5.00          102.65          10.8766
 11.40 %  2008                      5.00          102.61          10.8842
 11.90 %  2007                     10.00          105.15          10.7703
 11.90 %  2007                     10.00          105.18          10.7639
 11.90 %  2007                      5.00          105.18          10.7639
 11.90 %  2007                     15.00          105.15          10.7703
 11.90 %  2007                      5.00          105.185         10.7629
 11.90 %  2007                      5.00          105.185         10.7629
 11.90 %  2007                      5.00          105.20          10.7597
 11.90 %  2007                      5.00          105.20          10.7597
 11.90 %  2007                      5.00          105.15          10.7703
 11.00 %  2006                      5.00          101.53          10.6253
 11.00 %  2006                      5.00          101.53          10.6253
 11.00 %  2006                     10.00          101.52          10.6276
 11.00 %  2006                     10.00          101.50          10.6324
 11.00 %  2006                     10.00          101.50          10.6324
 11.00 %  2006                      5.00          101.61          10.6062
 11.00 %  2006                      5.00          101.50          10.6324
 11.00 %  2006                      5.00          101.60          10.6086
 11.68 %  2006                      5.00          104.00          10.6674
 11.68 %  2006                      5.00          104.00          10.6674
 11.68 %  2006                      5.00          104.005         10.6662
  9.90 %  2005                     10.00           97.93          10.4965
 12.59 %  2004                     10.00          106.155         10.4507
 12.59 %  2004                     10.00          106.165         10.4474
 12.50 %  2004                      5.00          105.90          10.3186
 12.50 %  2004                      5.00          105.90          10.3186
 12.50 %  2004                      5.00          105.90          10.3186
 11.10 %  2003                      5.00          101.67          10.2559
 11.75 %  2001                     20.00          101.08          10.0612
 11.75 %  2001                      5.00          101.08          10.0612
 11.75 %  2001                      5.00          101.07          10.0761
 11.55 %  2001                     15.00          100.765         10.0670
 11.55 %  2001                     30.00          100.765         10.0670
          Contract Date : December 13, 2000
 11.43 %  2015                      5.00           99.08          11.5568
 11.43 %  2015                      5.00           99.60          11.4822
 11.43 %  2015                      5.00           99.40          11.5108
 11.43 %  2015                      0.50           99.40          11.5108
 11.43 %  2015                      0.03           99.70          11.4679
 12.40 %  2013                     10.00          106.04          11.4784
 11.03 %  2012                      5.00           98.06          11.3308
 11.03 %  2012                      5.00           98.12          11.3213
 11.03 %  2012                      5.00           98.15          11.3165
 11.03 %  2012                     10.00           98.17          11.3133
 11.03 %  2012                      5.00           98.14          11.3181
 11.03 %  2012                      5.00           98.15          11.3165
 11.03 %  2012                      5.00           98.085         11.3268
 11.03 %  2012                      1.00           98.06          11.3308
 11.03 %  2012                      2.00           98.08          11.3276
 11.03 %  2012                     10.00           98.135         11.3189
 11.03 %  2012                      0.24           98.35          11.2847
 11.03 %  2012                      3.00           98.21          11.30704
 11.30 %  2010                      5.00          101.17          11.0942
 11.30 %  2010                      5.00          101.20          11.0891
 11.30 %  2010                      5.00          101.21          11.0874
