Government Dated Securities and Treasury Bills
at RBI, Mumbai on 22 September 2000
1
 11.98 %  2004                      5.00          103.37          10.9069
 11.98 %  2004                      5.00          103.41          10.8944
 11.98 %  2004                      5.00          103.20          10.9597
 11.10 %  2003                      5.00          100.48          10.8735
 11.10 %  2003                      5.00          100.67          10.7864
 11.10 %  2003                      5.00          100.48          10.8735
 11.10 %  2003                      0.05          100.55          10.8414
 11.10 %  2003                      0.24          100.55          10.8414
 11.10 %  2003                      0.09          100.55          10.8414
 11.10 %  2003                      2.00          100.35          10.9332
 11.15 %  2002                      5.00          100.80          10.6753
 11.15 %  2002                      5.00          100.75          10.7042
 11.15 %  2002                      5.00          100.73          10.7158
 11.15 %  2002                      5.00          100.70          10.7332
 11.15 %  2002                     10.00          100.60          10.7913
 11.15 %  2002                      5.00          100.67          10.7507
 11.15 %  2002                      5.00          100.60          10.7913
 11.15 %  2002                      5.00          100.68          10.7449
 11.15 %  2002                     10.00          100.64          10.7681
 11.15 %  2002                     10.00          100.62          10.7797
 11.15 %  2002                      5.00          100.80          10.6753
 11.15 %  2002                      5.00          100.83          10.6579
 11.15 %  2002                      5.00          100.78          10.6869
 11.15 %  2002                      5.00          100.85          10.6463
 11.15 %  2002                      5.00          100.74          10.7100
 11.15 %  2002                      5.00          100.45          10.8786
 11.15 %  2002                      5.00          100.71          10.7274
 11.15 %  2002                      5.00          100.96          10.5826
 11.15 %  2002                      5.00          100.90          10.6173
 11.15 %  2002                      5.00          100.70          10.7332
 11.15 %  2002                      5.00          100.68          10.7449
 11.15 %  2002                      5.00          100.72          10.7216
 11.15 %  2002                      5.00          100.67          10.7507
 11.00 %  2002                      5.00          100.36          10.7349
 11.00 %  2002                      5.00          100.395         10.7111
 11.00 %  2002                      5.00          100.58          10.5858
          Contract Date : September 21, 2000
 11.98 %  2004                      5.00          102.59          11.1511
          Contract Date : September 20, 2000
A.Government of India Dated Securities
I.  Outright Transactions
---------------------------------------------------------------------------
                                 (in Rs.Crore)    nominal
Rs.100   Indicative                                 (Face Value)     Per 
Nomenclature                  Amount           Price *        YTM %   
---------------------------------------------------------------------------
Subsidiary General Ledger Account Transactions in2
 11.40 %  2008                      5.00          100.00          11.3970
 11.40 %  2008                      5.00           99.83          11.4301
 11.40 %  2008                      5.00          100.01          11.3950
 11.40 %  2008                      5.00          100.15          11.3678
 11.40 %  2008                      5.00           99.90          11.4165
 11.40 %  2008                      5.00           99.30          11.5338
 11.40 %  2008                      5.00           99.83          11.4301
 11.40 %  2008                      5.00           99.93          11.4106
 11.40 %  2008                      5.00           99.90          11.4165
 11.40 %  2008                      5.00           99.90          11.4165
 11.40 %  2008                      5.00           99.85          11.4262
 11.40 %  2008                      5.00           99.80          11.4360
 11.40 %  2008                      5.00           99.90          11.4165
 11.00 %  2006                      5.00           99.55          11.0993
 11.00 %  2006                      0.15           99.20          11.1826
 11.00 %  2006                      0.055          99.37          11.1421
 11.00 %  2006                      5.00           99.80          11.0401
 11.00 %  2006                      5.00           99.60          11.0874
 11.00 %  2006                     10.00           99.57          11.0946
 11.00 %  2006                      5.00           99.57          11.0946
 11.00 %  2006                      5.00           99.62          11.0827
 11.00 %  2006                      5.00           99.62          11.0827
 11.00 %  2006                      5.00           99.55          11.0993
