Subsidiary General Ledger Account Transactions in
Government Dated Securities and Treasury Bills
at RBI, Mumbai on 29 February 2000
   1
%  2006                      5.00          107.265         10.1243 11.75 
%  2006                      5.00          107.29          10.1190 11.75 
%  2006                     10.00          106.885         10.1360 11.68 
%  2006                     10.00          106.93          10.1264 11.68 
%  2005                      5.00          104.75          10.0350 11.19 
%  2004                      5.00          107.32           9.9306 11.98 
%  2004                      5.00          107.28           9.9413 11.98 
%  2004                      0.003         109.50           9.8195 12.59 
%  2004                     10.00          108.92           9.9789 12.59 
%  2004                     15.00          108.92           9.9789 12.59 
%  2004                      0.182         109.00           9.9569 12.59 
%  2004                      1.82          109.00           9.9569 12.59 
%  2004                      0.145         109.00           9.9569 12.59 
%  2004                     10.00          105.265          9.9251 11.50 
%  2004                      5.00          105.265          9.9251 11.50 
%  2004                      5.00          108.41           9.9307 12.50 
%  2004                      5.00          108.46           9.9163 12.50 
%  2004                      5.00          108.43           9.9249 12.50 
%  2004                     15.00          108.48           9.9105 12.50 
%  2004                      5.00          108.445          9.9206 12.50 
%  2004                      5.00          108.46           9.9163 12.50 
%  2004                      5.00          108.405          9.9322 12.50 
%  2004                      5.00          108.43           9.9249 12.50 
%  2004                      5.00          108.46           9.9163 12.50 
%  2004                      5.00          108.445          9.9206 12.50 
%  2001                     10.00          102.98           9.5533 11.75 
%  2001                      5.00          103.08           9.4812 11.75 
%  2001                      5.00          103.02           9.5244 11.75 
%  2001                      5.00          103.00           9.5388 11.75 
%  2001                      5.00          103.00           9.5388 11.75 
%  2001                     10.00          102.98           9.5533 11.75 
%  2001                     10.00          101.69           9.5331 10.85 
%  2001                      5.00          101.695          9.5293 10.85 
%  2001                      5.00          102.455          9.5339 11.55 
%  2001                      0.10          104.80           9.0337 13.85 
%  2000                      0.03          103.60           9.1895 13.85 
%  2000                      0.85          101.00           9.5633 11.40 
%  2000                      0.70          100.98           9.5989 11.40 
Bond  2000             15.00           96.650          9.3670 Zero Coupon 
%  2000                      0.40          100.85           7.6674 13.25 
A.Government of India Dated Securities
I.  Outright Transactions
---------------------------------------------------------------------------
Rs.Crore)    nominal in                                  (
Rs.100   Indicative                                 (Face Value)     Per 
Nomenclature                  Amount           Price *        YTM %
---------------------------------------------------------------------------2
 11.99 %  2009                      5.00          109.23          10.3934
 11.99 %  2009                      5.00          109.38          10.3691
 11.99 %  2009                      5.00          109.19          10.3999
 11.99 %  2009                      5.00          109.24          10.3918
 11.99 %  2009                      5.00          109.22          10.3951
 11.99 %  2009                      0.08          109.60          10.3335
 11.99 %  2009                      5.00          109.27          10.3870
 11.99 %  2009                      5.00          109.47          10.3546
 11.99 %  2009                      5.00          109.40          10.3659
 12.00 %  2008                      5.00          109.30          10.2842
 12.00 %  2008                      5.00          109.15          10.3102
 12.00 %  2008                      5.00          109.15          10.3102
 12.00 %  2008                      5.00          109.15          10.3102
 12.00 %  2008                     10.00          108.95          10.3449
 12.00 %  2008                      5.00          109.25          10.2929
 12.00 %  2008                      5.00          109.23          10.2964
 12.00 %  2008                      5.00          109.25          10.2929
 12.00 %  2008                      5.00          109.20          10.3015
 12.00 %  2008                      5.00          109.18          10.3050
 12.00 %  2008                      5.00          109.24          10.2946
 12.00 %  2008                     15.00          108.94          10.3467
 12.00 %  2008                      1.00          108.95          10.3449
 12.00 %  2008                     60.00          108.95          10.3449
 12.00 %  2008                     15.00          108.945         10.3458
 12.00 %  2008                     13.336         108.95          10.3449
 12.00 %  2008                     30.00          108.95          10.3449
 12.00 %  2008                     30.00          108.95          10.3449
 12.00 %  2008                     20.00          108.95          10.3449
 12.00 %  2008                    100.00          108.95          10.3449
 12.00 %  2008                     25.00          108.95          10.3449
 12.00 %  2008                     25.00          108.95          10.3449
 12.00 %  2008                     10.00          108.95          10.3449
 12.00 %  2008                     65.00          108.95          10.3449
%  2008                     25.00          108.95          10.3449 12.00 
%  2008                     25.00          108.95          10.3449 12.00 
%  2008                     50.00          108.95          10.3449 12.00 
%  2008                     25.00          108.95          10.3449 12.00 
%  2008                     10.00          108.95          10.3449 12.00 
%  2008                     25.00          108.95          10.3449 12.00 
%  2008                      1.00          109.25          10.2929 12.00 
%  2008                      5.00          108.95          10.3449 12.00 
%  2007                      5.00          108.37          10.2292 11.90 
