Government Dated Securities and Treasury Bills
at RBI, Mumbai on 13 October 2000
1
 11.30 %  2010                      1.00           97.95          11.6497
 11.30 %  2010                      0.50           97.94          11.6514
 11.30 %  2010                      1.00           97.90          11.6585
 11.30 %  2010                      0.31           98.00          11.6409
 11.30 %  2010                      5.00           97.92          11.6550
 11.30 %  2010                      5.00           97.93          11.6532
 11.30 %  2010                      5.00           97.93          11.6532
 11.30 %  2010                      1.00           97.93          11.6532
 11.30 %  2010                      1.00           97.95          11.6497
 11.30 %  2010                      0.50           97.95          11.6497
 11.30 %  2010                      2.00           97.90          11.6585
 11.30 %  2010                      1.00           97.95          11.6497
 11.30 %  2010                      1.00           97.94          11.6514
 11.30 %  2010                      2.00           97.95          11.6497
 11.30 %  2010                      5.00           97.97          11.6461
 11.30 %  2010                      3.00           97.95          11.6497
 11.40 %  2008                      5.00           99.83          11.4279
 11.40 %  2008                      5.00           99.82          11.4298
 11.40 %  2008                      5.00           99.79          11.4357
 11.40 %  2008                      5.00           99.83          11.4279
 11.40 %  2008                      5.00           99.80          11.4337
 11.40 %  2008                      5.00           99.83          11.4279
 11.68 %  2006                      5.00          102.45          11.0725
 14.00 %  2005                      0.305         110.00          11.1753
 12.50 %  2004                      5.00          104.90          10.7559
 12.50 %  2004                      5.00          104.97          10.7318
 12.50 %  2004                      5.00          104.96          10.7353
 12.50 %  2004                      5.00          105.00          10.7215
 12.50 %  2004                      5.00          104.995         10.7232
 12.50 %  2004                      5.00          104.995         10.7232
 12.50 %  2004                      5.00          104.97          10.7318
 12.50 %  2004                      5.00          104.92          10.7490
 12.50 %  2004                      5.00          104.98          10.7284
 12.50 %  2004                      0.04          105.50          10.5502
 11.10 %  2003                      5.00          100.95          10.6532
 11.15 %  2002                      5.00          100.95          10.5663
 11.15 %  2002                      5.00          100.95          10.5663
 11.00 %  2002                      5.00          100.60          10.5644
 11.75 %  2001                      5.00          100.97          10.5178
          Contract Date : October 12, 2000
A.Government of India Dated Securities
I.  Outright Transactions
---------------------------------------------------------------------------
                                 (in Rs.Crore)    nominal
                                 (Face Value)     Per Rs.100   Indicative
   Nomenclature                  Amount           Price *        YTM %
---------------------------------------------------------------------------
Subsidiary General Ledger Account Transactions in2
 11.40 %  2008                     10.00           99.59          11.4749
 11.40 %  2008                     10.00           99.58          11.4768
 11.40 %  2008                      5.00           99.55          11.4827
 11.40 %  2008                      5.00           99.55          11.4827
 11.40 %  2008                      5.00           99.60          11.4729
 11.40 %  2008                     10.00           99.50          11.4926
 11.40 %  2008                     10.00           99.54          11.4847
 11.40 %  2008                      5.00           99.38          11.5162
 11.40 %  2008                      5.00           99.59          11.4749
 11.40 %  2008                      5.00           99.60          11.4729
 11.40 %  2008                      5.00           99.54          11.4847
 11.40 %  2008                      5.00           99.40          11.5123
 11.40 %  2008                      5.00           99.25          11.5418
 11.40 %  2008                      0.50           99.71          11.4513
 11.68 %  2006                      5.00          102.21          11.1307
 11.68 %  2006                      5.00          102.18          11.1381
 11.68 %  2006                      5.00          102.16          11.1430
 11.68 %  2006                      5.00          102.21          11.1307
 11.68 %  2006                      5.00          102.21          11.1307
 11.98 %  2004                      5.00          103.35          10.8955
 11.98 %  2004                      5.00          103.33          10.9017
 11.98 %  2004                      5.00          103.36          10.8923
 12.50 %  2004                      5.00          104.76          10.8027
 12.50 %  2004                      5.00          104.73          10.8131
 12.50 %  2004                      5.00          104.74          10.8096
 12.50 %  2004                      5.00          104.75          10.8062
 12.50 %  2004                      5.00          104.73          10.8131
 12.50 %  2004                     10.00          104.75          10.8062
 12.50 %  2004                     10.00          104.75          10.8062
 12.50 %  2004                      5.00          104.78          10.7958
 12.50 %  2004                      5.00          104.73          10.8131
 12.50 %  2004                      5.00          104.80          10.7890
 12.50 %  2004                      5.00          104.79          10.7924
 12.50 %  2004                      5.00          104.79          10.7924
 12.50 %  2004                      5.00          104.72          10.8165
 12.50 %  2004                      5.00          104.75          10.8062
 12.50 %  2004                     10.00          104.77          10.7993
 12.50 %  2004                     10.00          104.79          10.7924
 12.50 %  2004                     10.00          104.78          10.7958
 12.50 %  2004                     10.00          104.72          10.8165
 12.50 %  2004                      5.00          104.79          10.7924
 12.50 %  2004                      5.00          104.79          10.7924
 12.50 %  2004                      5.00          104.78          10.7958
 12.50 %  2004                      5.00          104.72          10.8165
 11.10 %  2003                      5.00          100.81          10.7177
 11.10 %  2003                      5.00          100.81          10.7177
 11.10 %  2003                      0.30          101.00          10.6291
 11.15 %  2002                      5.00          100.81          10.6486
          Contract Date : October 13, 2000
 12.60 %  2018                      1.50          105.00          11.9163
 11.83 %  2014                      0.10          101.00          11.6802
  9.00 %  2013                      5.00           85.25          11.2087
 11.30 %  2010                      5.00           97.92          11.6550
 11.30 %  2010                      5.00           97.93          11.6532
 11.30 %  2010                      5.00           97.94          11.65143
 11.40 %  2008                      5.00           99.55          11.4827
 11.40 %  2008                      5.00           99.25          11.5418
 11.40 %  2008                      5.00           99.40          11.5123
 11.40 %  2008                      5.00           99.30          11.5320
 11.40 %  2008                      5.00           99.45          11.5024
 11.40 %  2008                      5.00           99.60          11.4729
 11.40 %  2008                      5.00           99.53          11.4867
 11.40 %  2008                      5.00           99.50          11.4926
 11.40 %  2008                     20.00           99.48          11.4965
 11.40 %  2008                     10.00           99.50          11.4926
