Government Dated Securities and Treasury Bills
at RBI, Mumbai on 31 July 2000
1
 11.00 %  2006                     10.00          100.05          10.9882
 11.00 %  2006                      5.00          100.02          10.9952
 11.00 %  2006                      5.00          100.05          10.9882
 11.00 %  2006                      5.00          100.05          10.9882
 11.00 %  2006                      5.00          100.02          10.9952
 11.00 %  2006                     10.00          100.05          10.9882
 11.00 %  2006                      5.00          100.02          10.9952
 11.00 %  2006                      5.00          100.05          10.9882
 11.00 %  2006                      5.00          100.05          10.9882
 11.95 %  2004                      5.00          103.53          10.8347
 12.50 %  2004                      0.08          105.70          10.5661
 12.50 %  2004                      5.00          105.285         10.7014
 11.10 %  2003                      5.00          101.21          10.5567
 11.15 %  2002                     15.00          101.285         10.4381
 11.15 %  2002                      5.00          101.28          10.4408
 11.15 %  2002                     10.00          101.26          10.4516
 11.15 %  2002                      5.00          101.27          10.4462
 11.75 %  2001                     10.00          101.47          10.2491
 11.55 %  2001                     10.00          101.12          10.2291
 11.40 %  2000                      5.00          100.17          10.1507
          Contract Date : July 29, 2000
 11.50 %  2015                      1.00          100.98          11.3566
 11.00 %  2006                     20.00          100.005         10.9988
 11.00 %  2006                     10.00          100.00          11.0000
 11.00 %  2006                      5.00          100.00          11.0000
 11.00 %  2006                      5.00          100.005         10.9988
 11.00 %  2006                     10.00          100.01          10.9977
 11.00 %  2006                     11.25          100.00          11.0000
 11.00 %  2006                     25.00          100.01          10.9977
 11.00 %  2006                     15.00          100.00          11.0000
 11.68 %  2006                      5.00          102.93          10.9661
 11.95 %  2004                      5.00          103.45          10.8603
 11.95 %  2004                      5.00          103.45          10.8603
 12.50 %  2004                      5.00          105.26          10.7105
 12.50 %  2004                      5.00          105.25          10.7138
 12.50 %  2004                      5.00          105.25          10.7138
 12.50 %  2004                      5.00          105.16          10.7432
 11.75 %  2001                      1.00          101.62          10.1033
          Contract Date : July 28, 2000
A.Government of India Dated Securities
I.  Outright Transactions
---------------------------------------------------------------------------
                                 (in Rs.Crore)    nominal
                                 (Face Value)     Per Rs.100   Indicative
   Nomenclature                  Amount           Price *        YTM %
---------------------------------------------------------------------------
Subsidiary General Ledger Account Transactions in2
 11.95 %  2004                      5.00          103.42          10.8670
 11.95 %  2004                      5.00          103.42          10.8670
 11.95 %  2004                      5.00          103.60          10.8114
 11.50 %  2004                      5.00          102.23          10.7530
 12.50 %  2004                      5.00          105.08          10.7666
 12.50 %  2004                      5.00          105.12          10.7535
 12.50 %  2004                      5.00          105.13          10.7502
 12.50 %  2004                      5.00          105.165         10.7387
 12.50 %  2004                     10.00          105.28          10.7011
 12.50 %  2004                      5.00          105.10          10.7600
 12.50 %  2004                      5.00          105.08          10.7666
 12.50 %  2004                      5.00          105.15          10.7437
 12.50 %  2004                      5.00          105.15          10.7437
 12.50 %  2004                      5.00          105.29          10.6978
 12.50 %  2004                      5.00          105.30          10.6945
 12.50 %  2004                      5.00          105.15          10.7437
 12.50 %  2004                      5.00          105.30          10.6945
 12.50 %  2004                      5.00          105.29          10.6978
 12.50 %  2004                      5.00          105.29          10.6978
 12.50 %  2004                      5.00          105.28          10.7011
 12.50 %  2004                      1.35          106.25          10.3855
 11.75 %  2003                      5.00          102.815         10.5955
 11.15 %  2002                      5.00          101.26          10.4505
 11.15 %  2002                      5.00          100.00          11.1384
 11.15 %  2002                     10.00          100.00          11.1384
 11.15 %  2002                     10.00          100.00          11.1384
 11.15 %  2002                      5.00          101.27          10.4451
 11.15 %  2002                      5.00          101.28          10.4397
 11.15 %  2002                      5.00          101.18          10.4939
 11.15 %  2002                      5.00          101.26          10.4505
 11.15 %  2002                      5.00          101.26          10.4505
 11.75 %  2001                     10.00          100.00          11.7300
 11.75 %  2001                     10.00          100.00          11.7300
 10.85 %  2001                     10.00          100.00          10.8483
 10.85 %  2001                     15.00          100.57          10.2310
 11.55 %  2001                      5.00          100.00          11.5244
 11.55 %  2001                      5.00          101.10          10.2434
 11.40 %  2000                     20.00          100.11          10.4888
 11.40 %  2000                      5.00          100.11          10.4888
          Contract Date : July 31, 2000
 12.60 %  2018                      1.00          109.25          11.3822
 11.50 %  2015                      0.15          102.65          11.1258
 10.79 %  2015                      2.00           98.45          10.9997
 10.79 %  2015                      0.0405         98.00          11.0629
 10.50 %  2014                      3.00           96.20          11.0300
 10.50 %  2014                      5.00           95.35          11.1539
 11.03 %  2012                      5.00           99.10          11.1668
 12.32 %  2011                      5.00          105.61          11.3905
 12.32 %  2011                     10.00          105.60          11.3921
 12.32 %  2011                      0.90          106.20          11.2969
 12.32 %  2011                      5.00          105.62          11.3890
 11.30 %  2010                      5.00          100.005         11.2990
