Government Dated Securities and Treasury Bills
at RBI, Mumbai on 25 September 2000
1
 11.15 %  2002                      5.00          100.82          10.6617
          Contract Date : September 23, 2000
 11.40 %  2008                     10.00          100.05          11.3871
 11.40 %  2008                      5.00          100.15          11.3677
 12.50 %  2004                      5.00          104.95          10.7661
 12.50 %  2004                      5.00          104.95          10.7661
 12.50 %  2004                      5.00          105.00          10.7491
 12.50 %  2004                      5.00          104.96          10.7627
 12.50 %  2004                      5.00          105.05          10.7321
 12.50 %  2004                      5.00          105.22          10.6745
 12.50 %  2004                      5.00          105.06          10.7287
 12.50 %  2004                     15.00          105.00          10.7491
 12.50 %  2004                      5.00          105.00          10.7491
 12.50 %  2004                      5.00          105.05          10.7321
 12.50 %  2004                     10.00          105.16          10.6948
 12.50 %  2004                      5.00          105.00          10.7491
 12.50 %  2004                      5.00          105.02          10.7423
 11.15 %  2002                     10.00          100.77          10.6917
          Contract Date : September 22, 2000
 12.50 %  2004                      5.00          104.90          10.7838
 12.50 %  2004                     10.00          104.80          10.8178
 12.50 %  2004                      5.00          104.32          10.9815
 12.50 %  2004                      5.00          104.62          10.8791
 12.50 %  2004                      5.00          104.63          10.8757
 12.50 %  2004                      5.00          104.90          10.7838
 12.50 %  2004                      5.00          105.00          10.7499
 12.50 %  2004                      5.00          104.85          10.8008
 12.50 %  2004                      5.00          104.97          10.7601
 12.50 %  2004                     15.00          104.65          10.8689
 12.50 %  2004                      5.00          104.63          10.8757
 12.50 %  2004                      5.00          104.80          10.8178
 12.50 %  2004                      5.00          104.65          10.8689
          Contract Date : September 21, 2000
 12.50 %  2004                      5.00          104.23          11.0129
 12.50 %  2004                      5.00          104.34          10.9753
 12.50 %  2004                      5.00          104.32          10.9822
 12.50 %  2004                      5.00          104.33          10.9787
          Contract Date : September 20, 2000
%  2008                      9.147          99.35          11.5243 11.40 
Date : September 19, 2000          Contract 
A.Government of India Dated Securities
I.  Outright Transactions
---------------------------------------------------------------------------
Rs.Crore)    nominal in                                  (
Rs.100   Indicative                                 (Face Value)     Per 
Nomenclature                  Amount           Price *        YTM %   
---------------------------------------------------------------------------
Subsidiary General Ledger Account Transactions in2
 11.15 %  2002                      5.00          100.88          10.6248
 11.15 %  2002                     10.00          100.87          10.6307
 11.15 %  2002                      5.00          100.85          10.6423
 11.15 %  2002                     15.00          100.84          10.6481
 11.15 %  2002                      5.00          100.86          10.6365
 11.15 %  2002                      5.00          100.90          10.6132
 11.15 %  2002                      5.00          100.88          10.6248
 11.15 %  2002                      5.00          100.88          10.6248
 11.00 %  2002                      5.00          100.45          10.6728
 11.00 %  2002                      5.00          100.43          10.6865
 11.00 %  2002                     10.00          100.43          10.6865
