Government Dated Securities and Treasury Bills
at RBI, Mumbai on 31 January 2000
1
%  2003                     10.00          102.26          10.2381 11.10 
%  2003                      5.00          102.255         10.2400 11.10 
%  2003                      5.00          102.24          10.2455 11.10 
%  2002                      5.00          102.155         10.1718 11.15 
%  2002                     25.00          102.10          10.1962 11.15 
%  2002                     25.00          102.155         10.1718 11.15 
%  2002                      5.00          102.20          10.1519 11.15 
%  2002                      5.00          102.20          10.1519 11.15 
%  2002                      0.10          102.25          10.1297 11.15 
%  2002                     15.00          102.17          10.1652 11.15 
%  2002                      5.00          102.15          10.1740 11.15 
%  2002                      5.00          102.155         10.1718 11.15 
%  2002                     10.00          102.155         10.1718 11.15 
%  2002                      5.00          102.20          10.1519 11.15 
%  2002                      5.00          102.15          10.1740 11.15 
%  2002                      5.00          102.16          10.1696 11.15 
%  2002                     10.00          104.84          10.2319 12.69 
%  2002                     10.00          104.89          10.2075 12.69 
%  2001                      5.00          102.30          10.1139 11.75 
%  2001                     10.00          102.32          10.1000 11.75 
%  2001                      5.00          102.32          10.1000 11.75 
%  2001                      5.00          102.325         10.0965 11.75 
%  2001                      5.00          102.33          10.0931 11.75 
%  2001                      5.00          102.35          10.0792 11.75 
%  2001                      5.00          102.32          10.1000 11.75 
%  2001                      5.00          102.35          10.0792 11.75 
%  2001                      5.00          102.33          10.0931 11.75 
%  2001                      5.00          101.90          10.0655 11.55 
%  2001                      5.00          101.905         10.0616 11.55 
%  2001                      5.00          101.90          10.0655 11.55 
%  2001                      5.00          101.895         10.0693 11.55 
%  2001                     15.00          101.865         10.0921 11.55 
%  2001                     10.00          101.89          10.0731 11.55 
%  2001                      5.00          101.90          10.0655 11.55 
%  2001                      5.00          101.92          10.0502 11.55 
%  2001                      5.00          101.90          10.0655 11.55 
%  2001                     10.00          101.88          10.0807 11.55 
Bond  2000 (III)        2.00           95.750         9.8877 Zero Coupon 
%  2000                      0.006         101.27           7.6504 13.25 
A.Government of India Dated Securities
I.  Outright Transactions
---------------------------------------------------------------------------
Rs.Crore)    nominal in                                  (
Rs.100   Indicative                                 (Face Value)     Per 
Nomenclature                  Amount           Price *        YTM %   
---------------------------------------------------------------------------
Subsidiary General Ledger Account Transactions in2
%  2006                      5.00          104.95          10.5626 11.68 
%  2006                      5.00          104.96          10.5605 11.68 
%  2006                      5.00          104.96          10.5605 11.68 
%  2006                     10.00          104.93          10.5670 11.68 
%  2006                      5.00          104.92          10.5691 11.68 
%  2006                     10.00          104.94          10.5648 11.68 
%  2005                      0.20          103.03          10.4528 11.19 
%  2005                      5.00          102.95          10.4718 11.19 
%  2005                      5.00          102.97          10.4671 11.19 
%  2005                      5.00          102.95          10.4718 11.19 
%  2005                      5.00          102.94          10.4742 11.19 
%  2005                      5.00          102.96          10.4695 11.19 
%  2005                     10.00          103.00          10.4599 11.19 
%  2005                      5.00          102.90          10.4838 11.19 
%  2005                      5.00          102.91          10.4814 11.19 
%  2005                      5.00          102.90          10.4838 11.19 
%  2005                      5.00          102.90          10.4838 11.19 
%  2005                      5.00          102.99          10.4623 11.19 
%  2005                      5.00          102.99          10.4623 11.19 
%  2005                      5.00          102.97          10.4671 11.19 
%  2005                      5.00          102.96          10.4695 11.19 
%  2005                      5.00          102.97          10.4671 11.19 
%  2005                      5.00          102.95          10.4718 11.19 
%  2005                      5.00          102.97          10.4671 11.19 
%  2005                      5.00          102.96          10.4695 11.19 
%  2005                      5.00          103.15          10.4604 11.25 
%  2005                      5.00          103.16          10.4580 11.25 
%  2005                      5.00          103.16          10.4580 11.25 
%  2005                      5.00          103.15          10.4604 11.25 
%  2005                     10.00          103.13          10.4653 11.25 
%  2005                      0.20          114.15          10.4708 14.00 
%  2004                     10.00          105.64          10.4001 11.98 
%  2004                      5.00          105.64          10.4001 11.98 
%  2004                      5.00          105.64          10.4001 11.98 
%  2004                      5.00          105.70          10.3840 11.98 
%  2004                      5.00          105.64          10.4001 11.98 
%  2004                     10.00          105.70          10.3840 11.98 
%  2004                     10.00          104.61          10.4059 11.75 
%  2004                      5.00          104.61          10.4059 11.75 
%  2004                     10.00          107.35          10.4478 12.59 
%  2004                      5.00          107.40          10.4340 12.59 
%  2004                      5.00          103.69          10.3977 11.50 
%  2004                     10.00          103.75          10.3804 11.50 
%  2004                     10.00          103.69          10.3977 11.50 
%  2004                      5.00          103.68          10.4006 11.50 
%  2004                      5.00          106.93          10.3898 12.50 
%  2004                     10.00          106.965         10.3797 12.50 
%  2004                      5.00          107.01          10.3666 12.50 
%  2004                      5.00          106.965         10.3797 12.50 
%  2004                      5.00          106.98          10.3753 12.50 
%  2004                      5.00          107.00          10.3695 12.50 
%  2003                      5.00          102.25          10.2418 11.10 
%  2003                      5.00          102.24          10.2455 11.10 
%  2003                      5.00          102.25          10.2418 11.10 
%  2003                      5.00          102.24          10.2455 11.10 3
 11.99 %  2009                      5.00          106.74          10.8080
 11.99 %  2009                     10.00          106.69          10.8163
 11.99 %  2009                      5.00          106.67          10.8197
 11.99 %  2009                      5.00          106.73          10.8097
