Government Dated Securities and Treasury Bills
at RBI, Mumbai on 18 December 2000
 11.40 %  2008                      5.00          102.75          10.8572
 11.40 %  2008                     10.00          102.80          10.8476
 11.40 %  2008                      5.00          102.80          10.8476
 11.40 %  2008                      5.00          102.71          10.8648
 11.40 %  2008                     10.00          102.71          10.8648
 11.40 %  2008                     10.00          102.85          10.8381
 11.40 %  2008                      5.00          102.78          10.8514
 11.40 %  2008                      5.00          102.90          10.8285
 11.40 %  2008                      0.50          102.68          10.8705
 11.90 %  2007                      5.00          105.36          10.7244
 11.90 %  2007                      5.00          105.35          10.7265
 11.90 %  2007                      5.00          105.35          10.7265
 11.00 %  2006                      5.00          101.69          10.5870
 11.00 %  2006                      5.00          101.68          10.5894
 11.00 %  2006                      5.00          101.70          10.5846
 11.00 %  2006                      5.00          101.65          10.5965
 11.00 %  2006                      5.00          101.64          10.5989
 11.19 %  2005                      5.00          102.685         10.4387
 11.19 %  2005                      5.00          102.68          10.4401
 11.95 %  2004                      5.00          104.49          10.4159
 12.59 %  2004                      0.019         107.15          10.1162
 12.50 %  2004                      5.00          105.95          10.2963
 12.50 %  2004                      5.00          105.98          10.2857
 12.50 %  2004                      5.00          105.98          10.2857
 12.50 %  2004                     10.00          105.945         10.2981
 12.50 %  2004                      5.00          105.96          10.2928
 11.15 %  2002                      5.00          101.47          10.1690
          Contract Date : December 16, 2000
 12.40 %  2013                     20.00          106.30          11.4406
 11.03 %  2012                     10.00           98.30          11.2930
 11.03 %  2012                     10.00           98.305         11.2922
 11.03 %  2012                      5.00           98.30          11.2930
 11.50 %  2011                      5.00          101.96          11.1825
 11.30 %  2010                     10.00          101.29          11.0739
 11.30 %  2010                      5.00          101.32          11.0688
 12.50 %  2004                      2.50          105.95          10.2978
          Contract Date : December 15, 2000
 11.75 %  2006                     10.00          103.925         10.7561
          Contract Date : December 14, 2000
 11.03 %  2012                      5.00           98.61          11.1830
          Contract Date : December 16, 2000
A.Government of India Dated Securities
I.  Outright Transactions
---------------------------------------------------------------------------
                                 (in Rs.Crore)    nominal
                                 (Face Value)     Per Rs.100   Indicative
   Nomenclature                  Amount           Price *        YTM %
---------------------------------------------------------------------------
Subsidiary General Ledger Account Transactions in 11.30 %  2010                      5.00          101.40          11.0552
 11.30 %  2010                      5.00          101.43          11.0502
 11.30 %  2010                      5.00          101.42          11.0519
 11.30 %  2010                      5.00          101.42          11.0519
 11.30 %  2010                      5.00          101.42          11.0519
 11.30 %  2010                      5.00          101.46          11.0451
 11.30 %  2010                      5.00          101.375         11.0595
 11.30 %  2010                      1.00          101.39          11.0569
 11.30 %  2010                      5.00          101.465         11.0442
 11.30 %  2010                      5.00          101.38          11.0586
 11.30 %  2010                      5.00          101.45          11.0468
 11.30 %  2010                      5.00          101.38          11.0586
 11.30 %  2010                      5.00          101.46          11.0451
 11.30 %  2010                      5.00          101.46          11.0451
 11.30 %  2010                      5.00          101.39          11.0569
 11.30 %  2010                      5.00          101.44          11.0485
 11.30 %  2010                      5.00          101.46          11.0451
 11.30 %  2010                      5.00          101.48          11.0417
 11.30 %  2010                      5.00          101.44          11.0485
