Government Dated Securities and Treasury Bills
at RBI, Mumbai on 19 December 2000
 11.00 %  2006                      5.00          101.99          10.5156
 11.00 %  2006                      5.00          101.98          10.5180
 11.00 %  2006                      5.00          101.96          10.5227
 11.00 %  2006                      5.00          101.91          10.5346
  6.75 %  2006                      0.015          77.78          12.5246
 11.75 %  2006                      5.00          104.60          10.5896
 11.68 %  2006                      5.00          104.27          10.5992
 11.19 %  2005                      5.00          102.78          10.4124
 11.19 %  2005                      5.00          102.80          10.4069
 11.19 %  2005                      5.00          102.76          10.4178
 11.19 %  2005                      5.00          102.79          10.4096
 11.19 %  2005                      2.00          102.65          10.4477
 13.75 %  2005                      0.01          111.10          10.5138
  9.90 %  2005                      5.00           98.10          10.4473
 11.30 %  2004                     10.00          102.60          10.4545
 11.30 %  2004                     10.00          102.60          10.4545
 11.30 %  2004                     10.00          102.60          10.4545
 11.75 %  2004                      5.00          103.87          10.4032
 11.75 %  2004                     10.00          103.90          10.3930
 11.75 %  2004                      5.00          103.95          10.3760
 12.50 %  2004                     10.00          106.07          10.2507
 12.50 %  2004                      5.00          106.07          10.2507
 12.50 %  2004                     15.00          106.07          10.2507
 12.50 %  2004                      5.00          106.07          10.2507
 12.50 %  2004                      5.00          106.07          10.2507
 12.50 %  2004                      5.00          106.06          10.2542
 12.50 %  2004                      5.00          106.05          10.2578
 12.50 %  2004                      5.00          106.03          10.2648
 12.50 %  2004                      5.00          106.00          10.2755
 12.50 %  2004                      1.00          105.98          10.2826
 12.50 %  2004                     10.00          106.105         10.2383
 12.50 %  2004                      5.00          106.05          10.2578
 12.50 %  2004                     10.00          106.06          10.2542
 11.10 %  2003                      0.015         102.20           9.9909
 11.10 %  2003                      5.00          101.76          10.2067
  5.75 %  2002                      0.0133         90.00          12.9640
 11.75 %  2001                      5.00          101.10           9.9996
 10.85 %  2001                     15.00          100.43          10.0697
          Contract Date : December 18, 2000
 11.03 %  2012                      5.00           98.54          11.2551
          Contract Date : December 16, 2000
A.Government of India Dated Securities
I.  Outright Transactions
---------------------------------------------------------------------------
                                 (in Rs.Crore)    nominal
                                 (Face Value)     Per Rs.100   Indicative
   Nomenclature                  Amount           Price *        YTM %
---------------------------------------------------------------------------
Subsidiary General Ledger Account Transactions in 11.99 %  2009                     10.00          105.89          10.8873
 11.99 %  2009                      5.00          105.91          10.8838
 11.99 %  2009                      5.00          105.98          10.8713
 11.99 %  2009                      5.00          105.98          10.8713
 11.99 %  2009                     10.00          105.85          10.8945
 11.99 %  2009                      5.00          105.65          10.9303
 11.99 %  2009                     10.00          105.85          10.8945
 11.99 %  2009                      5.00          105.88          10.8891
 11.99 %  2009                      5.00          105.91          10.8838
 11.99 %  2009                      5.00          105.90          10.8856
 11.99 %  2009                      5.00          105.90          10.8856
 11.99 %  2009                      5.00          106.00          10.8677
 11.99 %  2009                      5.00          105.72          10.9178
 12.25 %  2008                      0.10          107.05          10.8699
 11.40 %  2008                      5.00          103.17          10.7769
 11.40 %  2008                      5.00          103.00          10.8092
 11.40 %  2008                      5.00          103.13          10.7845
 11.40 %  2008                      5.00          103.23          10.7655
 11.40 %  2008                      0.50          102.80          10.8474
 11.40 %  2008                      5.00          103.18          10.7750
 11.40 %  2008                     15.00          103.18          10.7750
 11.40 %  2008                      5.00          103.15          10.7807
 11.40 %  2008                      5.00          103.15          10.7807
 11.40 %  2008                      5.00          103.32          10.7484
 11.40 %  2008                      5.00          103.00          10.8092
 11.40 %  2008                      5.00          102.95          10.8188
 11.40 %  2008                      5.00          103.14          10.7826
 11.40 %  2008                     10.00          103.12          10.7864
 11.40 %  2008                     10.00          103.12          10.7864
 11.40 %  2008                      0.032         102.70          10.8665
 11.40 %  2008                      5.00          103.13          10.7845
 11.40 %  2008                      5.00          103.15          10.7807
 11.40 %  2008                      5.00          103.18          10.7750
 11.40 %  2008                      5.00          103.15          10.7807
 11.40 %  2008                      5.00          103.15          10.7807
 11.40 %  2008                      5.00          103.14          10.7826
 11.40 %  2008                      5.00          103.10          10.7902
 11.40 %  2008                      5.00          103.03          10.8035
 11.40 %  2008                      5.00          103.17          10.7769
 11.40 %  2008                     10.00          102.97          10.8150
 11.40 %  2008                     10.00          102.97          10.8150
 11.40 %  2008                      5.00          102.92          10.8245
 11.40 %  2008                      5.00          103.17          10.7769
 11.40 %  2008                      5.00          103.17          10.7769
  6.75 %  2007                      0.018          73.81          12.5097
 11.50 %  2007                     10.00          103.67          10.7184
 11.50 %  2007                      8.00          103.46          10.7616
 11.90 %  2007                      5.00          105.56          10.6812
 11.90 %  2007                      5.00          105.61          10.6707
 11.90 %  2007                      5.00          105.64          10.6643
 11.90 %  2007                      5.00          105.51          10.6918
 11.90 %  2007                     10.00          105.50          10.6939
 11.90 %  2007                      5.00          105.70          10.6517
 11.90 %  2007                      5.00          105.66          10.6601
 11.00 %  2006                      5.00          101.93          10.5299
 11.00 %  2006                      5.00          101.93          10.5299
 11.00 %  2006                      5.00          101.94          10.5275 11.50 %  2011                      5.00          103.05          11.0106
 12.32 %  2011                      5.00          107.30          11.0962
 12.32 %  2011                      5.00          107.30          11.0962
 12.32 %  2011                      5.00          107.35          11.0882
 12.32 %  2011                      5.00          107.53          11.0597
 12.32 %  2011                      5.00          107.48          11.0676
 12.32 %  2011                      5.00          107.35          11.0882
 12.32 %  2011                      5.00          107.45          11.0724
 12.32 %  2011                      2.00          107.20          11.1120
 11.30 %  2010                      5.00          101.90          10.9707
 11.30 %  2010                      5.00          101.76          10.9943
 11.30 %  2010                      5.00          101.73          10.9994
 11.30 %  2010                      5.00          101.93          10.9657
 11.30 %  2010                      5.00          101.82          10.9842
 11.30 %  2010                      5.00          101.95          10.9623
 11.30 %  2010                      5.00          101.76          10.9943
 11.30 %  2010                      5.00          101.71          11.0028
 11.30 %  2010                      5.00          101.86          10.9775
 11.30 %  2010                      5.00          101.74          10.9977
 11.30 %  2010                      5.00          101.80          10.9876
 11.30 %  2010                      5.00          101.92          10.9673
 11.30 %  2010                      5.00          101.85          10.9791
 11.30 %  2010                      5.00          101.83          10.9825
 11.30 %  2010                      5.00          101.65          11.0129
 11.30 %  2010                      5.00          102.00          10.9539
 11.30 %  2010                      5.00          101.90          10.9707
 11.30 %  2010                      5.00          101.72          11.0011
 11.30 %  2010                      5.00          101.85          10.9791
 11.30 %  2010                      5.00          101.95          10.9623
 11.30 %  2010                      5.00          101.80          10.9876
 11.30 %  2010                      5.00          101.89          10.9724
 11.30 %  2010                     10.00          101.95          10.9623
 11.30 %  2010                      5.00          101.95          10.9623
 11.30 %  2010                      5.00          101.89          10.9724
 11.30 %  2010                      5.00          101.69          11.0062
 11.30 %  2010                      0.50          101.88          10.9741
 11.30 %  2010                      5.00          101.92          10.9673
 11.30 %  2010                     10.00          101.85          10.9791
 11.30 %  2010                      5.00          101.95          10.9623
 11.30 %  2010                      5.00          101.96          10.9606
 11.30 %  2010                      5.00          101.95          10.9623
 11.30 %  2010                      5.00          101.84          10.9808
 11.30 %  2010                      5.00          101.90          10.9707
 11.30 %  2010                      1.00          101.75          10.9960
 11.30 %  2010                      1.50          100.615         11.1893
 11.30 %  2010                      5.00          101.93          10.9657
 11.50 %  2010                      5.00          102.80          11.0157
  7.50 %  2010                      0.032          74.80          12.0486
 12.29 %  2010                      5.00          107.00          11.0470
 12.29 %  2010                      2.50          107.20          11.0133
 12.29 %  2010                      6.00          106.571         11.1195
 11.99 %  2009                      5.00          105.75          10.9124
 11.99 %  2009                     10.00          105.72          10.9178
 11.99 %  2009                      5.00          105.95          10.8766
 11.99 %  2009                     10.00          105.72          10.9178
 11.99 %  2009                      5.00          105.72          10.9178
 11.99 %  2009                     10.00          105.89          10.8873 11.03 %  2012                      5.00           99.28          11.1389
 11.03 %  2012                      5.00           99.02          11.1797
 11.03 %  2012                      5.00           99.23          11.1467
 11.03 %  2012                      5.00           99.20          11.1514
 11.03 %  2012                      5.00           99.22          11.1483
 11.03 %  2012                      5.00           99.25          11.1436
 11.03 %  2012                      5.00           99.25          11.1436
 11.03 %  2012                      5.00           99.32          11.1326
 11.03 %  2012                      5.00           99.33          11.1311
 11.03 %  2012                      5.00           99.52          11.1014
 11.03 %  2012                     25.00           99.27          11.1405
 11.03 %  2012                      5.00           99.17          11.1561
 11.03 %  2012                      5.00           99.02          11.1797
 11.03 %  2012                      5.00           99.305         11.1350
 11.03 %  2012                      5.00           99.21          11.1499
 11.03 %  2012                      5.00           99.03          11.1781
 11.03 %  2012                      5.00           99.03          11.1781
 11.03 %  2012                      5.00           99.335         11.1303
 11.03 %  2012                      3.00           98.80          11.2143
 11.03 %  2012                      5.00           99.18          11.1546
 11.03 %  2012                      5.00           99.02          11.1797
 11.03 %  2012                      1.00           99.33          11.1311
 11.03 %  2012                      5.00           99.30          11.1358
 11.03 %  2012                      4.00           99.20          11.1514
 11.03 %  2012                      5.00           99.26          11.1420
 11.03 %  2012                     10.00           99.20          11.1514
 11.03 %  2012                      5.00           99.32          11.1326
 11.03 %  2012                      5.00           99.25          11.1436
 11.03 %  2012                      5.00           99.28          11.1389
 11.03 %  2012                      5.00           98.83          11.2096
 11.03 %  2012                      5.00           99.32          11.1326
 11.03 %  2012                      5.00           99.18          11.1546
 11.03 %  2012                      5.00           99.32          11.1326
 11.03 %  2012                      5.00           99.02          11.1797
 11.50 %  2011                      5.00          101.65          11.2313
 11.50 %  2011                      5.00          103.10          11.0028
 11.50 %  2011                      5.00          102.85          11.0419
 11.50 %  2011                      5.00          102.90          11.0341
 11.50 %  2011                      5.00          102.93          11.0294
 11.50 %  2011                      5.00          102.85          11.0419
 11.50 %  2011                      5.00          102.78          11.0529
 11.50 %  2011                      5.00          102.97          11.0231
 11.50 %  2011                     25.00          103.00          11.0184
 11.50 %  2011                     25.00          103.00          11.0184
 11.50 %  2011                      5.00          102.925         11.0302
 11.50 %  2011                      5.00          102.92          11.0309
 11.50 %  2011                     10.00          102.96          11.0247
 11.50 %  2011                      5.00          102.65          11.0732
 11.50 %  2011                      5.00          103.10          11.0028
 11.50 %  2011                      5.00          102.83          11.0450
 11.50 %  2011                      5.00          102.77          11.0544
 11.50 %  2011                      5.00          102.83          11.0450
 11.50 %  2011                      5.00          102.73          11.0607
 11.50 %  2011                      5.00          102.90          11.0341
 11.50 %  2011                      5.00          102.69          11.0670
 11.50 %  2011                      5.00          102.65          11.0732
 11.50 %  2011                     10.00          102.90          11.0341 12.40 %  2013                      5.00          107.06          11.3312
 12.40 %  2013                     20.00          107.15          11.3183
 12.40 %  2013                      2.00          106.45          11.4188
 12.40 %  2013                      5.00          107.63          11.2500
 12.40 %  2013                     10.00          107.50          11.2685
 12.40 %  2013                     10.00          107.50          11.2685
 12.40 %  2013                      5.00          107.28          11.2998
 12.40 %  2013                      5.00          107.28          11.2998
 12.40 %  2013                      5.00          107.44          11.2770
 11.03 %  2012                      5.00           99.27          11.1405
 11.03 %  2012                      5.00           99.26          11.1420
 11.03 %  2012                      5.00           99.24          11.1452
 11.03 %  2012                      5.00           99.09          11.1687
 11.03 %  2012                      5.00           99.07          11.1718
 11.03 %  2012                      5.00           99.15          11.1593
 11.03 %  2012                      0.75           98.30          11.2934
 11.03 %  2012                      5.00           99.25          11.1436
 11.03 %  2012                      5.00           99.295         11.1366
 11.03 %  2012                      5.00           98.90          11.1985
 11.03 %  2012                      5.00           99.30          11.1358
 11.03 %  2012                      5.00           99.28          11.1389
 11.03 %  2012                      5.00           99.15          11.1593
 11.03 %  2012                      5.00           98.80          11.2143
 11.03 %  2012                      0.50           99.06          11.1734
 11.03 %  2012                      5.00           99.30          11.1358
 11.03 %  2012                      5.00           99.17          11.1561
 11.03 %  2012                      5.00           99.30          11.1358
 11.03 %  2012                     10.00           99.29          11.1373
 11.03 %  2012                     10.00           99.31          11.1342
 11.03 %  2012                      5.00           99.20          11.1514
 11.03 %  2012                     10.00           99.25          11.1436
 11.03 %  2012                      5.00           99.14          11.1608
 11.03 %  2012                     10.00           99.14          11.1608
 11.03 %  2012                      5.00           99.30          11.1358
 11.03 %  2012                      5.00           99.01          11.1812
 11.03 %  2012                      5.00           99.20          11.1514
 11.03 %  2012                      5.00           99.30          11.1358
 11.03 %  2012                      5.00           99.31          11.1342
 11.03 %  2012                      5.00           99.30          11.1358
 11.03 %  2012                      5.00           99.30          11.1358
 11.03 %  2012                      5.00           99.32          11.1326
 11.03 %  2012                      5.00           99.20          11.1514
 11.03 %  2012                      5.00           99.05          11.1750
 11.03 %  2012                      5.00           99.20          11.1514
 11.03 %  2012                      5.00           99.02          11.1797
 11.03 %  2012                      5.00           99.02          11.1797
 11.03 %  2012                      5.00           99.02          11.1797
 11.03 %  2012                      5.00           99.02          11.1797
 11.03 %  2012                      5.00           99.27          11.1405
 11.03 %  2012                      5.00           99.23          11.1467
 11.03 %  2012                      5.00           99.15          11.1593
 11.03 %  2012                      5.00           99.11          11.1655
 11.03 %  2012                      5.00           99.21          11.1499
 11.03 %  2012                      5.00           98.98          11.1860
 11.03 %  2012                      5.00           99.00          11.1828
 11.03 %  2012                      5.00           99.00          11.1828
 11.03 %  2012                      5.00           98.98          11.1860 12.50 %  2004                      5.00          106.10          10.2385
 12.50 %  2004                      5.00          106.10          10.2385
 12.50 %  2004                      5.00          106.11          10.2349
 12.50 %  2004                      5.00          106.11          10.2349
 12.50 %  2004                      5.00          106.06          10.2526
 12.50 %  2004                      5.00          106.15          10.2208
 12.50 %  2004                      5.00          106.09          10.2420
 12.50 %  2004                      5.00          106.14          10.2243
 12.50 %  2004                      5.00          106.14          10.2243
 12.50 %  2004                      5.00          106.085         10.2438
 12.50 %  2004                      5.00          106.13          10.2278
 12.50 %  2004                      5.00          106.13          10.2278
 12.50 %  2004                     10.00          106.095         10.2402
 12.50 %  2004                      5.00          106.07          10.2491
 12.50 %  2004                      5.00          106.05          10.2562
 12.50 %  2004                     20.00          106.08          10.2456
 11.10 %  2003                      5.00          101.83          10.1712
 11.10 %  2003                      5.00          101.90          10.1368
 11.10 %  2003                      5.00          101.78          10.1958
 11.10 %  2003                     10.00          101.835         10.1688
 11.10 %  2003                      5.00          101.90          10.1368
 11.10 %  2003                     10.00          101.90          10.1368
 11.55 %  2002                     15.00          102.29          10.1847
 11.55 %  2002                     10.00          102.27          10.1963
 11.55 %  2002                     25.00          102.34          10.1557
 11.15 %  2002                      5.00          101.60          10.0808
 11.15 %  2002                     10.00          101.59          10.0873
 11.15 %  2002                      5.00          101.60          10.0808
 11.15 %  2002                     10.00          101.56          10.1067
 11.15 %  2002                      5.00          101.60          10.0808
 11.15 %  2002                      5.00          101.60          10.0808
 11.15 %  2002                      5.00          101.60          10.0808
 11.15 %  2002                     25.00          101.60          10.0808
 11.15 %  2002                      5.00          101.595         10.0841
 11.15 %  2002                      5.00          101.56          10.1067
 11.15 %  2002                      5.00          101.52          10.1326
 11.15 %  2002                     10.00          101.58          10.0938
 11.15 %  2002                      5.00          101.58          10.0938
 11.15 %  2002                      5.00          101.58          10.0938
 11.68 %  2002                      5.00          102.27          10.1160
 11.68 %  2002                     10.00          102.26          10.1227
 11.00 %  2002                      5.00          101.115         10.1051
 11.75 %  2001                      0.70          101.10           9.9931
 11.75 %  2001                     10.00          101.065         10.0466
 10.85 %  2001                      5.00          100.48           9.9813
 11.55 %  2001                      8.00          100.78          10.0010
 11.55 %  2001                     25.00          100.77          10.0204
 11.55 %  2001                      5.00          100.77          10.0204
 13.75 %  2001                     25.00          101.55           9.9607
          Contract Date : December 19, 2000
 12.30 %  2016                      5.00          105.99          11.4640
 11.43 %  2015                      5.00          100.07          11.4156
 11.43 %  2015                      0.50          100.43          11.3646
 11.43 %  2015                     10.00          100.00          11.4255
 11.43 %  2015                      0.36          100.00          11.4255
 11.50 %  2015                      7.00          100.43          11.4356
 11.83 %  2014                      0.41          102.25          11.4981 11.40 %  2008                      5.00          103.35          10.7425
 11.40 %  2008                      5.00          103.44          10.7255
 11.40 %  2008                      5.00          103.35          10.7425
 11.40 %  2008                      5.00          103.44          10.7255
