 
 
29 Nov 2000 
 
Subsidiary General Ledger Account Transactions in  
Government Dated Securities and Treasury Bills 
at RBI, Mumbai on 29 November 2000 
 
--------------------------------------------------------------------------- 
   Nomenclature                  Amount           Price *        YTM % 
                                 (Face Value)     Per Rs.100   Indicative 
                                 (in Rs.Crore)    nominal 
--------------------------------------------------------------------------- 
 
I.  Outright Transactions 
A.Government of India Dated Securities 
 11.40 %  2008                      5.00          101.39          11.1203 
 11.40 %  2008                      5.00          101.38          11.1223 
 11.40 %  2008                      5.00          101.38          11.1223 
 11.40 %  2008                     10.00          101.38          11.1223 
 11.40 %  2008                      5.00          101.37          11.1242 
 11.40 %  2008                      5.00          101.36          11.1261 
 11.40 %  2008                      5.00          101.39          11.1203 
 11.40 %  2008                      5.00          101.39          11.1203 
 11.40 %  2008                      5.00          101.355         11.1271 
 11.40 %  2008                      5.00          101.36          11.1261 
 11.40 %  2008                      5.00          101.36          11.1261 
 11.40 %  2008                      5.00          101.38          11.1223 
 11.40 %  2008                      5.00          101.38          11.1223 
 11.40 %  2008                      5.00          101.38          11.1223 
 11.99 %  2009                      5.00          103.85          11.2607 
 11.99 %  2009                      5.00          103.84          11.2625 
 11.99 %  2009                      5.00          103.87          11.2570 
 11.99 %  2009                      5.00          103.85          11.2607 
 11.99 %  2009                      5.00          103.87          11.2570 
 11.30 %  2010                      1.00           99.55          11.3720 
 11.30 %  2010                      5.00           99.58          11.3668 
 11.30 %  2010                      5.00           99.57          11.3685 
 11.50 %  2011                      0.55          100.00          11.4993 
 11.50 %  2011                      5.00           99.96          11.5058 
 11.50 %  2011                     11.50           99.965         11.5050 
 11.50 %  2011                      5.00           99.95          11.5074 
 11.50 %  2011                      5.00           99.97          11.5042 
 11.50 %  2011                      5.00           99.95          11.5074 
 11.50 %  2011                      5.00           99.92          11.5123  11.50 %  2011                      5.00           99.97          11.5042 
 11.50 %  2011                      5.00           99.95          11.5074 
 11.03 %  2012                      0.05           97.12          11.4798 
 11.03 %  2012                     15.00           96.655         11.5550 
