Government Dated Securities and Treasury Bills
at RBI, Mumbai on 21 November 2000
 11.90 %  2007                     10.00          104.44          10.9289
 11.90 %  2007                     10.00          104.47          10.9225
 11.90 %  2007                      5.00          104.48          10.9204
 13.05 %  2007                      1.50          108.25          11.2087
 13.65 %  2007                      0.50          109.75          11.4154
 11.00 %  2006                      5.00          100.96          10.7619
 11.00 %  2006                      5.00          100.98          10.7571
 11.00 %  2006                      5.00          101.00          10.7523
 11.75 %  2006                      5.00          103.90          10.7736
 11.75 %  2006                      5.00          103.90          10.7736
 11.75 %  2006                      5.00          103.90          10.7736
 14.00 %  2005(INSTA               15.00          111.87          10.7616
 14.00 %  2005(INSTA               15.00          111.875         10.7604
 11.19 %  2005                     10.00          102.09          10.6066
 11.19 %  2005                      5.00          102.06          10.6148
 11.19 %  2005                      5.00          102.06          10.6148
 11.19 %  2005                      5.00          102.06          10.6148
 11.19 %  2005                     15.00          102.09          10.6066
 11.19 %  2005                      5.00          102.10          10.6039
 11.19 %  2005                     10.00          102.08          10.6093
 11.19 %  2005                      5.00          102.05          10.6175
 11.19 %  2005                     85.00          102.095         10.6053
 11.19 %  2005                     25.00          102.095         10.6053
 11.25 %  2005                      5.00          102.10          10.6522
 14.00 %  2005                      0.09          112.00          10.6029
 14.00 %  2005                      2.58          110.00          11.1344
 13.75 %  2005                     14.9375        110.35          10.7625
 13.75 %  2005                     14.9375        110.355         10.7611
 11.98 %  2004                     10.00          104.45          10.5173
 11.98 %  2004                      5.00          104.42          10.5268
 11.98 %  2004                      5.00          104.42          10.5268
 11.98 %  2004                      5.00          104.44          10.5204
 11.95 %  2004                     10.00          104.10          10.5640
 11.95 %  2004                      5.00          104.00          10.5966
 12.50 %  2004                      5.00          105.58          10.4658
 12.50 %  2004                      5.00          105.57          10.4693
 11.15 %  2002                      5.00          101.34          10.2856
 13.80 %  2002                      5.00          104.67          10.4084
          Contract Date : November 20, 2000
 12.25 %  2008                      1.00          105.60          11.1502
          Contract Date : November 15, 2000
A.Government of India Dated Securities
I.  Outright Transactions
---------------------------------------------------------------------------
                                 (in Rs.Crore)    nominal
                                 (Face Value)     Per Rs.100   Indicative
   Nomenclature                  Amount           Price *        YTM %
---------------------------------------------------------------------------
Subsidiary General Ledger Account Transactions in 11.03 %  2012                      0.25           97.35          11.4419
 11.03 %  2012                      0.50           97.10          11.4821
 11.03 %  2012                      1.00           97.10          11.4821
 11.03 %  2012                      0.08           97.10          11.4821
 11.03 %  2012                      0.12           97.10          11.4821
 11.03 %  2012                      5.00           97.03          11.4934
 11.03 %  2012                     10.00           97.075         11.4861
 11.03 %  2012                     15.00           97.08          11.4853
 11.03 %  2012                      1.00           97.10          11.4821
 11.03 %  2012                      5.00           97.03          11.4934
 11.03 %  2012                      5.00           97.07          11.4869
 11.03 %  2012                      2.00           97.30          11.4499
 11.03 %  2012                      2.00           97.10          11.4821
 11.03 %  2012                      5.00           97.08          11.4853
 11.03 %  2012                      5.00           97.05          11.4901
 11.03 %  2012                      1.00           97.09          11.4837
 11.03 %  2012                     15.00           97.03          11.4934
 11.03 %  2012                      6.00           97.10          11.4821
 11.03 %  2012                      1.00           97.65          11.3939
 10.95 %  2011                      0.35           97.55          11.3534
 12.32 %  2011                     50.00          105.45          11.3956
 12.32 %  2011                     20.00          105.50          11.3875
 11.30 %  2010                      2.50          100.10          11.2765
 11.30 %  2010                      5.00          100.08          11.2799
 11.30 %  2010                      5.00          100.05          11.2851
 11.30 %  2010                      0.50          100.40          11.2250
 11.30 %  2010                     10.00          100.04          11.2868
 11.50 %  2010                      5.00          101.11          11.3042
  7.50 %  2010                      0.50           79.54          11.0341
 11.50 %  2009                      5.00          101.63          11.1967
 11.50 %  2009                      5.00          101.63          11.1967
 11.99 %  2009                     10.00          104.30          11.1808
 11.99 %  2009                      5.00          104.255         11.1889
 11.99 %  2009                      5.00          104.27          11.1862
 11.99 %  2009                      5.00          104.29          11.1826
 11.99 %  2009                      5.00          104.29          11.1826
 11.99 %  2009                      5.00          104.28          11.1844
 11.40 %  2008                      5.00          101.68          11.0650
 11.40 %  2008                      5.00          101.68          11.0650
 11.40 %  2008                     10.00          101.73          11.0554
 11.40 %  2008                      5.00          101.75          11.0515
 11.40 %  2008                      5.00          101.675         11.0660
 11.40 %  2008                      5.00          101.73          11.0554
 11.40 %  2008                      5.00          101.70          11.0612
 11.40 %  2008                      5.00          101.68          11.0650
 11.40 %  2008                     10.00          101.75          11.0515
 11.40 %  2008                      5.00          101.695         11.0621
 11.40 %  2008                      5.00          101.67          11.0669
 11.40 %  2008                      5.00          101.72          11.0573
 11.40 %  2008                      5.00          101.71          11.0592
 11.40 %  2008                      5.00          101.73          11.0554
 11.40 %  2008                      5.00          101.73          11.0554
 11.40 %  2008                      5.00          101.68          11.0650
 11.40 %  2008                      5.00          101.68          11.0650
 11.90 %  2007                      5.00          104.49          10.9183
 11.90 %  2007                      5.00          104.42          10.9331
 11.90 %  2007                      5.00          104.42          10.9331 10.20 %  2005                     10.00           98.52          10.6045
 11.25 %  2005                      5.00          102.12          10.6465
 11.25 %  2005                      5.00          102.12          10.6465
  9.90 %  2005                      5.00           97.52          10.6125
 11.98 %  2004                     10.00          104.45          10.5164
 11.98 %  2004                      5.00          104.44          10.5195
 11.50 %  2004                      5.00          102.80          10.5122
 12.50 %  2004                      5.00          105.62          10.4504
 12.50 %  2004                      5.00          105.615         10.4521
 12.50 %  2004                      5.00          105.58          10.4644
 12.50 %  2004                      5.00          105.61          10.4539
 12.50 %  2004                      5.00          105.62          10.4504
 12.50 %  2004                      5.00          105.62          10.4504
 12.50 %  2004                      5.00          105.62          10.4504
 12.50 %  2004                      5.00          105.62          10.4504
 12.50 %  2004                      5.00          105.62          10.4504
 12.50 %  2004                      5.00          105.59          10.4609
 12.50 %  2004                      5.00          105.62          10.4504
 12.50 %  2004                      5.00          105.59          10.4609
 12.50 %  2004                      5.00          105.59          10.4609
 12.50 %  2004                      5.00          105.60          10.4574
 12.50 %  2004                      5.00          105.605         10.4556
 11.10 %  2003                      5.00          101.50          10.3597
 11.10 %  2003                      5.00          101.52          10.3501
 11.10 %  2003                     15.00          101.52          10.3501
 11.10 %  2003                      5.00          101.49          10.3645
 11.10 %  2003                      5.00          101.48          10.3693
 11.10 %  2003                      5.00          101.51          10.3549
 11.10 %  2003                      5.00          101.49          10.3645
 11.10 %  2003                      0.50          101.20          10.5039
 11.15 %  2002                     15.00          101.39          10.2532
 11.15 %  2002                      5.00          101.39          10.2532
 11.15 %  2002                      5.00          101.39          10.2532
 11.15 %  2002                      5.00          101.39          10.2532
 11.15 %  2002                      5.00          101.40          10.2470
 11.15 %  2002                     10.00          101.40          10.2470
 11.75 %  2001                     10.00          101.10          10.1610
 11.75 %  2001                      5.00          101.09          10.1748
 11.75 %  2001                      5.00          101.09          10.1748
 11.75 %  2001                      5.00          101.09          10.1748
 10.85 %  2001                      5.00          100.40          10.1852
 10.85 %  2001                      5.00          100.40          10.1852
 10.85 %  2001                      5.00          100.40          10.1852
 13.85 %  2001                      4.50          101.15          10.2551
 13.85 %  2001                      5.50          101.15          10.2551
          Contract Date : November 21, 2000
 11.43 %  2015                      1.00           98.95          11.5746
 11.43 %  2015                      0.50           99.05          11.5602
 11.43 %  2015                      1.00           99.00          11.5674
 11.43 %  2015                      0.10           99.05          11.5602
 11.43 %  2015                      0.20           99.15          11.5458
 11.83 %  2014                      0.20          102.22          11.5059
 11.03 %  2012                      1.00           97.18          11.4692
 11.03 %  2012                      5.00           97.01          11.4966
 11.03 %  2012                      5.00           97.01          11.4966
 11.03 %  2012                      5.00           97.01          11.4966
 11.03 %  2012                      1.00           97.17          11.4708 11.40 %  2008                      5.00          101.70          11.0611
 11.40 %  2008                      5.00          101.70          11.0611
 11.40 %  2008                      5.00          101.70          11.0611
 11.40 %  2008                     10.00          101.72          11.0572
 11.40 %  2008                      5.00          101.72          11.0572
 11.40 %  2008                      5.00          101.69          11.0630
 11.40 %  2008                      5.00          101.70          11.0611
 11.40 %  2008                      5.00          101.695         11.0620
 11.40 %  2008                      5.00          101.695         11.0620
 11.40 %  2008                      5.00          101.72          11.0572
 11.40 %  2008                     25.00          101.70          11.0611
 11.40 %  2008                     25.00          101.707         11.0596
 11.90 %  2007                     10.00          104.45          10.9266
 11.90 %  2007                      5.00          104.45          10.9266
 11.90 %  2007                      5.00          104.43          10.9309
 11.90 %  2007                      5.00          104.43          10.9309
 11.90 %  2007                     10.00          104.435         10.9298
 11.90 %  2007                     10.00          104.43          10.9309
 11.00 %  2006                      5.00          101.01          10.7499
