13 May 2000 
 
Subsidiary General Ledger Account Transactions in Government Dated 
Securities and Treasury Bills at RBI, Mumbai on 12 May 2000 
 
 
Nomenclature  Amount Price * YTM % 
  (Face Value) Per Rs.100 Indicative 
  (in Rs.Crore) nominal  
     
I. Outright Transactions 
A. Government of India Dated Securities 
Contract Date : May 08, 2000 
11.15% 2002 5 103.51 9.4062 
13.82% 2002 1 108.9 9.4942 
11.10% 2003 5 104 9.4849 
11.83% 2003 5 106.15 9.5329 
11.83% 2003 5 106.2 9.515 
11.83% 2003 5 106.18 9.5222 
12.50% 2004 5 108.85 9.6921 
12.50% 2004 5 108.85 9.6921 
12.50% 2004 5 108.95 9.6622 
12.50% 2004 25 108.945 9.6637 
12.50% 2004 5 108.9 9.6771 
12.50% 2004 10 108.945 9.6637 
12.50% 2004 5 108.92 9.6712 
12.50% 2004 5 108.94 9.6652 
12.50% 2004 5 108.91 9.6741 
12.50% 2004 5 108.89 9.6801 
12.50% 2004 10 108.85 9.6921 
12.50% 2004 5 108.84 9.6951 
12.50% 2004 5 108.96 9.6592 
     
12.50% 2004 5 108.88 9.6831 
12.50% 2004 5 108.95 9.6622 
12.50% 2004 5 108.93 9.6682 
12.50% 2004 10 108.9 9.6771 
12.50% 2004 5 108.88 9.6831 
11.50% 2004 5 105.83 9.7042 
11.98% 2004 5 107.92 9.6859 
11.98% 2004 5 107.92 9.6859 
11.98% 2004 5 107.93 9.6831 
11.98% 2004 10 107.86 9.7024 
11.98% 2004 5 107.9 9.6914 
11.98% 2004 10 107.935 9.6818 
11.98% 2004 10 107.9 9.6914 
9.90% 2005 5 100.36 9.8035 
9.90% 2005 10 100.27 9.8269 
9.90% 2005 5 100.37 9.8009 
9.90% 2005 5 100.36 9.8035 
9.90% 2005 5 100.36 9.8035 
9.90% 2005 5 100.34 9.8087 
9.90% 2005 5 100.36 9.8035 
11.68% 2006 5 107.58 9.9491 
11.68% 2006 5 107.58 9.9491 
11.68% 2006 5 107.55 9.9556 11.68% 2006 5 107.58 9.9491 
11.75% 2006 5 107.85 9.9614 
11.75% 2006 5 107.85 9.9614 
11.75% 2006 5 107.86 9.9593 
13.05% 2007 0.95 114.45 10.1023 
12.00% 2008 1 109 10.3157 
12.00% 2008 10 109.08 10.3016 
12.00% 2008 10 109 10.3157 
12.00% 2008 5 109.05 10.3069 
12.00% 2008 5 109.08 10.3016 
12.00% 2008 0.05 109.64 10.2032 
12.00% 2008 5 108.95 10.3245 
12.00% 2008 5 109.05 10.3069 
12.00% 2008 5 109 10.3157 
12.00% 2008 5 109.05 10.3069 
11.50% 2008 5 106.36 10.3147 
12.25% 2008 1 110.62 10.3123 
12.25% 2008 10 110.4 10.3497 
11.99% 2009 5 108.985 10.4136 
11.99% 2009 5 108.97 10.4161 
11.99% 2009 5 108.97 10.4161 
11.99% 2009 5 108.985 10.4136 
11.99% 2009 15 108.98 10.4144 
11.99% 2009 5 108.85 10.4359 
11.99% 2009 5 108.99 10.4128 
11.99% 2009 5 108.98 10.4144 
11.99% 2009 5 108.98 10.4144 
11.99% 2009 10 108.85 10.4359 
11.99% 2009 15 108.85 10.4359 
11.99% 2009 5 108.9 10.4276 
11.99% 2009 5 108.88 10.4309 
11.99% 2009 5 109 10.4111 
11.99% 2009 5 108.985 10.4136 
11.99% 2009 1 108.97 10.4161 
11.99% 2009 5 108.85 10.4359 
11.99% 2009 5 108.9 10.4276 
11.99% 2009 5 109.05 10.4029 
11.99% 2009 5 108.95 10.4194 
     
11.99% 2009 10 108.88 10.4309 
11.99% 2009 5 108.85 10.4359 
11.99% 2009 5 108.9 10.4276 
11.99% 2009 5 108.95 10.4194 
11.99% 2009 5 108.85 10.4359 
11.99% 2009 10 108.89 10.4293 
11.99% 2009 5 108.95 10.4194 
11.99% 2009 5 108.95 10.4194 
11.99% 2009 5 108.85 10.4359 
11.99% 2009 10 108.85 10.4359 
11.99% 2009 5 108.91 10.426 
11.99% 2009 25 108.85 10.4359 
11.99% 2009 5 108.85 10.4359 11.99% 2009 5 108.9 10.4276 
11.99% 2009 5 108.85 10.4359 
11.99% 2009 5 108.98 10.4144 
11.99% 2009 5 108.9 10.4276 
11.99% 2009 5 108.9 10.4276 
12.29% 2010 10 110.8 10.4848 
12.29% 2010 5 110.78 10.4879 
12.29% 2010 5 110.8 10.4848 
12.29% 2010 5 110.8 10.4848 
12.25% 2010 10 110.6 10.5199 
12.25% 2010 5 110.58 10.5229 
12.25% 2010 5 110.59 10.5214 
12.25% 2010 5 110.59 10.5214 
12.25% 2010 10 110.58 10.5229 
12.25% 2010 5 110.58 10.5229 
12.25% 2010 5 110.59 10.5214 
12.25% 2010 5 110.59 10.5214 
12.25% 2010 10 110.59 10.5214 
12.25% 2010 5 110.55 10.5274 
12.25% 2010 10 110.5 10.535 
12.32% 2011 10 110.83 10.599 
12.32% 2011 5 110.9 10.5887 
12.32% 2011 10 110.87 10.5931 
12.32% 2011 10 110.85 10.596 
11.83% 2014 0.01 108.3 10.6911 
11.83% 2014 0.2 108.5 10.6653 
11.83% 2014 10 107.76 10.7611 
11.83% 2014 10 107.96 10.7351 
11.50% 2015 1 105.85 10.7075 
10.70% 2020 0.2 100.13 10.6825 
10.70% 2020 5 99.68 10.7376 
10.70% 2020 2 100.07 10.6899 
10.70% 2020 2 99.77 10.7266 
10.70% 2020 0.2 99.78 10.7253 
Contract Date : May 12, 2000 
11.40% 2000 5 100.83 9.0695 
11.40% 2000 10 100.82 9.0964 
11.40% 2000 4.75 100.835 9.0561 
11.40% 2000 20 100.835 9.0561 
11.40% 2000 5 100.83 9.0695 
11.40% 2000 5 100.835 9.0561 
13.85% 2000 10 102.85 9.0102 
11.55% 2001 0.75 102.38 9.275 
11.75% 2001 1 102.9 9.2786 
11.75% 2001 5 102.91 9.2704 
11.75% 2001 5 102.915 9.2663 
11.75% 2001 20 102.9 9.2786 
11.75% 2001 5 102.91 9.2704 
     
11.75% 2001 10 102.905 9.2745 
11.75% 2001 10 102.91 9.2704 
11.75% 2001 20 102.9 9.2786 11.15% 2002 5 103.52 9.3995 
11.15% 2002 5 103.52 9.3995 
11.15% 2002 5 103.54 9.3898 
11.15% 2002 10 103.51 9.4043 
11.10% 2003 1 104.09 9.4481 
11.10% 2003 5 103.98 9.4912 
11.83% 2003 10 106.18 9.5206 
11.83% 2003 10 106.16 9.5277 
11.83% 2003 5 106.16 9.5277 
11.83% 2003 5 106.175 9.5224 
11.83% 2003 5 106.16 9.5277 
12.50% 2004 1 109 9.6455 
12.50% 2004 5 108.96 9.6575 
12.50% 2004 5 108.92 9.6694 
12.50% 2004 5 108.945 9.662 
12.50% 2004 5 108.92 9.6694 
12.50% 2004 5 108.93 9.6665 
12.50% 2004 10 108.935 9.665 
