Government Dated Securities and Treasury Bills
at RBI, Mumbai on 05 July 2000
1
%  2004                     10.00          106.30          10.0848 11.98 
%  2004                      5.00          106.36          10.0676 11.98 
%  2004                      5.00          106.365         10.0661 11.98 
%  2004                      5.00          106.365         10.0661 11.98 
%  2004                      5.00          106.30          10.0848 11.98 
%  2004                      5.00          106.34          10.0733 11.98 
%  2004                      5.00          107.625          9.9833 12.50 
%  2004                      5.00          107.59           9.9943 12.50 
%  2004                      5.00          107.62           9.9849 12.50 
%  2004                     10.00          107.56          10.0037 12.50 
%  2004                      5.00          107.545         10.0084 12.50 
%  2004                      5.00          107.61           9.9880 12.50 
%  2004                      5.00          107.61           9.9880 12.50 
%  2004                      5.00          107.61           9.9880 12.50 
%  2004                      5.00          107.62           9.9849 12.50 
%  2004                      5.00          107.61           9.9880 12.50 
%  2004                      5.00          107.55          10.0068 12.50 
%  2004                      5.00          107.58           9.9974 12.50 
%  2004                      5.00          107.54          10.0100 12.50 
%  2004                      5.00          107.62           9.9849 12.50 
%  2004                      5.00          107.61           9.9880 12.50 
%  2003                     10.00          103.07           9.7891 11.10 
%  2003                     15.00          102.98           9.8264 11.10 
%  2003                     20.00          103.05           9.7974 11.10 
%  2002                      5.00          102.77           9.6821 11.15 
%  2002                      5.00          102.88           9.6256 11.15 
%  2001                      5.00          102.40           9.4569 11.75 
%  2001                      2.25          102.45           9.4106 11.75 
%  2001                      0.50          102.00           9.3950 11.55 
%  2001                      5.00          102.38           9.4833 12.08 
%  2001                      5.00          102.90           9.5566 13.85 
%  2001                     10.00          102.85           9.6274 13.85 
%  2000                     10.00          100.40           9.5023 11.40 
%  2000                     10.00          100.40           9.5023 11.40 
Bond  2000(II)         54.49           99.487          8.2096 Zero Coupon 
%  2000                     25.00          100.12           9.3833 11.64 
%  2000                     25.00          100.12           9.3833 11.64 
%  2000                     25.00          100.12           9.3833 11.64 
Date : July 04, 2000          Contract 
A.Government of India Dated Securities
I.  Outright Transactions
---------------------------------------------------------------------------
Rs.Crore)    nominal in                                  (
Rs.100   Indicative                                 (Face Value)     Per 
Nomenclature                  Amount           Price *        YTM %   
---------------------------------------------------------------------------
Subsidiary General Ledger Account Transactions in2
 11.90 %  2007                      5.00          106.41          10.5633
 11.90 %  2007                      5.00          106.41          10.5633
 11.90 %  2007                      5.00          106.41          10.5633
 11.90 %  2007                      5.00          106.45          10.5554
 11.90 %  2007                      5.00          106.42          10.5613
 11.90 %  2007                      5.00          106.46          10.5534
 11.90 %  2007                      5.00          106.37          10.5713
 11.90 %  2007                      5.00          106.41          10.5633
 11.90 %  2007                     10.00          106.45          10.5554
 11.90 %  2007                      5.00          106.44          10.5574
 11.90 %  2007                      5.00          106.40          10.5653
 11.90 %  2007                      5.00          106.425         10.5603
 11.90 %  2007                      5.00          106.45          10.5554
 11.90 %  2007                      5.00          106.47          10.5514
 11.90 %  2007                      5.00          106.37          10.5713
 11.90 %  2007                      5.00          106.42          10.5613
 11.90 %  2007                      5.00          106.40          10.5653
 11.90 %  2007                      5.00          106.40          10.5653
 11.90 %  2007                      5.00          106.435         10.5583
 11.90 %  2007                      5.00          106.43          10.5593
 11.90 %  2007                      5.00          106.44          10.5574
 11.90 %  2007                      5.00          106.435         10.5583
 11.90 %  2007                      5.00          106.435         10.5583
 11.90 %  2007                      5.00          106.37          10.5713
 11.90 %  2007                      5.00          106.37          10.5713
 11.90 %  2007                      5.00          106.47          10.5514
 11.90 %  2007                      5.00          106.475         10.5504
%  2007                      5.00          106.47          10.5514 11.90 
%  2007                      5.00          106.37          10.5713 11.90 
%  2007                     30.00          106.35          10.5753 11.90 
%  2006                      5.00          105.69          10.4073 11.75 
%  2006                      5.00          105.51          10.3778 11.68 
%  2006                      5.00          105.505         10.3789 11.68 
%  2006                      5.00          105.43          10.3959 11.68 
%  2006                      5.00          105.46          10.3891 11.68 
%  2006                      5.00          105.50          10.3800 11.68 
%  2006                     10.00          105.50          10.3800 11.68 
%  2006                      5.00          105.48          10.3845 11.68 
%  2006                      5.00          105.51          10.3778 11.68 
%  2006                      5.00          105.51          10.3778 11.68 
%  2006                     10.00          105.50          10.3800 11.68 
%  2006                      5.00          105.48          10.3845 11.68 
%  2006                      5.00          105.45          10.3914 11.68 
%  2006                      5.00          105.47          10.3868 11.68 
%  2006                      5.00          105.41          10.4004 11.68 
%  2006                      5.00          105.50          10.3800 11.68 
%  2006                      5.00          105.43          10.3959 11.68 
%  2005                      5.00          103.78          10.2155 11.19 
%  2005                      5.00          103.77          10.2180 11.19 
%  2005                      5.00          103.72          10.2305 11.19 
%  2005                      5.00          103.76          10.2205 11.19 
%  2005                      5.00          103.76          10.2205 11.19 
