Government Dated Securities and Treasury Bills
at RBI, Mumbai on 05 May 2000
1
 11.83 %  2003                      5.00          105.975          9.6047
 11.15 %  2002                     10.00          103.50           9.4225
 11.15 %  2002                      5.00          103.50           9.4225
 11.15 %  2002                      5.00          103.48           9.4320
 11.15 %  2002                      5.00          103.53           9.4081
 11.15 %  2002                     10.00          103.50           9.4225
 11.15 %  2002                      5.00          103.50           9.4225
 11.68 %  2002                      5.00          104.49           9.4051
 12.75 %  2002                     25.00          106.315          9.5462
 11.75 %  2001                     20.00          102.90           9.3133
 11.75 %  2001                      5.00          102.89           9.3214
 11.75 %  2001                      5.00          102.945          9.2768
 11.75 %  2001                      5.00          102.95           9.2727
 11.75 %  2001                      5.00          102.95           9.2727
 11.75 %  2001                     10.00          102.88           9.3296
 11.75 %  2001                      5.00          102.92           9.2971
 11.75 %  2001                      5.00          102.95           9.2727
 11.75 %  2001                      5.00          102.92           9.2971
 11.75 %  2001                     10.00          102.885          9.3255
 11.75 %  2001                      5.00          102.92           9.2971
 11.75 %  2001                      5.00          102.92           9.2971
 11.75 %  2001                      0.05          103.40           8.9087
 10.85 %  2001                     15.00          101.69           9.3405
 10.85 %  2001                     10.00          101.73           9.3060
 10.85 %  2001                     20.00          101.77           9.2714
 10.85 %  2001                     10.00          101.73           9.3060
 10.85 %  2001                     10.00          101.79           9.2542
 10.85 %  2001                      5.00          101.77           9.2714
 10.85 %  2001                     10.00          101.76           9.2801
 11.55 %  2001                      5.00          102.43           9.2630
 11.55 %  2001                     10.00          102.43           9.2630
 11.55 %  2001                      5.00          102.43           9.2630
 13.85 %  2001                      5.00          103.75           9.3239
 13.85 %  2001                     15.00          103.74           9.3355
 13.85 %  2001                      5.00          103.74           9.3355
%  2001                      5.00          103.74           9.3355 13.85 
%  2001                     10.00          103.75           9.3239 13.85 
%  2001                      5.00          103.75           9.3239 13.85 
%  2000                     10.00          102.76           9.2862 13.85 
%  2000                      5.00          100.85           9.1350 11.40 
A.Government of India Dated Securities
I.  Outright Transactions
---------------------------------------------------------------------------
Rs.Crore)    nominal in                                  (
