Government Dated Securities and Treasury Bills
at RBI, Mumbai on 29 May 2000
1
%  2001                      5.00          101.98           9.5767 11.55 
%  2001                      5.00          101.93           9.6252 11.55 
%  2001                      5.00          102.00           9.5573 11.55 
%  2001                      0.90          103.28           9.5596 13.85 
%  2000                      1.00          102.37           9.4993 13.85 
%  2000                      5.00          100.57           9.5306 11.40 
%  2000                     10.00          100.53           9.6945 13.25 
%  2000                      5.00          100.27           9.6861 11.64 
%  2000                      5.00          100.27           9.6861 11.64 
%  2000                     10.00          100.27           9.6861 11.64 
%  2000                      5.00          100.35           9.1787 11.64 
%  2000                      5.00          100.27           9.6861 11.64 
Date : May 29, 2000          Contract 
%  2020                      0.33           99.25          10.7896 10.70 
%  2018                     22.40          111.75          11.0913 12.60 
%  2015                      1.00          104.00          10.9502 11.50 
%  2014                      5.00          105.05          11.1183 11.83 
%  2014                      5.00          105.06          11.1169 11.83 
%  2014                      5.00          105.15          11.1048 11.83 
%  2014                     10.00          105.35          11.0777 11.83 
%  2013                     25.00          108.85          11.1021 12.40 
%  2013                     15.00          108.85          11.1021 12.40 
%  2013                     50.00          108.85          11.1021 12.40 
%  2010                      0.172         110.70          10.5018 12.25 
%  2010                      5.00          103.10          10.9809 11.50 
%  2009                      3.00          107.20          10.7064 11.99 
%  2005                      5.00           99.65           9.9871  9.90 
%  2005                      5.00           99.70           9.9739  9.90 
%  2004                      5.00          105.62          10.0266 11.75 
%  2004                      5.00          104.80           9.9955 11.50 
%  2004                      5.00          107.85           9.9688 12.50 
%  2004                      0.30          107.90           9.9536 12.50 
%  2002                      5.00          102.00          10.1210 11.15 
%  2001                     10.00          101.85           9.7108 11.55 
Date : May 27, 2000          Contract 
%  2004                     10.00          107.86           9.9673 12.50 
Date : May 26, 2000          Contract 
%  2010                     20.00          110.33          10.5550 12.29 
Date : May 23, 2000          Contract 
A.Government of India Dated Securities
I.  Outright Transactions
---------------------------------------------------------------------------
Rs.Crore)    nominal in                                  (
Rs.100   Indicative                                 (Face Value)     Per 
Nomenclature                  Amount           Price *        YTM %   
---------------------------------------------------------------------------
Subsidiary General Ledger Account Transactions in2
%  2004                      5.00          107.95           9.9352 12.50 
%  2004                      5.00          107.95           9.9352 12.50 
%  2004                     10.00          107.82           9.9750 12.50 
%  2004                      5.00          108.04           9.9077 12.50 
%  2004                      5.00          107.85           9.9658 12.50 
%  2004                      5.00          107.99           9.9230 12.50 
%  2004                      0.10          108.25           9.8437 12.50 
%  2003                      6.00          103.34           9.7214 11.10 
%  2003                      5.00          103.34           9.7214 11.10 
%  2002                      5.00          102.90           9.6717 11.15 
%  2002                      5.00          102.89           9.6766 11.15 
%  2002                      5.00          102.90           9.6717 11.15 
%  2002                      5.00          102.89           9.6766 11.15 
%  2002                      5.00          102.965          9.6396 11.15 
%  2002                      5.00          102.90           9.6717 11.15 
%  2002                      5.00          102.95           9.6470 11.15 
%  2002                      5.00          102.89           9.6766 11.15 
%  2002                      5.00          102.89           9.6766 11.15 
%  2002                      5.00          102.89           9.6766 11.15 
%  2002                      5.00          102.915          9.6642 11.15 
%  2002                      5.00          102.92           9.6618 11.15 
%  2002                      5.00          102.90           9.6717 11.15 
%  2002                     10.00          102.975          9.6346 11.15 
%  2002                      5.00          102.89           9.6766 11.15 
%  2002                      5.00          102.88           9.6815 11.15 
%  2002                      5.00          102.91           9.6667 11.15 
%  2002                      5.00          102.91           9.6667 11.15 
%  2002                      5.00          102.91           9.6667 11.15 
%  2002                      5.00          102.88           9.6815 11.15 
%  2002                      5.00          102.975          9.6346 11.15 
%  2001                      5.00          102.67           9.5427 11.47 
%  2001                      5.00          102.42           9.6016 11.75 
%  2001                      5.00          102.43           9.5930 11.75 
%  2001                      5.00          102.43           9.5930 11.75 
%  2001                      5.00          102.46           9.5673 11.75 
%  2001                     10.00          102.49           9.5416 11.75 
%  2001                      5.00          102.40           9.6188 11.75 
%  2001                      5.00          102.45           9.5759 11.75 
%  2001                     10.00          102.48           9.5502 11.75 
%  2001                      5.00          101.30           9.6192 10.85 
%  2001                      5.00          102.00           9.5573 11.55 
%  2001                      5.00          101.99           9.5670 11.55 
%  2001                      5.00          101.96           9.5961 11.55 
%  2001                      5.00          101.99           9.5670 11.55 
%  2001                      5.00          102.00           9.5573 11.55 
%  2001                      5.00          101.98           9.5767 11.55 
%  2001                      5.00          102.00           9.5573 11.55 
%  2001                      5.00          101.95           9.6058 11.55 
%  2001                      5.00          101.94           9.6155 11.55 
%  2001                      5.00          101.94           9.6155 11.55 
%  2001                     15.00          102.00           9.5573 11.55 
%  2001                      5.00          101.94           9.6155 11.55 
%  2001                      0.20          102.00           9.5573 11.55 
%  2001                     10.00          102.00           9.5573 11.55 
%  2001                     10.00          101.85           9.7029 11.55 3
%  2008                      5.00          104.90          10.5750 11.50 
%  2008                      5.00          107.60          10.5571 12.00 
%  2008                      5.00          107.31          10.6095 12.00 
