Government Dated Securities and Treasury Bills
at RBI, Mumbai on 15 December 2000
1
 11.40 %  2008                      5.00          102.65          10.8765
 11.40 %  2008                      5.00          102.63          10.8803
 11.40 %  2008                      0.50          102.58          10.8899
 11.40 %  2008                      5.00          102.63          10.8803
 10.80 %  2008                      1.00           99.75          10.8444
 11.90 %  2007                      5.00          105.23          10.7529
 13.05 %  2007                      0.018         109.00          11.0346
 11.00 %  2006                      5.00          101.58          10.6133
 11.00 %  2006                      5.00          101.55          10.6205
 11.00 %  2006                      5.00          101.54          10.6228
 11.00 %  2006                      5.00          101.59          10.6109
 11.00 %  2006                      5.00          101.565         10.6169
 11.00 %  2006                      5.00          101.53          10.6252
 11.68 %  2006                      5.00          104.10          10.6425
 11.68 %  2006                      5.00          104.04          10.6572
 11.68 %  2006                      5.00          104.105         10.6413
 11.19 %  2005                     10.00          102.58          10.4678
 12.50 %  2004                      5.00          105.89          10.3206
 12.50 %  2004                      5.00          105.98          10.2888
 12.50 %  2004                      5.00          105.90          10.3171
 12.50 %  2004                      5.00          105.92          10.3100
 12.50 %  2004                      5.00          105.91          10.3135
 11.83 %  2003                      5.00          103.43          10.2789
 11.83 %  2003                     15.00          103.43          10.2789
 11.83 %  2003                      5.00          103.40          10.2921
 11.75 %  2003                      5.00          103.22          10.2765
 11.55 %  2002                     30.00          102.21          10.2412
 11.55 %  2002                     20.00          102.21          10.2412
 11.55 %  2002                     10.00          102.21          10.2412
 13.82 %  2002                      1.00          105.65          10.2066
 11.15 %  2002                     10.00          101.52          10.1396
 11.00 %  2001                     10.00          100.52          10.3115
 11.75 %  2001                      0.70          101.13           9.9801
 10.85 %  2001                      5.00          100.545          9.8878
 13.85 %  2001                      5.00          101.07           9.7418
 13.85 %  2001                     10.00          101.08           9.7059
 13.85 %  2001                      5.00          101.08           9.7059
          Contract Date : December 14, 2000
 11.40 %  2008                     10.00          102.59          10.8881
          Contract Date : December 13, 2000
A.Government of India Dated Securities
I.  Outright Transactions
---------------------------------------------------------------------------
                                 (in Rs.Crore)    nominal
                                 (Face Value)     Per Rs.100   Indicative
   Nomenclature                  Amount           Price *        YTM %
---------------------------------------------------------------------------
Subsidiary General Ledger Account Transactions in2
 11.30 %  2010                      5.00          101.18          11.0926
 11.30 %  2010                      1.533         101.17          11.0943
 11.30 %  2010                      2.00          101.19          11.0909
 11.30 %  2010                      5.00          101.25          11.0807
 11.30 %  2010                      5.00          101.18          11.0926
 11.30 %  2010                      5.00          101.17          11.0943
 11.30 %  2010                      5.00          101.18          11.0926
