Government Dated Securities and Treasury Bills
Mumbai on 26 February 2001
1
 12.22 %  2008                      0.005         110.00          10.2575
 12.22 %  2008                      0.01          110.00          10.2575
 11.50 %  2007                      8.00          107.40           9.9415
 13.05 %  2007                      1.00          112.25          10.3069
 11.75 %  2006                      5.00          107.96           9.7390
 11.68 %  2006                     10.00          107.81           9.7041
 11.68 %  2006                      5.00          107.81           9.7041
 11.68 %  2006                      5.00          107.81           9.7041
%  2005                     15.00          106.10           9.4809 11.19 
%  2005                     20.00          106.10           9.4809 11.19 
%  2005                     10.00          106.12           9.4755 11.19 
%  2005                      5.00          106.12           9.4755 11.19 
%  2004                      5.00          108.22           9.3596 12.50 
%  2004                      5.00          108.235          9.3541 12.50 
%  2004                      1.00          108.13           9.3922 12.50 
%  2004                      5.00          108.235          9.3541 12.50 
%  2004                     10.00          108.23           9.3559 12.50 
%  2004                      0.04          108.18           9.3741 12.50 
%  2003                     10.00          103.38           9.2942 11.10 
%  2002                      5.00          103.25           9.2253 11.68 
%  2002                      5.00          103.24           9.2326 11.68 
%  2002                     10.00          104.33           9.4678 12.75 
%  2001                     25.00          101.26           9.1277 11.75 
%  2001                      0.30          101.45           8.7382 11.75 
Date : February 24, 2001          Contract 
%  2020                      5.00          100.08          10.6863 10.70 
%  2020                      5.00          100.25          10.6653 10.70 
%  2012                     10.00          104.68          10.3191 11.03 
%  2010                      5.00          107.12          10.1085 11.30 
%  2008                     90.00          109.973         10.0144 12.00 
%  2006                     10.00          107.80           9.7072 11.68 
%  2001                      5.00          101.255          9.1504 11.75 
%  2001                      5.00          101.255          9.1504 11.75 
Date : February 23, 2001          Contract 
%  2001                      5.00          101.28           9.1118 11.75 
%  2001                     25.00          101.28           9.1118 11.75 
%  2001                      5.00          101.28           9.1118 11.75 
%  2001                      5.00          101.28           9.1118 11.75 
%  2001                      5.00          101.28           9.1118 11.75 
Date : February 22, 2001          Contract 
A.Government of India Dated Securities
I.  Outright Transactions
---------------------------------------------------------------------------
Rs.Crore)    nominal in                                  (
Rs.100   Indicative                                 (Face Value)     Per 
Nomenclature                  Amount           Price *        YTM %   
---------------------------------------------------------------------------
at RBI, 
Subsidiary General Ledger Account Transactions in2
 11.75 %  2001                      5.00          101.31           8.9957
 11.75 %  2001                     10.00          101.29           9.0372
 11.75 %  2001                      5.00          101.275          9.0683
 11.75 %  2001                      5.00          101.285          9.0476
 11.75 %  2001                     10.00          101.285          9.0476
 11.75 %  2001                      5.00          101.28           9.0579
 10.85 %  2001                      5.00          100.78           8.9025
 10.85 %  2001                     10.00          100.78           8.9025
 11.55 %  2001                     10.00          100.90           8.8054
 11.55 %  2001                      1.00          100.92           8.7472
 11.55 %  2001                     10.00          100.88           8.8635
 11.55 %  2001                     13.00          100.90           8.8054
          Contract Date : February 26, 2001
 10.70 %  2020                      1.00          100.25          10.6654
 10.70 %  2020                      1.00          100.30          10.6592
 10.70 %  2020                      0.25          100.37          10.6506
 10.70 %  2020                      0.50          100.25          10.6654
 10.70 %  2020                      5.00          100.40          10.6469
 10.70 %  2020                      6.25          100.50          10.6346
 10.70 %  2020                      2.00          100.25          10.6654
 10.70 %  2020                      4.79          100.24          10.6666
 10.70 %  2020                      5.00          100.30          10.6592
 10.70 %  2020                      1.50          100.08          10.6863
 12.60 %  2018                      4.00          113.61          10.8505
 12.30 %  2016                      5.00          111.12          10.7968
 12.30 %  2016                      5.00          111.13          10.7955
 12.30 %  2016                      5.00          111.13          10.7955
 11.43 %  2015                      5.00          106.25          10.5749
 11.43 %  2015                      0.50          106.20          10.5814
 11.50 %  2015                      1.00          106.47          10.6044
 10.47 %  2015                      0.20          100.49          10.4016
 12.40 %  2013                      0.19          112.05          10.6340
 11.03 %  2012                      5.00          104.56          10.3366
 11.03 %  2012                      5.00          104.80          10.3014
 11.03 %  2012                      0.19          104.80          10.3014
 11.03 %  2012                      5.00          104.60          10.3307
  8.00 %  2011                      4.50           90.10           9.5383
 12.32 %  2011                      5.00          110.55          10.5753
 12.32 %  2011                      5.00          110.55          10.5753
 12.32 %  2011                      5.00          110.54          10.5768
 12.32 %  2011                      5.00          110.55          10.5753
 12.32 %  2011                     10.00          110.55          10.5753
 12.32 %  2011                      5.00          110.55          10.5753
 11.30 %  2010                      5.00          107.135         10.1058
 11.30 %  2010                      5.00          107.11          10.1098
 11.30 %  2010                     15.00          107.10          10.1114
 11.30 %  2010                      5.00          107.13          10.1066
 11.30 %  2010                     25.00          107.14          10.1050
 11.30 %  2010                      5.00          107.14          10.1050
 12.25 %  2010                     10.00          110.30          10.4899
 11.99 %  2009                     20.00          109.97          10.1530
 11.99 %  2009                     10.00          109.98          10.1512
 12.25 %  2008                      1.00          110.00          10.3076
 12.25 %  2008                     10.00          110.26          10.2604
 12.22 %  2008                      0.005         110.00          10.25753
 11.19 %  2005                      5.00          106.09           9.4816
 11.19 %  2005                      5.00          106.10           9.4789
 11.19 %  2005                      5.00          106.09           9.4816
 11.19 %  2005                      5.00          106.09           9.4816
 11.19 %  2005                      5.00          106.11           9.4762
 10.20 %  2005                     10.00          102.16           9.5781
