Government Dated Securities and Treasury Bills
Mumbai on 05 January 2001
1
%  2005                     10.00          100.15          10.1563 10.20 
%  2005                      5.00          100.20          10.1422 10.20 
%  2005                     10.00          100.20          10.1422 10.20 
%  2005                     10.00          100.20          10.1422 10.20 
%  2005                     10.00          100.20          10.1422 10.20 
%  2005                      5.00          100.21          10.1394 10.20 
%  2005                      5.00          100.21          10.1394 10.20 
%  2005                      5.00          103.72          10.1826 11.25 
%  2005                      0.498         112.05          10.5196 14.00 
%  2005                      5.00           99.16          10.1373  9.90 
%  2004                      5.00          105.70          10.0758 11.98 
%  2004                     10.00          105.70          10.0758 11.98 
%  2004                      5.00          105.70          10.0758 11.98 
%  2004                     10.00          106.70          10.0008 12.50 
%  2004                      5.00          106.70          10.0008 12.50 
%  2004                      5.00          106.70          10.0008 12.50 
%  2004                      5.00          106.75           9.9830 12.50 
%  2003                     10.00          102.29           9.9263 11.10 
%  2003                      5.00          102.29           9.9263 11.10 
%  2002                     10.00          101.88           9.8738 11.15 
%  2002                     20.00          101.91           9.8540 11.15 
%  2002                      5.00          101.91           9.8540 11.15 
%  2002                     10.00          101.91           9.8540 11.15 
%  2002                      5.00          101.90           9.8606 11.15 
%  2002                     25.00          101.90           9.8606 11.15 
%  2002                      5.00          101.895          9.8639 11.15 
%  2001                     10.00          100.58           9.7496 10.85 
%  2001                      5.00          100.58           9.7496 10.85 
%  2001                      5.00          100.62           9.6764 10.85 
Date : January 04, 2001          Contract 
%  2020                      1.20           96.15          11.1863 10.70 
%  2012                      5.00          100.52          10.9478 11.03 
%  2012                      5.00          100.50          10.9509 11.03 
%  2010                      0.10          103.15          10.7617 11.30 
%  2010                      5.00          103.03          10.7816 11.30 
%  2009                      5.00          107.00          10.6860 11.99 
%  2008                     10.00          104.14          10.5913 11.40 
%  2002                      5.25          105.56          10.1656 13.82 
%  2001                      0.70          101.59           9.4787 13.75 
Date : January 03, 2001          Contract 
A.Government of India Dated Securities
I.  Outright Transactions
---------------------------------------------------------------------------
Rs.Crore)    nominal in                                  (
Rs.100   Indicative                                 (Face Value)     Per 
Nomenclature                  Amount           Price *        YTM %   
---------------------------------------------------------------------------
at RBI, 
Subsidiary General Ledger Account Transactions in2
%  2008                      5.00          104.67          10.4916 11.40 
%  2008                      5.00          104.80          10.4673 11.40 
%  2008                      5.00          104.80          10.4673 11.40 
%  2008                     10.00          104.79          10.4691 11.40 
%  2008                     10.00          104.80          10.4673 11.40 
%  2008                      5.00          104.75          10.4766 11.40 
%  2008                     10.00          104.77          10.4729 11.40 
%  2008                      5.00          104.80          10.4673 11.40 
%  2008                     10.00          104.65          10.4954 11.40 
%  2008                      5.00          104.75          10.4766 11.40 
%  2008                      5.00          104.77          10.4729 11.40 
%  2008                      5.00          104.79          10.4691 11.40 
%  2008                      5.00          104.70          10.4860 11.40 
%  2008                      5.00          104.65          10.4954 11.40 
%  2008                      5.00          104.72          10.4822 11.40 
%  2008                     10.00          104.76          10.4748 11.40 
%  2008                      1.00          100.25          10.7483 10.80 
%  2008                      5.00          107.21          10.5555 12.00 
%  2008                      2.00           94.40          10.6357  9.50 
%  2007                      5.00          105.03          10.4359 11.50 
%  2007                      5.00          106.95          10.3815 11.90 
%  2007                      5.00          106.95          10.3815 11.90 
%  2007                      5.00          106.90          10.3919 11.90 
%  2007                      5.00          107.00          10.3711 11.90 
%  2007                      5.00          106.96          10.3794 11.90 
%  2007                      5.00          106.92          10.3877 11.90 
%  2007                      5.00          106.95          10.3815 11.90 
%  2007                     10.00          107.00          10.3711 11.90 
%  2007                      5.00          106.97          10.3773 11.90 
%  2007                      5.00          107.00          10.3711 11.90 
%  2007                      5.00          107.00          10.3711 11.90 
%  2007                      1.00          106.93          10.3856 11.90 
%  2007                      5.00          111.00          10.6031 13.05 
%  2007                     10.00          111.00          10.6031 13.05 
%  2006                      5.00          103.00          10.2751 11.00 
%  2006                      5.00          103.07          10.2586 11.00 
%  2006                      5.00          103.07          10.2586 11.00 
%  2006                      5.00          103.10          10.2516 11.00 
%  2006                     10.00          103.10          10.2516 11.00 
%  2006                      5.00          103.13          10.2445 11.00 
%  2006                      5.00          103.13          10.2445 11.00 
%  2006                      5.00          103.04          10.2657 11.00 
%  2006                      5.00          103.05          10.2633 11.00 
%  2006                      1.75          104.35          10.4125 11.50 
%  2006                      5.00          105.52          10.2872 11.68 
%  2006                      5.00          105.50          10.2921 11.68 
%  2006                      5.00          105.55          10.2800 11.68 
%  2005                      0.35           92.40          10.2997  8.25 
%  2005                      5.00          103.81          10.1280 11.19 
%  2005                      5.00          103.80          10.1307 11.19 
%  2005                     10.00          103.83          10.1226 11.19 
%  2005                      5.00          103.83          10.1226 11.19 
%  2005                      5.00          103.81          10.1280 11.19 
%  2005                      5.00          103.80          10.1307 11.19 
%  2005                      5.00          103.75          10.1443 11.19 3
%  2010                      5.00          103.55          10.6953 11.30 
%  2010                      5.00          103.15          10.7617 11.30 
%  2010                      5.00          103.64          10.6804 11.30 
%  2010                      5.00          103.60          10.6870 11.30 
%  2010                      5.00          103.66          10.6771 11.30 
%  2010                      5.00          103.67          10.6755 11.30 
%  2010                      5.00          103.56          10.6937 11.30 
%  2010                      5.00          103.65          10.6788 11.30 
%  2010                      5.00          103.58          10.6904 11.30 
%  2010                      5.00          103.68          10.6738 11.30 
%  2010                      5.00          103.64          10.6804 11.30 
%  2010                      5.00          103.67          10.6755 11.30 
%  2010                      5.00          103.60          10.6870 11.30 
%  2010                     10.00          103.69          10.6722 11.30 
%  2010                     10.00          103.685         10.6730 11.30 
%  2010                      0.50          103.55          10.6953 11.30 
%  2010                      1.00          103.50          10.7036 11.30 
%  2010                      2.00          103.52          10.7003 11.30 
%  2010                      5.00          104.00          10.6211 11.30 
%  2010                      5.00          103.52          10.7003 11.30 
%  2010                      5.00          103.67          10.6755 11.30 
%  2010                      5.00          103.70          10.6705 11.30 
%  2010                     10.00          103.58          10.6904 11.30 
%  2010                      5.00          103.64          10.6804 11.30 
%  2010                      5.00          103.68          10.6738 11.30 
%  2010                      5.00          103.66          10.6771 11.30 
%  2010                      5.00          103.65          10.6788 11.30 
%  2010                      5.00          103.575         10.6912 11.30 
%  2010                      5.00          103.66          10.6771 11.30 
%  2010                      2.00          103.57          10.6920 11.30 
%  2010                      0.50          103.70          10.6705 11.30 
%  2010                      0.0145        108.50          10.7965 12.25 
%  2010                      5.00          104.42          10.7405 11.50 
%  2010                      5.00          104.40          10.7438 11.50 
%  2010                      5.00          108.58          10.7805 12.29 
%  2010                      5.00          108.90          10.7275 12.29 
%  2009                      5.00          104.70          10.6324 11.50 
