in Government Dated Securities and Treasury Bills
at RBI, Mumbai on 08 August 2001
1
00016  11.40 %  2008               5.00          114.55           8.6065 
00016  11.40 %  2008               5.00          114.65           8.5889 
00016  11.40 %  2008               5.00          114.99           8.5294 
00016  11.40 %  2008               5.00          114.75           8.5714 
00016  11.40 %  2008               5.00          115.00           8.5277 
98005  11.75 %  2006               5.00          114.55           7.9655 
98005  11.75 %  2006              10.00          114.50           7.9775 
98005  11.75 %  2006               5.00          114.52           7.9727 
99008  11.68 %  2006               5.00          114.43           7.9200 
99008  11.68 %  2006               5.00          114.43           7.9200 
99008  11.68 %  2006               5.00          114.10           7.9989 
99008  11.68 %  2006               5.00          114.45           7.9152 
99008  11.68 %  2006               5.00          114.44           7.9176 
99008  11.68 %  2006               5.00          114.22           7.9702 
99008  11.68 %  2006               5.00          114.45           7.9152 
99008  11.68 %  2006               5.00          114.17           7.9822 
99008  11.68 %  2006               5.00          114.10           7.9989 
99008  11.68 %  2006               5.00          114.44           7.9176 
99008  11.68 %  2006               5.00          114.12           7.9941 
99008  11.68 %  2006               5.00          114.42           7.9224 
97010  11.19 %  2005              10.00          111.74           7.7313 
98008  11.50 %  2004               5.00          114.42           5.7579 
94003  12.50 %  2004               5.00          111.55           7.5618 
94003  12.50 %  2004               5.00          111.745          7.4843 
94003  12.50 %  2004               5.00          111.50           7.5816 
94003  12.50 %  2004               5.00          111.745          7.4843 
94003  12.50 %  2004              10.00          111.54           7.5657 
94003  12.50 %  2004              10.00          111.50           7.5816 
94003  12.50 %  2004               5.00          111.52           7.5737 
94003  12.50 %  2004               5.00          111.55           7.5618 
94003  12.50 %  2004              10.00          111.55           7.5618 
94003  12.50 %  2004               5.00          111.74           7.4863 
94003  12.50 %  2004               5.00          111.735          7.4883 
97011  11.15 %  2002              10.00          103.92           7.2534 
97011  11.15 %  2002              20.00          103.80           7.3689 
97011  11.15 %  2002              10.00          103.92           7.2534 
87006  11.00 %  2002               5.00          102.70           7.2562 
94009  11.75 %  2001              45.00          100.20           7.4695 
94009  11.75 %  2001              25.00          100.216          7.1465 
Date : August 07, 2001          Contract 
A.Government of India Dated Securities
I.  Outright Transactions
---------------------------------------------------------------------------
Rs.Crore)    nominal in                                  (
)     Per Rs.100   Indicative Code                            (Face Value
YTM % Loan  Nomenclature              Amount           Price *         
---------------------------------------------------------------------------
Subsidiary General Ledger Account Transactions2
00017  11.50 %  2011               5.00          113.80           9.3765 
00017  11.50 %  2011               5.00          113.90           9.3625 
00017  11.50 %  2011               5.00          113.70           9.3906 
00017  11.50 %  2011               5.00          113.91           9.3611 
00017  11.50 %  2011               5.00          113.70           9.3906 
00017  11.50 %  2011               5.00          113.76           9.3822 
00017  11.50 %  2011               3.00          114.45           9.2857 
01007   9.39 %  2011               0.10          101.00           9.2312 
01007   9.39 %  2011               5.00          100.91           9.2452 
01007   9.39 %  2011               1.00          100.94           9.2405 
01007   9.39 %  2011               1.00          101.00           9.2312 
00010  10.95 %  2011               0.50          110.05           9.3579 
99005  12.32 %  2011               5.00          115.65           9.7515 
99005  12.32 %  2011              10.00          115.69           9.7456 
99005  12.32 %  2011              10.00          115.67           9.7486 
99005  12.32 %  2011              10.00          115.65           9.7515 
99005  12.32 %  2011               5.00          115.50           9.7738 
99005  12.32 %  2011               5.00          115.67           9.7486 
00014  11.30 %  2010               5.00          113.03           9.1400 
00014  11.30 %  2010               5.00          113.00           9.1446 
99006  11.99 %  2009              10.00          115.71           9.0943 
99006  11.99 %  2009              10.00          115.73           9.0909 
99006  11.99 %  2009              10.00          115.72           9.0926 
99006  11.99 %  2009               5.00          115.72           9.0926 
99006  11.99 %  2009               5.00          115.72           9.0926 
00016  11.40 %  2008               5.00          114.55           8.6065 
00016  11.40 %  2008               5.00          114.66           8.5872 
00016  11.40 %  2008               5.00          114.75           8.5714 
00016  11.40 %  2008               5.00          114.55           8.6065 
00016  11.40 %  2008               5.00          115.03           8.5224 
00016  11.40 %  2008               5.00          114.75           8.5714 
00016  11.40 %  2008               5.00          114.60           8.5977 
00016  11.40 %  2008               5.00          114.76           8.5696 
00016  11.40 %  2008               5.00          115.02           8.5242 
00016  11.40 %  2008               5.00          115.03           8.5224 
00016  11.40 %  2008               5.00          115.03           8.5224 
00016  11.40 %  2008               5.00          115.02           8.5242 
00016  11.40 %  2008               5.00          114.55           8.6065 
00016  11.40 %  2008               5.00          114.65           8.5889 
