in Government Dated Securities and Treasury Bills
Mumbai on 31 May 2001
1
 94003  12.50 %  2004               5.00          109.22           8.7216
 94003  12.50 %  2004              10.00          109.12           8.7602
 94003  12.50 %  2004              10.00          109.11           8.7640
 94003  12.50 %  2004               5.00          109.22           8.7216
 94003  12.50 %  2004               5.00          109.22           8.7216
 94003  12.50 %  2004               5.00          109.15           8.7486
 94003  12.50 %  2004               5.00          109.155          8.7467
 94003  12.50 %  2004               5.00          109.15           8.7486
 94003  12.50 %  2004              25.00          109.14           8.7525
 94003  12.50 %  2004               5.00          109.15           8.7486
 94003  12.50 %  2004               5.00          109.15           8.7486
 94003  12.50 %  2004              10.00          109.09           8.7718
 94003  12.50 %  2004              10.00          109.14           8.7525
 94003  12.50 %  2004              10.00          109.22           8.7216
 94003  12.50 %  2004              10.00          109.095          8.7698
 94003  12.50 %  2004               5.00          109.13           8.7563
 94003  12.50 %  2004               5.00          109.13           8.7563
94003  12.50 %  2004               5.00          109.14           8.7525 
94003  12.50 %  2004              25.00          109.17           8.7409 
97008  11.83 %  2003               0.15          105.40           8.9759 
98004  11.10 %  2003              10.00          104.19           8.5912 
98004  11.10 %  2003               5.00          104.23           8.5681 
98004  11.10 %  2003               5.00          104.23           8.5681 
97004  12.69 %  2002              24.00          103.735          8.4771 
94009  11.75 %  2001               5.00          100.69           8.6008 
94009  11.75 %  2001              10.00          100.71           8.5157 
94009  11.75 %  2001               5.00          100.71           8.5157 
94009  11.75 %  2001              10.00          100.74           8.3881 
98013  11.55 %  2001              15.00          100.26           8.3535 
Date : May 30, 2001          Contract 
00008  10.70 %  2020               5.00          103.00          10.3331 
98021  12.40 %  2013               5.00          115.45          10.1593 
00012  11.03 %  2012               5.00          108.01           9.8269 
00017  11.50 %  2011               5.00          110.94           9.8061 
00017  11.50 %  2011               5.00          110.88           9.8147 
99005  12.32 %  2011               5.00          114.00          10.0200 
99005  12.32 %  2011              10.00          114.10          10.0050 
00016  11.40 %  2008               4.28          110.075          9.4441 
00016  11.40 %  2008              10.00          110.08           9.4432 
Date : May 29, 2001          Contract 
A.Government of India Dated Securities
I.  Outright Transactions
---------------------------------------------------------------------------
Rs.Crore)    nominal in                                  (
)     Per Rs.100   Indicative Code                            (Face Value
Loan  Nomenclature              Amount           Price *        YTM % 
---------------------------------------------------------------------------
at RBI, 
Subsidiary General Ledger Account Transactions2
 98007  12.00 %  2008              10.00          111.85           9.6128
 98009  11.90 %  2007               5.00          112.20           9.2061
 98009  11.90 %  2007              15.00          112.22           9.2020
 98009  11.90 %  2007               5.00          112.25           9.1959
 98009  11.90 %  2007               5.00          112.25           9.1959
 98009  11.90 %  2007               5.00          112.22           9.2020
 00013  11.00 %  2006               5.00          108.27           8.9573
 00013  11.00 %  2006               5.00          108.30           8.9503
 00013  11.00 %  2006               5.00          108.22           8.9690
 00013  11.00 %  2006               5.00          108.29           8.9526
 00013  11.00 %  2006               5.00          108.30           8.9503
 00013  11.00 %  2006               5.00          108.22           8.9690
 00013  11.00 %  2006               5.00          108.24           8.9643
 00013  11.00 %  2006               5.00          108.28           8.9550
 00013  11.00 %  2006               5.00          108.26           8.9597
 00013  11.00 %  2006              10.00          108.23           8.9667
 00013  11.00 %  2006               5.00          108.04           9.0112
 00013  11.00 %  2006               5.00          108.20           8.9737
 00013  11.00 %  2006               5.00          108.15           8.9854
 96009  13.85 %  2006(INSTA         0.10          115.50           9.8828
