in Government Dated Securities and Treasury Bills
at RBI, Mumbai on 27 April 2001
1
 97010  11.19 %  2005               2.50          106.75           9.2414
 00007   9.90 %  2005               1.00          102.05           9.2727
 98022  11.98 %  2004              10.00          107.89           9.1928
 98022  11.98 %  2004               5.00          107.89           9.1928
 98022  11.98 %  2004               5.00          107.90           9.1895
 97007  12.59 %  2004              10.00          108.85           9.2701
 98008  11.50 %  2004              10.00          105.995          9.1891
 98008  11.50 %  2004               5.00          105.95           9.2058
 94003  12.50 %  2004               5.00          108.67           9.0354
 94003  12.50 %  2004               5.00          108.69           9.0279
 94003  12.50 %  2004               5.00          108.68           9.0316
 94003  12.50 %  2004              20.00          108.685          9.0298
 94003  12.50 %  2004               5.00          108.67           9.0354
 94003  12.50 %  2004               5.00          108.70           9.0241
 94003  12.50 %  2004               5.00          108.66           9.0392
 94003  12.50 %  2004               5.00          108.66           9.0392
 94003  12.50 %  2004               5.00          108.69           9.0279
 94003  12.50 %  2004               5.00          108.67           9.0354
 94003  12.50 %  2004               5.00          108.69           9.0279
 94003  12.50 %  2004               5.00          108.69           9.0279
 94003  12.50 %  2004               5.00          108.69           9.0279
 94003  12.50 %  2004              10.00          108.67           9.0354
 94003  12.50 %  2004               0.05          109.05           8.8922
 94003  12.50 %  2004               5.00          108.685          9.0298
 94003  12.50 %  2004               5.00          108.70           9.0241
 94003  12.50 %  2004               5.00          108.70           9.0241
 94003  12.50 %  2004               5.00          108.70           9.0241
 97011  11.15 %  2002              10.00          102.78           8.8943
 97011  11.15 %  2002              25.00          102.76           8.9100
 97011  11.15 %  2002              20.00          102.76           8.9100
 98019  11.68 %  2002              10.00          103.21           8.9393
 95005  13.80 %  2002              25.00          104.88           8.9957
 94009  11.75 %  2001              10.00          100.91           8.8079
 98013  11.55 %  2001               0.50          100.40           9.1318
 98013  11.55 %  2001               2.00          100.40           9.1318
 96007  13.75 %  2001              10.00          100.41           8.2973
          Contract Date : April 26, 2001
 00015  11.43 %  2015               5.00          106.36          10.5533
 00015  11.43 %  2015               5.00          106.37          10.5520
          Contract Date : April 24, 2001
A.Government of India Dated Securities
I.  Outright Transactions
---------------------------------------------------------------------------
                                 (in Rs.Crore)    nominal
 Code                            (Face Value)     Per Rs.100   Indicative
 Loan  Nomenclature              Amount           Price *        YTM %
---------------------------------------------------------------------------
Subsidiary General Ledger Account Transactions2
 00014  11.30 %  2010               5.00          107.40          10.0475
 00014  11.30 %  2010               5.00          107.40          10.0475
 00014  11.30 %  2010              10.00          107.31          10.0620
 00014  11.30 %  2010               5.00          107.41          10.0459
 00014  11.30 %  2010               5.00          107.39          10.0491
 00014  11.30 %  2010              10.00          107.39          10.0491
 00014  11.30 %  2010               5.00          107.33          10.0587
 00014  11.30 %  2010               5.00          107.33          10.0587
 00014  11.30 %  2010              10.00          107.25          10.0716
 00014  11.30 %  2010               5.00          107.35          10.0555
 00014  11.30 %  2010               5.00          107.35          10.0555
 90010  11.50 %  2010              10.00          107.30          10.2451
 99006  11.99 %  2009               5.00          110.10          10.1082
 99006  11.99 %  2009               5.00          110.10          10.1082
 99006  11.99 %  2009               5.00          110.10          10.1082
 99006  11.99 %  2009              10.00          110.12          10.1047
 99006  11.99 %  2009               5.00          110.10          10.1082
 00016  11.40 %  2008              10.00          108.34           9.7768
 00016  11.40 %  2008               5.00          108.46           9.7548
 00016  11.40 %  2008               5.00          108.40           9.7658
 00016  11.40 %  2008               5.00          108.38           9.7695
 00016  11.40 %  2008               5.00          108.37           9.7713
 00016  11.40 %  2008               5.00          108.39           9.7676
 00016  11.40 %  2008              20.00          108.30           9.7842
 00016  11.40 %  2008               5.00          108.40           9.7658
 00016  11.40 %  2008              10.00          108.30           9.7842
 00016  11.40 %  2008               5.00          108.44           9.7584
 00016  11.40 %  2008               5.00          108.43           9.7603
 00016  11.40 %  2008               5.00          108.45           9.7566
 00016  11.40 %  2008               5.00          108.46           9.7548
 00016  11.40 %  2008               5.00          108.44           9.7584
 00016  11.40 %  2008               5.00          108.44           9.7584
 00016  11.40 %  2008              10.00          108.45           9.7566
 00016  11.40 %  2008               5.00          108.42           9.7621
 00016  11.40 %  2008               5.00          108.40           9.7658
 00016  11.40 %  2008               5.00          108.40           9.7658
 00016  11.40 %  2008               5.00          108.45           9.7566
 00016  11.40 %  2008               5.00          108.45           9.7566
 00016  11.40 %  2008               5.00          108.40           9.7658
 98009  11.90 %  2007              20.00          110.08           9.6667
 98009  11.90 %  2007               5.00          110.23           9.6355
 98009  11.90 %  2007               5.00          110.23           9.6355
 98009  11.90 %  2007               5.00          110.23           9.6355
 98009  11.90 %  2007               5.00          110.24           9.6335
 98009  11.90 %  2007               5.00          110.26           9.6293
 00013  11.00 %  2006               5.00          106.56           9.3826
 00013  11.00 %  2006               5.00          106.565          9.3815
 00013  11.00 %  2006               5.00          106.56           9.3826
 00013  11.00 %  2006              25.00          106.55           9.3850
 00013  11.00 %  2006               5.00          106.56           9.3826
 00013  11.00 %  2006              10.00          106.56           9.3826
 00013  11.00 %  2006               5.00          106.51           9.3944
 00013  11.00 %  2006              10.00          106.56           9.3826
 99008  11.68 %  2006               5.00          108.84           9.4046
 99008  11.68 %  2006               2.50          108.65           9.45093
 00012  11.03 %  2012               5.00          105.15          10.2424
 00012  11.03 %  2012               5.00          105.15          10.2424
 00012  11.03 %  2012               5.00          105.17          10.2395
 00012  11.03 %  2012               5.00          105.12          10.2468
 00012  11.03 %  2012               5.00          105.19          10.2366
 00012  11.03 %  2012               5.00          105.19          10.2366
 00012  11.03 %  2012               5.00          105.20          10.2351
 00012  11.03 %  2012               5.00          105.20          10.2351
 00012  11.03 %  2012               5.00          105.18          10.2380
 00012  11.03 %  2012               5.00          105.20          10.2351
 00012  11.03 %  2012               5.00          105.125         10.2461
 00012  11.03 %  2012               1.25          104.60          10.3233
 00012  11.03 %  2012               5.00          105.21          10.2337
 00012  11.03 %  2012               5.00          105.125         10.2461
 00012  11.03 %  2012               5.00          105.13          10.2454
 00012  11.03 %  2012               5.00          105.12          10.2468
 00012  11.03 %  2012               5.00          105.17          10.2395
 00012  11.03 %  2012               5.00          105.00          10.2644
 00012  11.03 %  2012               5.00          105.00          10.2644
 00012  11.03 %  2012              10.00          105.00          10.2644
 00012  11.03 %  2012               5.00          105.20          10.2351
 84005  10.25 %  2012               1.00           99.53          10.3190
 84005  10.25 %  2012               1.00           99.60          10.3082
 84005  10.25 %  2012               0.50           99.60          10.3082
 00017  11.50 %  2011               5.00          108.55          10.1596
 00017  11.50 %  2011               5.00          108.55          10.1596
 00017  11.50 %  2011               5.00          108.38          10.1847
 00017  11.50 %  2011               5.00          108.55          10.1596
