in Government Dated Securities and Treasury Bills
Mumbai on 24 April 2001
1
 00016  11.40 %  2008               5.00          108.45           9.7580
 00016  11.40 %  2008               5.00          108.43           9.7617
 00016  11.40 %  2008               5.00          108.41           9.7653
 98012  12.10 %  2008               5.00          110.00          10.0974
 98007  12.00 %  2008               0.10          109.40          10.0981
 98007  12.00 %  2008               5.00          109.35          10.1076
 98002  12.15 %  2008               5.00          109.90          10.1222
 98002  12.15 %  2008              10.00          109.90          10.1222
 84002   9.50 %  2008               0.15           98.15           9.8737
 98009  11.90 %  2007              10.00          110.15           9.6540
 98009  11.90 %  2007               5.00          110.16           9.6519
 98009  11.90 %  2007               5.00          110.11           9.6622
 00013  11.00 %  2006              10.00          106.55           9.3869
 00013  11.00 %  2006               5.00          106.54           9.3893
 00013  11.00 %  2006               5.00          106.54           9.3893
 00013  11.00 %  2006               5.00          107.00           9.2814
 98005  11.75 %  2006              20.00          108.87           9.4736
 98005  11.75 %  2006               5.00          108.98           9.4469
 99008  11.68 %  2006               5.00          108.80           9.4177
 99008  11.68 %  2006               5.00          108.79           9.4201
 99008  11.68 %  2006               5.00          108.79           9.4201
 99008  11.68 %  2006               5.00          108.795          9.4189
 99008  11.68 %  2006               5.00          108.78           9.4225
 00007   9.90 %  2005               5.00          101.85           9.3347
 98022  11.98 %  2004              10.00          107.89           9.1988
 98022  11.98 %  2004               5.00          107.86           9.2088
 97007  12.59 %  2004               5.00          108.72           9.3229
 97007  12.59 %  2004               5.00          108.74           9.3158
 97007  12.59 %  2004               5.00          108.74           9.3158
 94003  12.50 %  2004               5.00          108.735          9.0197
 94003  12.50 %  2004               0.635         108.50           9.1083
 94003  12.50 %  2004               5.00          108.735          9.0197
 94003  12.50 %  2004               5.00          108.73           9.0216
 94003  12.50 %  2004               5.00          108.73           9.0216
97011  11.15 %  2002              10.00          102.82           8.8764 
97004  12.69 %  2002               5.00          103.64           8.9591 
97004  12.69 %  2002               1.289         103.50           9.0983 
Date : April 23, 2001          Contract 
00008  10.70 %  2020               2.50           99.85          10.7184 
Date : April 20, 2001          Contract 
A.Government of India Dated Securities
I.  Outright Transactions
---------------------------------------------------------------------------
Rs.Crore)    nominal in                                  (
)     Per Rs.100   Indicative Code                            (Face Value
Loan  Nomenclature              Amount           Price *        YTM % 
---------------------------------------------------------------------------
at RBI, 
Subsidiary General Ledger Account Transactions2
 00012  11.03 %  2012               5.00          104.75          10.3015
 00012  11.03 %  2012               0.50          104.60          10.3236
 84005  10.25 %  2012               5.00           99.30          10.3542
 00017  11.50 %  2011              15.00          107.86          10.2622
 00017  11.50 %  2011               0.50          107.40          10.3309
 00017  11.50 %  2011              10.00          107.86          10.2622
 00010  10.95 %  2011               5.00          104.82          10.1719
 00010  10.95 %  2011              10.00          104.817         10.1723
 00010  10.95 %  2011              10.00          104.81          10.1734
 00010  10.95 %  2011               5.00          104.87          10.1641
 00010  10.95 %  2011              10.00          104.80          10.1750
 00010  10.95 %  2011              20.00          104.80          10.1750
 99005  12.32 %  2011              10.00          110.74          10.5270
 99005  12.32 %  2011               5.00          110.765         10.5231
 00014  11.30 %  2010               5.00          107.33          10.0594
 98015  12.25 %  2010               5.00          110.40          10.4555
 80003   7.50 %  2010               2.00           85.19          10.0257
 99004  12.29 %  2010              10.00          110.35          10.4516
 99004  12.29 %  2010               5.00          110.30          10.4599
 99004  12.29 %  2010              10.00          110.32          10.4565
 99006  11.99 %  2009               5.00          110.03          10.1220
 99006  11.99 %  2009               5.00          110.06          10.1168
 99006  11.99 %  2009               5.00          110.06          10.1168
 99006  11.99 %  2009               5.00          110.075         10.1141
 99006  11.99 %  2009               5.00          110.06          10.1168
 99006  11.99 %  2009               5.00          110.07          10.1150
 98023  12.25 %  2008               0.05          110.25          10.2312
 00016  11.40 %  2008              10.00          108.42           9.7635
 00016  11.40 %  2008              10.00          108.435          9.7607
 00016  11.40 %  2008               5.00          108.46           9.7561
 00016  11.40 %  2008               5.00          108.45           9.7580
 00016  11.40 %  2008               5.00          108.00           9.8408
 00016  11.40 %  2008              20.00          108.47           9.7543
 00016  11.40 %  2008               5.00          108.44           9.7598
 00016  11.40 %  2008               5.00          108.44           9.7598
 00016  11.40 %  2008               5.00          108.43           9.7617
 00016  11.40 %  2008              25.00          108.48           9.7525
 00016  11.40 %  2008              30.00          108.49           9.7506
 00016  11.40 %  2008               5.00          108.43           9.7617
 00016  11.40 %  2008              10.00          108.41           9.7653
 00016  11.40 %  2008              10.00          108.475          9.7534
 00016  11.40 %  2008               5.00          108.46           9.7561
 00016  11.40 %  2008               5.00          108.42           9.7635
 00016  11.40 %  2008               5.00          108.47           9.7543
 00016  11.40 %  2008               5.00          108.50           9.7488
 00016  11.40 %  2008               5.00          108.44           9.7598
 00016  11.40 %  2008               5.00          108.44           9.7598
 00016  11.40 %  2008               5.00          108.43           9.7617
 00016  11.40 %  2008               5.00          108.50           9.7488
 00016  11.40 %  2008               5.00          108.43           9.7617
 00016  11.40 %  2008               5.00          108.44           9.7598
 00016  11.40 %  2008               5.00          108.49           9.7506
 00016  11.40 %  2008               5.00          108.49           9.7506
 00016  11.40 %  2008               5.00          108.42           9.7635
 00016  11.40 %  2008               5.00          108.47           9.75433
 01003  10.71 %  2016               5.00          100.70          10.6153
 01003  10.71 %  2016               5.00          100.60          10.6287
 01003  10.71 %  2016               5.00          100.84          10.5965
