in Government Dated Securities and Treasury Bills
 00012  11.03 %  2012               5.00          110.74           9.4321
 00012  11.03 %  2012               5.00          110.74           9.4321
 00012  11.03 %  2012              15.00          110.75           9.4307
 00012  11.03 %  2012               5.00          110.74           9.4321
 00012  11.03 %  2012               5.00          110.76           9.4293
 00012  11.03 %  2012               5.00          110.76           9.4293
 00012  11.03 %  2012               5.00          110.74           9.4321
 00012  11.03 %  2012               5.00          110.74           9.4321
 00012  11.03 %  2012               5.00          110.76           9.4293
 00012  11.03 %  2012               5.00          110.745          9.4314
 00012  11.03 %  2012               5.00          110.75           9.4307
 00012  11.03 %  2012               5.00          110.74           9.4321
 00012  11.03 %  2012               5.00          110.745          9.4314
 00012  11.03 %  2012               5.00          110.74           9.4321
 00012  11.03 %  2012               5.00          110.74           9.4321
 84005  10.25 %  2012               5.00          104.50           9.5682
 84005  10.25 %  2012               4.00          104.60           9.5536
 84005  10.25 %  2012               0.50          103.25           9.7522
 84005  10.25 %  2012               0.26          103.00           9.7894
 00017  11.50 %  2011               5.00          114.72           9.2460
 00017  11.50 %  2011               5.00          114.82           9.2321
 00017  11.50 %  2011               5.00          114.73           9.2446
 00017  11.50 %  2011               5.00          114.73           9.2446
 00017  11.50 %  2011               5.00          114.73           9.2446
 00017  11.50 %  2011               5.00          114.73           9.2446
 00017  11.50 %  2011               4.00          114.80           9.2349
 00017  11.50 %  2011               5.00          114.75           9.2419
 00017  11.50 %  2011               5.00          114.725          9.2453
 00017  11.50 %  2011               5.00          114.74           9.2432
 00017  11.50 %  2011               5.00          114.74           9.2432
 00017  11.50 %  2011               5.00          114.74           9.2432
 00017  11.50 %  2011               5.00          114.735          9.2439
 00017  11.50 %  2011               5.00          114.74           9.2432
 00017  11.50 %  2011               5.00          114.70           9.24884
 94003  12.50 %  2004               5.00          111.91           7.3879
 94003  12.50 %  2004               5.00          111.90           7.3919
 98004  11.10 %  2003              15.00          105.855          7.2516
 97011  11.15 %  2002              10.00          103.93           7.1789
          Contract Date : August 14, 2001
 01006  10.25 %  2021               2.00          102.47           9.9585
 01006  10.25 %  2021               3.00          102.32           9.9756
 01006  10.25 %  2021               2.00          101.75          10.0412
 01006  10.25 %  2021              10.00          102.25           9.9837
 01006  10.25 %  2021               0.02          102.50           9.9550
 01006  10.25 %  2021               1.00          102.34           9.9733
 01006  10.25 %  2021               5.00          102.285          9.9796
 01006  10.25 %  2021               0.60          102.35           9.9722
 01008  10.03 %  2019               1.00          100.83           9.9298
 01008  10.03 %  2019               1.50          101.03           9.9059
 01008  10.03 %  2019               1.00          101.03           9.9059
 01008  10.03 %  2019               2.00          101.15           9.8916
 01008  10.03 %  2019               0.96          101.10           9.8976
 01008  10.03 %  2019               0.75          101.06           9.9023
 01008  10.03 %  2019               5.00          101.07           9.9011
 01008  10.03 %  2019               1.00          101.10           9.8976
 01008  10.03 %  2019               5.00          101.00           9.9095
 01008  10.03 %  2019               0.50          101.15           9.8916
 01008  10.03 %  2019               1.00          101.10           9.8976
 01008  10.03 %  2019               2.00          101.08           9.9000
 01008  10.03 %  2019               3.00          101.08           9.9000
 01008  10.03 %  2019               2.50          101.10           9.8976
 01008  10.03 %  2019               1.54          101.10           9.8976
 01008  10.03 %  2019               5.00          101.10           9.8976
 01008  10.03 %  2019               1.25          100.95           9.9155
 01008  10.03 %  2019               1.00          101.15           9.8916
 01008  10.03 %  2019              20.00          101.09           9.8988
 01008  10.03 %  2019               3.00          101.08           9.9000
 01008  10.03 %  2019               2.00          101.05           9.9035
 01008  10.03 %  2019               4.25          101.06           9.9023
 01008  10.03 %  2019               1.00          100.80           9.9334
 01008  10.03 %  2019               5.00          101.08           9.9000
 01008  10.03 %  2019               5.00          101.08           9.9000
 01008  10.03 %  2019               5.00          101.12           9.8952
 01008  10.03 %  2019               2.00          101.15           9.8916
 01008  10.03 %  2019               2.00          101.14           9.8928
 01008  10.03 %  2019               5.00          101.11           9.8964
 98025  12.60 %  2018               3.00          120.02          10.1196
 98025  12.60 %  2018               1.00          120.00          10.1217
 01004  10.45 %  2018               5.00          104.53           9.8868
 00015  11.43 %  2015               5.00          111.80           9.8567
 00015  11.43 %  2015               5.00          111.83           9.8531
 00015  11.43 %  2015               0.74          112.00           9.8322
 01001  10.47 %  2015               5.00          105.36           9.7475
 01001  10.47 %  2015               0.50          104.85           9.8139
 83004  10.00 %  2014               3.35          102.00           9.7196
 01005   9.81 %  2013               5.00          102.32           9.4753
 01005   9.81 %  2013               5.00          102.35           9.4711
 01005   9.81 %  2013               5.00          102.33           9.4739
 01005   9.81 %  2013               5.00          102.44           9.45855
 97002  13.05 %  2007               5.00          119.50           8.6326
 00013  11.00 %  2006               5.00          112.91           7.8065
 00013  11.00 %  2006               5.00          112.92           7.8042
 00013  11.00 %  2006               5.00          112.93           7.8019
 00013  11.00 %  2006               5.00          112.93           7.8019
 00013  11.00 %  2006               5.00          112.91           7.8065
 99008  11.68 %  2006               5.00          114.96           7.7818
 99008  11.68 %  2006               5.00          114.94           7.7866
 99008  11.68 %  2006               5.00          114.94           7.7866
 99008  11.68 %  2006              10.00          114.94           7.7866
 99008  11.68 %  2006               5.00          114.96           7.7818
 99008  11.68 %  2006               5.00          114.95           7.7842
 99008  11.68 %  2006               5.00          114.96           7.7818
 97010  11.19 %  2005               5.00          112.11           7.6165
 97010  11.19 %  2005               5.00          112.13           7.6110
 97010  11.19 %  2005               5.00          112.13           7.6110
 97010  11.19 %  2005               5.00          112.12           7.6137
 97010  11.19 %  2005               5.00          112.12           7.6137
 97010  11.19 %  2005               5.00          112.11           7.6165
 97010  11.19 %  2005              10.00          112.11           7.6165
 97010  11.19 %  2005               5.00          112.11           7.6165
 97010  11.19 %  2005               5.00          112.13           7.6110
 00011  10.20 %  2005               5.00          108.505          7.6393
 00011  10.20 %  2005               5.00          108.51           7.6378
 00011  10.20 %  2005               5.00          108.50           7.6407
 00011  10.20 %  2005               5.00          108.50           7.6407
 00007   9.90 %  2005               5.00          107.115          7.6433
 00007   9.90 %  2005               5.00          107.115          7.6433
 97007  12.59 %  2004               5.00          112.62           7.5658
 97007  12.59 %  2004              15.00          112.62           7.5658
 97007  12.59 %  2004              10.00          112.62           7.5658
 97007  12.59 %  2004              10.00          112.62           7.5658
 97007  12.59 %  2004               5.00          112.62           7.5658
 97007  12.59 %  2004              10.00          112.63           7.5621
 97007  12.59 %  2004               5.00          112.62           7.5658
 94003  12.50 %  2004              15.00          111.895          7.3939
 94003  12.50 %  2004               5.00          111.925          7.3820
 94003  12.50 %  2004               5.00          111.915          7.3860
 94003  12.50 %  2004               5.00          111.91           7.3879
 94003  12.50 %  2004               5.00          111.91           7.3879
 94003  12.50 %  2004               5.00          111.91           7.3879
 94003  12.50 %  2004               5.00          111.885          7.3979
 94003  12.50 %  2004              10.00          111.905          7.3899
 94003  12.50 %  2004               5.00          111.905          7.3899
 94003  12.50 %  2004               5.00          111.90           7.3919
 94003  12.50 %  2004               5.00          111.905          7.3899
 94003  12.50 %  2004               5.00          111.905          7.3899
 94003  12.50 %  2004               5.00          111.905          7.3899
 94003  12.50 %  2004               5.00          111.90           7.3919
 94003  12.50 %  2004               5.00          111.905          7.3899
 94003  12.50 %  2004              10.00          111.90           7.3919
 94003  12.50 %  2004              10.00          111.90           7.3919
 94003  12.50 %  2004               5.00          111.90           7.3919
 94003  12.50 %  2004               5.00          111.91           7.3879
 94003  12.50 %  2004               5.00          111.91           7.38796
 99005  12.32 %  2011               5.00          116.12           9.6782
 00014  11.30 %  2010               5.00          113.26           9.1015
 00014  11.30 %  2010               5.00          113.275          9.0992
 00014  11.30 %  2010               5.00          113.26           9.1015
 00014  11.30 %  2010               5.00          113.26           9.1015
 00014  11.30 %  2010               5.00          113.32           9.0923
