Government Dated Securities and Treasury Bills
at RBI, Mumbai on 01 February 2001
1
 11.19 %  2005                      0.18          104.81           9.8463
 11.19 %  2005                      0.60          104.81           9.8463
  9.90 %  2005                      5.00          100.14           9.8500
  9.90 %  2005                      5.00          100.08           9.8677
  9.90 %  2005                      0.04          100.14           9.8500
 11.98 %  2004                      5.00          106.48           9.7943
 11.50 %  2004                      5.00          104.75           9.7571
 11.50 %  2004                      5.00          104.75           9.7571
 12.50 %  2004                      5.00          107.405          9.7000
 12.50 %  2004                      5.00          107.41           9.6982
 12.50 %  2004                     25.00          107.40           9.7018
 12.50 %  2004                     30.00          107.405          9.7000
 12.50 %  2004                      5.00          107.45           9.6838
 12.50 %  2004                      5.00          107.48           9.6730
 12.50 %  2004                     10.00          107.40           9.7018
 12.50 %  2004                      5.00          107.39           9.7054
 12.50 %  2004                      5.00          107.41           9.6982
 12.50 %  2004                      5.00          107.42           9.6946
 12.50 %  2004                     30.00          107.40           9.7018
 12.50 %  2004                      5.00          107.42           9.6946
 12.50 %  2004                      5.00          107.43           9.6910
 12.50 %  2004                     10.00          107.41           9.6982
 12.50 %  2004                      5.00          107.45           9.6838
 12.50 %  2004                      5.00          107.42           9.6946
 13.82 %  2002                      0.15          106.40           9.4711
 11.15 %  2002                     10.00          102.32           9.5243
 11.15 %  2002                     10.00          102.32           9.5243
 11.15 %  2002                     10.00          102.31           9.5312
 11.15 %  2002                     10.00          102.31           9.5312
 11.15 %  2002                      5.00          102.31           9.5312
 13.55 %  2001                      0.49          102.90           9.7468
 13.75 %  2001                      4.00          101.175          9.7672
          Contract Date : January 31, 2001
 12.30 %  2016                     10.00          109.81          10.9646
 11.43 %  2015                     10.00          104.66          10.7868
 11.43 %  2015                      5.00          104.68          10.7841
 11.03 %  2012                      0.10          102.77          10.6055
 11.40 %  2008                      5.00          105.79          10.2785
 11.40 %  2008                      5.00          105.795         10.2775
          Contract Date : January 30, 2001
A.Government of India Dated Securities
I.  Outright Transactions
---------------------------------------------------------------------------
                                 (in Rs.Crore)    nominal
                                 (Face Value)     Per Rs.100   Indicative
   Nomenclature                  Amount           Price *        YTM %
---------------------------------------------------------------------------
Subsidiary General Ledger Account Transactions in2
 11.99 %  2009                      0.25          108.65          10.3886
 11.40 %  2008                     10.00          106.27          10.1893
 11.40 %  2008                     20.00          106.20          10.2023
 11.40 %  2008                      5.00          106.26          10.1912
 11.40 %  2008                      5.00          106.16          10.2097
 11.40 %  2008                      5.00          106.10          10.2208
 11.40 %  2008                      5.00          106.15          10.2115
 11.40 %  2008                      5.00          106.16          10.2097
 11.40 %  2008                      5.00          106.09          10.2226
 11.40 %  2008                      5.00          105.80          10.2764
 11.40 %  2008                      5.00          106.17          10.2078
 11.40 %  2008                      5.00          106.15          10.2115
 11.40 %  2008                      5.00          106.13          10.2152
 11.40 %  2008                      5.00          106.20          10.2023
 11.40 %  2008                     10.00          106.27          10.1893
 11.40 %  2008                      5.00          106.18          10.2060
 11.40 %  2008                      5.00          106.12          10.2171
 11.40 %  2008                      5.00          106.26          10.1912
 11.40 %  2008                      5.00          106.16          10.2097
 11.40 %  2008                     15.00          106.20          10.2023
 11.40 %  2008                      5.00          106.25          10.1930
 11.40 %  2008                      5.00          106.26          10.1912
 11.40 %  2008                      5.00          106.10          10.2208
 11.40 %  2008                      5.00          106.18          10.2060
 11.40 %  2008                      5.00          106.15          10.2115
 11.40 %  2008                      5.00          106.15          10.2115
 11.40 %  2008                      5.00          106.18          10.2060
 11.40 %  2008                      5.00          106.15          10.2115
 11.40 %  2008                      5.00          106.16          10.2097
 11.40 %  2008                      5.00          106.18          10.2060
 11.40 %  2008                      5.00          106.25          10.1930
 12.10 %  2008                      0.15          108.30          10.4536
 12.00 %  2008                     10.00          108.31          10.3360
 12.00 %  2008                      5.00          108.33          10.3322
 12.00 %  2008                      5.00          108.33          10.3322
 11.90 %  2007                      5.00          108.10          10.1273
 11.90 %  2007                      5.00          108.10          10.1273
 11.90 %  2007                      1.00          107.95          10.1584
 11.90 %  2007                      1.00          107.95          10.1584
 11.90 %  2007                      5.00          108.10          10.1273
 11.90 %  2007                      5.00          108.10          10.1273
 11.90 %  2007                      5.00          108.105         10.1263
 11.00 %  2006                     20.00          104.10          10.0109
 11.00 %  2006                     10.00          104.08          10.0156
 11.00 %  2006                      5.00          104.00          10.0344
 11.68 %  2006                      5.00          106.45          10.0468
 11.68 %  2006                      5.00          106.37          10.0661
 11.68 %  2006                      5.00          106.37          10.0661
 11.68 %  2006                      5.00          106.37          10.0661
 11.19 %  2005                      5.00          104.815          9.8449
 11.19 %  2005                      5.00          104.805          9.8476
 11.19 %  2005                      5.00          104.82           9.8436
 11.19 %  2005                      5.00          104.83           9.8409
 11.19 %  2005                      5.00          104.83           9.8409
 11.19 %  2005                      0.90          104.81           9.84633
 11.30 %  2010                      5.00          105.15          10.4318
 11.30 %  2010                      5.00          105.12          10.4367
 11.30 %  2010                      5.00          105.20          10.4237
 11.30 %  2010                      5.00          105.25          10.4156
 11.30 %  2010                      5.00          105.18          10.4269
 11.30 %  2010                      5.00          104.84          10.4824
 11.30 %  2010                      5.00          105.19          10.4253
 11.30 %  2010                      5.00          105.19          10.4253
 11.30 %  2010                      5.00          105.19          10.4253
 11.30 %  2010                      5.00          105.20          10.4237
 11.30 %  2010                      5.00          105.28          10.4107
 11.30 %  2010                      5.00          105.135         10.4343
 11.30 %  2010                      5.00          105.16          10.4302
 11.30 %  2010                      5.00          105.19          10.4253
 11.30 %  2010                      5.00          105.30          10.4074
 11.30 %  2010                      5.00          105.30          10.4074
 11.30 %  2010                      5.00          105.20          10.4237
 11.30 %  2010                      5.00          105.15          10.4318
 11.30 %  2010                      5.00          105.15          10.4318
 11.30 %  2010                     10.00          105.31          10.4058
 11.30 %  2010                      5.00          105.30          10.4074
 11.30 %  2010                      5.00          105.20          10.4237
 11.30 %  2010                      5.00          105.07          10.4449
 11.30 %  2010                      5.00          105.14          10.4334
 11.30 %  2010                     10.00          105.20          10.4237
 11.30 %  2010                      5.00          105.15          10.4318
 12.25 %  2010                     10.00          109.62          10.6066
 12.25 %  2010                      5.00          109.65          10.6018
 12.25 %  2010                      5.00          109.65          10.6018
 12.25 %  2010                     15.00          109.61          10.6082
 12.25 %  2010                      5.00          109.62          10.6066
 12.25 %  2010                      5.00          109.62          10.6066
 12.25 %  2010                     10.00          109.70          10.5938
 12.25 %  2010                      5.00          109.58          10.6130
 12.25 %  2010                      5.00          109.60          10.6098
 12.25 %  2010                     10.00          109.62          10.6066
 12.25 %  2010                     10.00          109.56          10.6162
 12.25 %  2010                      5.00          109.60          10.6098
 12.25 %  2010                      5.00          109.58          10.6130
 12.25 %  2010                      5.00          109.50          10.6258
 12.25 %  2010                     10.00          109.55          10.6178
 12.25 %  2010                     10.00          109.55          10.6178
 12.25 %  2010                      5.00          109.56          10.6162
 11.50 %  2009                     10.00          105.80          10.4312
 11.99 %  2009                      5.00          109.05          10.3190
 11.99 %  2009                      5.00          108.92          10.3416
 11.99 %  2009                      5.00          108.84          10.3555
 11.99 %  2009                      5.00          108.95          10.3364
 11.99 %  2009                     10.00          108.96          10.3347
 11.99 %  2009                     15.00          108.90          10.3451
 11.99 %  2009                      5.00          108.96          10.3347
 11.99 %  2009                      5.00          108.98          10.3312
 11.99 %  2009                      5.00          108.90          10.3451
 11.99 %  2009                      5.00          108.81          10.3607
 11.99 %  2009                      5.00          108.97          10.33294
 11.03 %  2012                      5.00          103.00          10.5709
 11.03 %  2012                      5.00          103.08          10.5590
 11.03 %  2012                      5.00          103.07          10.5605
 11.03 %  2012                      5.00          103.06          10.5620
 11.03 %  2012                      5.00          102.895         10.5866
 11.03 %  2012                      5.00          103.07          10.5605
 11.03 %  2012                      5.00          103.00          10.5709
 11.03 %  2012                      5.00          103.00          10.5709
 11.03 %  2012                      5.00          102.97          10.5754
 11.03 %  2012                      5.00          103.05          10.5635
 11.03 %  2012                      0.50          103.10          10.5560
 10.25 %  2012                      5.00           98.70          10.4439
 11.50 %  2011                      5.00          105.70          10.5965
 11.50 %  2011                     15.00          106.00          10.5512
 11.50 %  2011                      5.00          106.01          10.5497
 11.50 %  2011                      5.00          105.94          10.5603
 10.95 %  2011                      0.20          102.25          10.5816
 12.32 %  2011                      5.00          110.05          10.6608
 12.32 %  2011                      5.00          110.12          10.6500
 11.30 %  2010                      5.00          105.15          10.4318
 11.30 %  2010                      5.00          105.17          10.4286
 11.30 %  2010                      5.00          105.13          10.4351
 11.30 %  2010                      5.00          105.20          10.4237
 11.30 %  2010                      5.00          105.20          10.4237
 11.30 %  2010                      5.00          105.13          10.4351
 11.30 %  2010                      5.00          105.20          10.4237
 11.30 %  2010                      5.00          105.20          10.4237
 11.30 %  2010                     10.00          105.20          10.4237
 11.30 %  2010                     10.00          105.20          10.4237
 11.30 %  2010                      5.00          105.20          10.4237
 11.30 %  2010                      5.00          105.18          10.4269
 11.30 %  2010                      5.00          105.17          10.4286
 11.30 %  2010                      5.00          105.20          10.4237
 11.30 %  2010                     10.00          105.20          10.4237
 11.30 %  2010                      5.00          105.20          10.4237
 11.30 %  2010                      5.00          105.20          10.4237
 11.30 %  2010                      5.00          105.30          10.4074
 11.30 %  2010                      5.00          105.18          10.4269
 11.30 %  2010                      5.00          105.30          10.4074
 11.30 %  2010                      5.00          105.26          10.4139
 11.30 %  2010                      5.00          105.15          10.4318
 11.30 %  2010                      5.00          105.15          10.4318
 11.30 %  2010                      5.00          105.17          10.4286
 11.30 %  2010                      5.00          105.08          10.4432
 11.30 %  2010                      5.00          105.15          10.4318
 11.30 %  2010                      5.00          105.15          10.4318
 11.30 %  2010                      5.00          105.14          10.4334
 11.30 %  2010                      5.00          105.12          10.4367
 11.30 %  2010                      5.00          105.21          10.4221
 11.30 %  2010                      5.00          105.25          10.4156
 11.30 %  2010                      5.00          105.30          10.4074
 11.30 %  2010                      5.00          105.30          10.4074
 11.30 %  2010                     10.00          105.30          10.4074
 11.30 %  2010                      5.00          105.13          10.4351
 11.30 %  2010                      5.00          105.12          10.43675
 12.30 %  2016                      5.00          110.05          10.9342
 12.30 %  2016                      5.00          110.00          10.9405
 12.30 %  2016                      5.00          110.00          10.9405
 12.30 %  2016                      5.00          110.05          10.9342
 12.30 %  2016                      3.70          110.00          10.9405
 11.43 %  2015                      5.00          105.01          10.7404
 11.43 %  2015                      5.00          105.01          10.7404
 11.43 %  2015                      5.00          105.10          10.7284
 11.43 %  2015                      5.00          105.00          10.7417
 11.43 %  2015                      5.00          105.00          10.7417
 11.43 %  2015                      5.00          105.05          10.7351
 11.43 %  2015                      5.00          105.05          10.7351
 11.43 %  2015                      5.00          104.80          10.7682
 11.43 %  2015                     10.00          105.05          10.7351
 11.43 %  2015                      5.00          105.05          10.7351
 11.43 %  2015                      5.00          104.525         10.8049
 11.43 %  2015                     10.00          105.12          10.7258
 11.43 %  2015                      5.00          104.845         10.7623
 11.43 %  2015                      5.00          104.975         10.7450
 11.43 %  2015                      0.50          105.04          10.7364
 11.43 %  2015                      0.50          105.02          10.7390
 11.43 %  2015                      5.00          105.04          10.7364
 11.43 %  2015                     10.00          105.15          10.7218
 11.43 %  2015                      5.00          105.03          10.7377
 11.43 %  2015                      5.00          105.04          10.7364
 11.43 %  2015                      5.00          104.90          10.7550
 11.43 %  2015                      1.00          104.71          10.7802
 11.43 %  2015                      1.00          104.72          10.7789
 11.50 %  2015                      0.05          102.00          11.2109
 11.83 %  2014                      5.00          107.72          10.7387
 11.83 %  2014                      5.00          107.75          10.7347
 11.83 %  2014                      5.00          107.75          10.7347
 10.50 %  2014                      1.00           98.40          10.7203
 10.00 %  2014                      1.00           95.25          10.6718
 12.40 %  2013                      5.00          111.05          10.7718
 11.03 %  2012                      5.00          103.04          10.5650
 11.03 %  2012                      5.00          103.08          10.5590
 11.03 %  2012                      5.00          103.03          10.5665
 11.03 %  2012                      5.00          102.95          10.5784
 11.03 %  2012                      5.00          103.13          10.5515
 11.03 %  2012                      5.00          103.02          10.5680
 11.03 %  2012                      5.00          103.05          10.5635
 11.03 %  2012                      5.00          103.10          10.5560
 11.03 %  2012                      5.00          103.15          10.5486
 11.03 %  2012                      5.00          103.05          10.5635
 11.03 %  2012                      5.00          103.10          10.5560
 11.03 %  2012                      5.00          103.09          10.5575
 11.03 %  2012                      5.00          103.09          10.5575
 11.03 %  2012                      5.00          103.09          10.5575
 11.03 %  2012                     15.00          103.15          10.5486
 11.03 %  2012                      5.00          103.10          10.5560
 11.03 %  2012                      5.00          103.10          10.5560
 11.03 %  2012                      5.00          103.10          10.5560
 11.03 %  2012                      5.00          103.10          10.5560
 11.03 %  2012                      1.00          102.75          10.60836
 11.68 %  2006                     10.00          106.47          10.0419
 11.68 %  2006                      5.00          106.47          10.0419
 11.19 %  2005                      5.00          104.805          9.8476
 11.19 %  2005                      5.00          104.82           9.8436
 11.19 %  2005                      5.00          104.82           9.8436
 10.20 %  2005                     10.00          101.10           9.8851
  9.90 %  2005                      5.00          100.10           9.8618
 11.30 %  2004                     10.00          104.28           9.8917
 11.98 %  2004                      2.50          106.53           9.7782
 11.98 %  2004                      5.00          106.48           9.7943
 12.59 %  2004                      0.14          106.50          10.2561
 12.50 %  2004                      5.00          107.42           9.6946
 12.50 %  2004                     10.00          107.44           9.6874
 12.50 %  2004                      5.00          107.42           9.6946
 12.50 %  2004                     15.00          107.42           9.6946
 12.50 %  2004                      5.00          107.45           9.6838
 12.50 %  2004                     10.00          107.43           9.6910
 12.50 %  2004                      5.00          107.42           9.6946
 12.50 %  2004                      5.00          107.42           9.6946
 12.50 %  2004                      5.00          107.44           9.6874
 12.50 %  2004                      5.00          107.435          9.6892
 12.50 %  2004                     15.00          107.45           9.6838
 12.50 %  2004                      5.00          107.43           9.6910
 12.50 %  2004                      5.00          107.45           9.6838
 12.50 %  2004                     10.00          107.44           9.6874
 12.50 %  2004                     10.00          107.44           9.6874
 12.50 %  2004                      5.00          107.44           9.6874
 12.50 %  2004                     10.00          107.45           9.6838
 12.50 %  2004                      5.00          107.44           9.6874
 12.50 %  2004                      5.00          107.43           9.6910
 12.50 %  2004                      5.00          107.43           9.6910
 12.50 %  2004                      5.00          107.42           9.6946
 12.50 %  2004                     10.00          107.43           9.6910
 12.50 %  2004                     10.00          107.43           9.6910
 12.50 %  2004                      5.00          107.43           9.6910
 12.50 %  2004                      5.00          107.435          9.6892
 12.50 %  2004                      5.00          107.46           9.6802
 12.50 %  2004                      5.00          107.44           9.6874
 12.50 %  2004                      5.00          107.43           9.6910
 12.50 %  2004                      5.00          107.43           9.6910
 12.50 %  2004                      5.00          107.46           9.6802
 12.50 %  2004                      5.00          107.43           9.6910
 12.50 %  2004                      5.00          107.425          9.6910
 11.10 %  2003                      0.10          103.00           9.5301
 11.75 %  2001                     10.00          101.11           9.6603
 11.75 %  2001                      0.015         101.50           8.9489
 10.85 %  2001                      1.25          100.60           9.5758
 11.55 %  2001                     10.00          100.72           9.7111
          Contract Date : February 01, 2001
 10.70 %  2020                      1.00           98.45          10.8897
 12.60 %  2018                      0.065         112.75          10.9526
 12.60 %  2018                      5.00          111.89          11.0538
 12.30 %  2016                     10.00          109.95          10.9468
 12.30 %  2016                      5.00          110.03          10.9367
 12.30 %  2016                     15.00          109.95          10.94687
 11.40 %  2008                     10.00          106.30          10.1838
 11.40 %  2008                     10.00          106.30          10.1838
 11.40 %  2008                      5.00          106.17          10.2078
 11.40 %  2008                      5.00          106.30          10.1838
 11.40 %  2008                      5.00          106.23          10.1967
 11.40 %  2008                      5.00          106.28          10.1875
 11.40 %  2008                      5.00          106.26          10.1912
 11.40 %  2008                      5.00          106.36          10.1727
 11.40 %  2008                      5.00          106.30          10.1838
 11.40 %  2008                      5.00          106.30          10.1838
 11.40 %  2008                      5.00          106.30          10.1838
 11.40 %  2008                      5.00          106.25          10.1930
 11.40 %  2008                      5.00          106.26          10.1912
 11.40 %  2008                      5.00          106.33          10.1782
 11.40 %  2008                     10.00          106.22          10.1986
 11.40 %  2008                      5.00          106.20          10.2023
 11.40 %  2008                      5.00          106.28          10.1875
 11.40 %  2008                      5.00          106.28          10.1875
 11.40 %  2008                      5.00          106.30          10.1838
 11.40 %  2008                      5.00          106.28          10.1875
 11.40 %  2008                      5.00          106.20          10.2023
 11.40 %  2008                      5.00          106.36          10.1727
 11.40 %  2008                      5.00          106.27          10.1893
 11.40 %  2008                     10.00          106.35          10.1745
 11.40 %  2008                     10.00          106.20          10.2023
 11.40 %  2008                      5.00          106.25          10.1930
 11.40 %  2008                      5.00          106.30          10.1838
 11.40 %  2008                      5.00          106.24          10.1949
 11.40 %  2008                      5.00          106.29          10.1856
 11.40 %  2008                      5.00          106.33          10.1782
 11.40 %  2008                      5.00          106.23          10.1967
 11.40 %  2008                      5.00          106.35          10.1745
 11.40 %  2008                      5.00          106.35          10.1745
 11.40 %  2008                      5.00          106.31          10.1819
 11.50 %  2007                      5.00          106.05          10.2209
 11.90 %  2007                      5.00          108.16          10.1149
 11.90 %  2007                      5.00          108.13          10.1211
 11.90 %  2007                      5.00          108.14          10.1191
 11.90 %  2007                      5.00          108.15          10.1170
 11.90 %  2007                      5.00          108.145         10.1180
 11.90 %  2007                      5.00          108.15          10.1170
 11.90 %  2007                      5.00          108.14          10.1191
 11.90 %  2007                      5.00          108.16          10.1149
 11.90 %  2007                      5.00          108.12          10.1232
 11.90 %  2007                      5.00          108.12          10.1232
 11.90 %  2007                      5.00          108.12          10.1232
 11.90 %  2007                     10.00          108.15          10.1170
 11.90 %  2007                      5.00          108.25          10.0963
 13.65 %  2007                      1.00          110.90          11.1241
 11.00 %  2006                      5.00          104.12          10.0062
 11.00 %  2006                      5.00          104.12          10.0062
 11.00 %  2006                      5.00          104.125         10.0050
 11.68 %  2006                      5.00          106.48          10.0395
 11.68 %  2006                     20.00          106.44          10.0492
 11.68 %  2006                      5.00          106.44          10.04928
 11.30 %  2010                      5.00          105.37          10.3961
 11.30 %  2010                      5.00          105.28          10.4107
 11.30 %  2010                      5.00          105.29          10.4091
 11.30 %  2010                     10.00          105.22          10.4204
 11.30 %  2010                      5.00          105.33          10.4026
 11.30 %  2010                     10.00          105.22          10.4204
 11.30 %  2010                      5.00          105.24          10.4172
 11.30 %  2010                      5.00          105.29          10.4091
 11.30 %  2010                      5.00          105.34          10.4009
 11.30 %  2010                      5.00          105.35          10.3993
 11.30 %  2010                      5.00          105.31          10.4058
 11.30 %  2010                      5.00          105.36          10.3977
 11.30 %  2010                      5.00          105.29          10.4091
 11.30 %  2010                      5.00          105.29          10.4091
 11.30 %  2010                      5.00          105.28          10.4107
 11.30 %  2010                      5.00          105.28          10.4107
 11.30 %  2010                      5.00          105.30          10.4074
 11.30 %  2010                     10.00          105.28          10.4107
 11.30 %  2010                      5.00          105.26          10.4139
 11.30 %  2010                      5.00          105.35          10.3993
 11.30 %  2010                     10.00          105.205         10.4229
 12.25 %  2010                     10.00          109.62          10.6066
 12.25 %  2010                      5.00          109.66          10.6002
 12.25 %  2010                     10.00          109.60          10.6098
 12.25 %  2010                      5.00          109.61          10.6082
 12.25 %  2010                      5.00          109.61          10.6082
 11.50 %  2010                     20.00          105.90          10.4903
 12.29 %  2010                      5.00          109.56          10.6140
 12.29 %  2010                     10.00          109.60          10.6074
 12.29 %  2010                      5.00          109.60          10.6074
 12.29 %  2010                     10.00          109.57          10.6123
 11.50 %  2009                      5.00          105.90          10.4135
 11.99 %  2009                      5.00          109.00          10.3277
 11.99 %  2009                      5.00          109.00          10.3277
 11.99 %  2009                      5.00          109.03          10.3225
 11.99 %  2009                      5.00          109.01          10.3260
 11.99 %  2009                      5.00          109.00          10.3277
 11.99 %  2009                      5.00          109.00          10.3277
 11.99 %  2009                     10.00          109.00          10.3277
 11.99 %  2009                     10.00          109.05          10.3190
 11.99 %  2009                     10.00          109.02          10.3242
 11.99 %  2009                      5.00          109.00          10.3277
 11.99 %  2009                      5.00          109.00          10.3277
 11.99 %  2009                      5.00          109.01          10.3260
 11.99 %  2009                     10.00          109.01          10.3260
 11.99 %  2009                      5.00          109.04          10.3208
 12.25 %  2008                     10.00          109.60          10.3879
 12.25 %  2008                     20.00          109.60          10.3879
 11.40 %  2008                      5.00          106.28          10.1875
 11.40 %  2008                      5.00          106.26          10.1912
 11.40 %  2008                      5.00          106.29          10.1856
 11.40 %  2008                     10.00          106.28          10.1875
 11.40 %  2008                     10.00          106.28          10.1875
 11.40 %  2008                      5.00          106.30          10.1838
 11.40 %  2008                      5.00          106.29          10.18569
 11.43 %  2015                      5.00          105.05          10.7351
 11.43 %  2015                      5.00          105.03          10.7377
 11.43 %  2015                      5.00          105.01          10.7404
 11.43 %  2015                      5.00          105.02          10.7390
 11.43 %  2015                      5.00          105.00          10.7417
 11.43 %  2015                     10.00          105.40          10.6888
 11.43 %  2015                     10.00          105.05          10.7351
 11.43 %  2015                     10.00          105.12          10.7258
 11.43 %  2015                      5.00          105.01          10.7404
 11.43 %  2015                      5.00          105.01          10.7404
 11.43 %  2015                      5.00          105.01          10.7404
 11.43 %  2015                      5.00          105.03          10.7377
 11.43 %  2015                      5.00          105.01          10.7404
 11.03 %  2012                      5.00          102.95          10.5784
 11.03 %  2012                      5.00          102.90          10.5859
 11.03 %  2012                      5.00          103.04          10.5650
 11.50 %  2011                      5.00          105.94          10.5603
 10.95 %  2011                     15.80          102.69          10.5119
 11.30 %  2010                      5.00          105.27          10.4123
 11.30 %  2010                      5.00          105.26          10.4139
 11.30 %  2010                      5.00          105.26          10.4139
 11.30 %  2010                     10.00          105.30          10.4074
 11.30 %  2010                     10.00          105.31          10.4058
 11.30 %  2010                      5.00          105.32          10.4042
 11.30 %  2010                      5.00          105.36          10.3977
 11.30 %  2010                      5.00          105.35          10.3993
 11.30 %  2010                      5.00          105.35          10.3993
 11.30 %  2010                      5.00          105.32          10.4042
 11.30 %  2010                      5.00          105.30          10.4074
 11.30 %  2010                      5.00          105.18          10.4269
 11.30 %  2010                      5.00          105.30          10.4074
 11.30 %  2010                      5.00          105.30          10.4074
 11.30 %  2010                      5.00          104.795         10.4897
 11.30 %  2010                      5.00          105.30          10.4074
 11.30 %  2010                      5.00          105.30          10.4074
 11.30 %  2010                     10.00          105.35          10.3993
 11.30 %  2010                      5.00          105.35          10.3993
