 
23 Jan 2001 
 
Subsidiary General Ledger Account Transactions in  
Government Dated Securities and Treasury Bills 
at RBI, Mumbai on 22 January 2001 
 
--------------------------------------------------------------------------- 
   Nomenclature                  Amount           Price *        YTM % 
                                 (Face Value)     Per Rs.100   Indicative 
                                 (in Rs.Crore)    nominal 
--------------------------------------------------------------------------- 
I.  Outright Transactions 
A.Government of India Dated Securities 
 11.40 %  2008                      5.00          105.86          10.2672 
 11.40 %  2008                      5.00          105.73          10.2913 
 11.40 %  2008                      5.00          105.83          10.2728 
 11.40 %  2008                      5.00          105.81          10.2765 
 11.40 %  2008                      5.00          105.90          10.2598 
 11.40 %  2008                     15.00          105.83          10.2728 
 11.40 %  2008                      5.00          105.90          10.2598 
 11.40 %  2008                      5.00          105.88          10.2635 
 11.40 %  2008                      5.00          105.93          10.2543 
 11.40 %  2008                      5.00          105.85          10.2691 
 11.40 %  2008                      5.00          105.91          10.2580 
 11.40 %  2008                      5.00          105.85          10.2691 
 11.40 %  2008                     10.00          105.80          10.2783 
 11.40 %  2008                      5.00          105.82          10.2746 
 11.40 %  2008                      5.00          105.91          10.2580 
 12.25 %  2008                      1.00          109.00          10.5009 
 11.99 %  2009                      5.00          108.76          10.3728 
 11.99 %  2009                     20.00          108.765         10.3719 
 11.99 %  2009                     10.00          108.80          10.3658 
 11.99 %  2009                     20.00          108.80          10.3658 
 11.99 %  2009                     10.00          108.81          10.3641 
 11.99 %  2009                      5.00          108.79          10.3675 
 11.99 %  2009                     25.00          108.78          10.3693 
 11.99 %  2009                     10.00          108.78          10.3693 
 12.29 %  2010                      5.00          109.88          10.5638 
 12.29 %  2010                      5.00          109.88          10.5638 
 12.29 %  2010                      5.00          109.82          10.5736 
 12.29 %  2010                      5.00          109.82          10.5736 
 12.29 %  2010                     10.00          109.90          10.5605 
 11.50 %  2010                      5.00          105.55          10.5502 
 11.50 %  2010                      5.00          105.59          10.5436  11.50 %  2010                      5.00          105.52          10.5551 
 12.25 %  2010                      5.00          109.85          10.5740 
 12.25 %  2010                      5.00          109.85          10.5740 
 12.25 %  2010                      5.00          109.88          10.5692 
 12.25 %  2010                      5.00          109.875         10.5700 
 12.25 %  2010                      5.00          109.88          10.5692 
 12.25 %  2010                      5.00          109.90          10.5660 
 12.25 %  2010                      5.00          109.80          10.5819 
 12.25 %  2010                     10.00          109.90          10.5660 
 12.25 %  2010                      5.00          109.84          10.5756 
 12.25 %  2010                      5.00          109.85          10.5740 
 12.25 %  2010                      5.00          109.88          10.5692 
 12.25 %  2010                     10.00          109.88          10.5692 
 12.25 %  2010                      5.00          109.88          10.5692 
 12.25 %  2010                      5.00          109.88          10.5692 
 11.30 %  2010                      5.00          104.95          10.4653 
 11.30 %  2010                      0.096         104.20          10.5881 
 11.30 %  2010                     25.00          104.94          10.4670 
 11.30 %  2010                      5.00          104.94          10.4670 
 11.30 %  2010                      5.00          104.92          10.4702 
 11.30 %  2010                     10.00          104.92          10.4702 
 11.30 %  2010                      5.00          104.91          10.4719 
 11.30 %  2010                      5.00          104.90          10.4735 
 11.30 %  2010                      5.00          104.70          10.5061 
 11.30 %  2010                      5.00          104.85          10.4816 
 11.30 %  2010                      5.00          104.90          10.4735 
 11.30 %  2010                      5.00          104.92          10.4702 
 11.30 %  2010                      5.00          104.74          10.4996 
 11.30 %  2010                      5.00          104.90          10.4735 
 11.30 %  2010                      5.00          104.915         10.4710 
 11.30 %  2010                     25.00          104.85          10.4816 
 11.30 %  2010                      5.00          104.85          10.4816 
 11.30 %  2010                      5.00          104.90          10.4735 
 11.30 %  2010                      5.00          104.86          10.4800 
 11.30 %  2010                      5.00          104.88          10.4767 
 11.30 %  2010                      5.00          104.935         10.4678 
  8.75 %  2010                      0.16           89.70          10.4412 
 12.32 %  2011                      5.00          110.21          10.6380 
 12.32 %  2011                     10.00          110.20          10.6395 
 12.32 %  2011                      5.00          110.25          10.6318 
 10.95 %  2011                      0.30          101.27          10.7392 
 11.50 %  2011                      1.00          104.37          10.7939 
 11.50 %  2011                      5.00          105.78          10.5862 
 11.03 %  2012                     10.12          102.30          10.6777 
 11.03 %  2012                      5.00          102.68          10.6206 
 11.03 %  2012                      5.00          102.70          10.6176 
 11.03 %  2012                      3.00          102.40          10.6626 
 11.03 %  2012                      0.50          102.63          10.6281 
 11.03 %  2012                      3.00          102.05          10.7154 
 11.03 %  2012                      1.00          102.33          10.6732 
 11.03 %  2012                      1.00          102.33          10.6732 
 11.03 %  2012                      5.00          102.73          10.6131 
 11.03 %  2012                      5.00          102.68          10.6206 
 11.03 %  2012                      5.00          102.70          10.6176 
 11.03 %  2012                      5.00          102.67          10.6221 
 11.03 %  2012                      5.00          102.77          10.6071  11.03 %  2012                      5.00          102.745         10.6108 
