in Government Dated Securities and Treasury Bills
at RBI, Mumbai on 19 June 2001
1
 99008  11.68 %  2006               5.00          110.75           8.8783
 99008  11.68 %  2006               5.00          110.76           8.8758
 99008  11.68 %  2006               5.00          110.75           8.8783
 99008  11.68 %  2006               5.00          110.76           8.8758
 99008  11.68 %  2006               5.00          110.70           8.8904
 99008  11.68 %  2006               5.00          110.77           8.8734
 99008  11.68 %  2006               5.00          110.72           8.8856
 99008  11.68 %  2006               5.00          110.80           8.8661
 97010  11.19 %  2005               5.00          108.44           8.7155
 97010  11.19 %  2005               5.00          108.44           8.7155
 97010  11.19 %  2005              10.00          108.44           8.7155
 00011  10.20 %  2005               5.00          103.81           9.0553
 95006  14.00 %  2005               0.01          115.95           9.1210
 00007   9.90 %  2005               5.00          103.74           8.7269
 00007   9.90 %  2005               5.00          103.74           8.7269
 00007   9.90 %  2005               5.00          103.80           8.7087
 00007   9.90 %  2005               5.00          103.80           8.7087
 98022  11.98 %  2004               5.00          108.99           8.7089
 97007  12.59 %  2004               5.00          109.94           8.7512
 97007  12.59 %  2004               5.00          109.90           8.7657
 97007  12.59 %  2004               1.00          109.50           8.9116
 94003  12.50 %  2004               5.00          109.39           8.5973
 94003  12.50 %  2004               5.00          109.36           8.6090
 94003  12.50 %  2004               5.00          109.36           8.6090
 94003  12.50 %  2004              10.00          109.39           8.5973
 94003  12.50 %  2004               5.00          109.36           8.6090
 94003  12.50 %  2004               5.00          109.385          8.5992
 94003  12.50 %  2004               5.00          109.35           8.6129
 94003  12.50 %  2004              10.00          109.37           8.6051
 94003  12.50 %  2004               5.00          109.38           8.6012
 94003  12.50 %  2004               5.00          109.38           8.6012
 94003  12.50 %  2004               5.00          109.35           8.6129
 97011  11.15 %  2002               5.00          103.20           8.2760
 97011  11.15 %  2002               5.00          103.20           8.2760
 97011  11.15 %  2002              10.00          103.22           8.2586
 97004  12.69 %  2002              15.00          103.70           8.2878
 97004  12.69 %  2002               5.00          103.70           8.2878
          Contract Date : June 18, 2001
 98011  11.75 %  2004              10.00          107.70           8.7853
          Contract Date : June 14, 2001
A.Government of India Dated Securities
I.  Outright Transactions
---------------------------------------------------------------------------
                                 (in Rs.Crore)    nominal
 Code                            (Face Value)     Per Rs.100   Indicative
 Loan  Nomenclature              Amount           Price *        YTM %
---------------------------------------------------------------------------
Subsidiary General Ledger Account Transactions2
 00016  11.40 %  2008               5.00          110.46           9.3647
 00016  11.40 %  2008               5.00          110.45           9.3666
 00016  11.40 %  2008               5.00          110.45           9.3666
 00016  11.40 %  2008               5.00          110.45           9.3666
 00016  11.40 %  2008               5.00          110.50           9.3575
 00016  11.40 %  2008               5.00          110.50           9.3575
 00016  11.40 %  2008               5.00          110.50           9.3575
 00016  11.40 %  2008               5.00          110.50           9.3575
 00016  11.40 %  2008               5.00          110.41           9.3738
 00016  11.40 %  2008               5.00          110.44           9.3684
 00016  11.40 %  2008               5.00          110.42           9.3720
 00016  11.40 %  2008               5.00          110.45           9.3666
 00016  11.40 %  2008               5.00          110.45           9.3666
 00016  11.40 %  2008               5.00          110.45           9.3666
 00016  11.40 %  2008               5.00          110.48           9.3611
 00016  11.40 %  2008              10.00          110.44           9.3684
 00016  11.40 %  2008               5.00          110.45           9.3666
 00016  11.40 %  2008               5.00          110.48           9.3611
 00016  11.40 %  2008               5.00          110.48           9.3611
 00016  11.40 %  2008               5.00          110.54           9.3502
 00016  11.40 %  2008              10.00          110.545          9.3493
 00016  11.40 %  2008               5.00          110.48           9.3611
 00016  11.40 %  2008               5.00          110.54           9.3502
 00016  11.40 %  2008               5.00          110.45           9.3666
 00016  11.40 %  2008              15.00          110.54           9.3502
 00016  11.40 %  2008               5.00          110.47           9.3629
 00016  11.40 %  2008               5.00          110.42           9.3720
 00016  11.40 %  2008               5.00          110.44           9.3684
 00016  11.40 %  2008               5.00          110.42           9.3720
 00016  11.40 %  2008              10.00          110.39           9.3775
 00016  11.40 %  2008               5.00          110.45           9.3666
 00016  11.40 %  2008               5.00          110.43           9.3702
 00016  11.40 %  2008               5.00          110.51           9.3557
 00016  11.40 %  2008               5.00          110.51           9.3557
 00016  11.40 %  2008               5.00          110.49           9.3593
 00016  11.40 %  2008               5.00          110.47           9.3629
 00016  11.40 %  2008              15.00          110.51           9.3557
 00016  11.40 %  2008               5.00          110.53           9.3520
 00016  11.40 %  2008               5.00          110.53           9.3520
 00016  11.40 %  2008              10.00          110.52           9.3538
 00016  11.40 %  2008               5.00          110.41           9.3738
 00016  11.40 %  2008               5.00          110.40           9.3756
 88008  11.50 %  2008              10.00          109.71           9.5493
 88008  11.50 %  2008               5.00          109.73           9.5456
 87011  11.50 %  2007               1.00          110.00           9.3559
 98009  11.90 %  2007               5.00          112.54           9.1179
 98009  11.90 %  2007              10.00          112.56           9.1138
