Government Dated Securities and Treasury Bills
Mumbai on 14 February 2001
1
%  2007                      5.00          108.902          9.9545 11.90 
%  2007                      5.00          108.902          9.9545 11.90 
%  2006                      5.00          104.80           9.8400 11.00 
%  2006                      5.00          104.80           9.8400 11.00 
%  2006                      5.00          104.80           9.8400 11.00 
%  2006                     10.00          104.79           9.8424 11.00 
%  2006                     10.00          104.78           9.8447 11.00 
%  2006                     10.00          104.80           9.8400 11.00 
%  2006(INSTA                0.15          113.63          10.4571 13.85 
%  2006(INSTA                0.0455        116.85           9.7353 13.85 
%  2005                     15.00          105.35           9.6939 11.19 
%  2005                      5.00          105.36           9.6912 11.19 
%  2005                     10.00          105.32           9.7020 11.19 
%  2005                     10.00          105.325          9.7007 11.19 
%  2005                     10.00          105.36           9.6912 11.19 
%  2005                     10.00          105.35           9.6939 11.19 
%  2005                     10.00          105.35           9.6939 11.19 
%  2005                      5.00          105.37           9.6885 11.19 
%  2005                      5.00          105.36           9.6912 11.19 
%  2005                     10.00          105.29           9.7102 11.19 
%  2005                      5.00          105.30           9.7074 11.19 
%  2004                      5.00          106.88           9.6501 11.98 
%  2004                     10.00          106.88           9.6501 11.98 
%  2004                     50.00          107.82           9.5270 12.50 
%  2004                      5.00          107.78           9.5414 12.50 
%  2004                      5.00          107.80           9.5342 12.50 
%  2004                      0.065         106.45          10.0254 12.50 
%  2004                     50.00          107.82           9.5270 12.50 
%  2004                     50.00          107.82           9.5270 12.50 
%  2002                     10.00          102.50           9.3715 11.15 
%  2002                      5.00          102.50           9.3715 11.15 
%  2002                      5.00          102.53           9.3506 11.15 
%  2002                      5.00          102.53           9.3506 11.15 
Date : February 13, 2001          Contract 
%  2015                     10.00          106.20          10.6407 11.50 
%  2015                      5.00          100.35          10.4219 10.47 
%  2010                      5.00          106.70          10.1787 11.30 
%  2010                      5.00          106.64          10.1883 11.30 
%  2010                      5.00          106.66          10.1851 11.30 
Date : February 12, 2001          Contract 
A.Government of India Dated Securities
I.  Outright Transactions
---------------------------------------------------------------------------
Rs.Crore)    nominal in                                  (
Rs.100   Indicative                                 (Face Value)     Per 
Nomenclature                  Amount           Price *        YTM %   
---------------------------------------------------------------------------
at RBI, 
