Government Dated Securities and Treasury Bills
Mumbai on 06 February 2001
1
%  2006                      5.00          106.845         10.0197 11.75 
%  2006                      5.50          106.65           9.9960 11.68 
%  2006                      5.00          106.64           9.9984 11.68 
%  2006                      5.00          106.62          10.0032 11.68 
%  2005                      5.00          104.92           9.8147 11.19 
%  2005                      6.50          101.33           9.8191 10.20 
%  2005                      5.00          101.28           9.8332 10.20 
%  2005                      5.00          101.30           9.8276 10.20 
%  2005                      5.00          101.30           9.8276 10.20 
%  2005                     30.00          101.28           9.8332 10.20 
%  2005                      5.00          100.20           9.8323  9.90 
%  2005                      5.00          100.19           9.8352  9.90 
%  2004                      5.00          106.57           9.7604 11.98 
%  2004                      5.00          106.56           9.7636 11.98 
%  2004                     20.00          105.535          9.7744 11.75 
%  2004                      5.00          107.74           9.8259 12.59 
%  2004                      5.00          104.74           9.7557 11.50 
%  2004                      5.00          104.74           9.7557 11.50 
%  2004                      5.00          107.45           9.6761 12.50 
%  2004                      5.00          107.48           9.6653 12.50 
%  2004                      5.00          107.48           9.6653 12.50 
%  2004                      5.00          107.465          9.6707 12.50 
%  2004                      5.00          107.47           9.6689 12.50 
%  2004                      5.00          107.50           9.6581 12.50 
%  2004                      5.00          107.50           9.6581 12.50 
%  2004                      5.00          107.50           9.6581 12.50 
%  2004                     10.00          107.44           9.6797 12.50 
%  2004                     25.00          107.45           9.6761 12.50 
%  2003                      5.00          102.87           9.5897 11.10 
%  2003                      5.00          102.87           9.5897 11.10 
%  2003                      5.00          102.87           9.5897 11.10 
%  2002                      5.00          102.31           9.5221 11.15 
%  2002                     10.00          102.34           9.5015 11.15 
%  2002                      5.00          102.35           9.4946 11.15 
%  2002                      5.00          102.35           9.4946 11.15 
%  2002                     10.00          102.915          9.5513 11.68 
%  2001                      5.00          100.79           9.4812 11.55 
%  2001                      2.00          100.82           9.4057 11.55 
Date : February 05, 2001          Contract 
A. Government of India Dated Securities
I.  Outright Transactions
---------------------------------------------------------------------------
Rs.Crore)    nominal in                                  (
Rs.100   Indicative                                 (Face Value)     Per 
Nomenclature                  Amount           Price *        YTM %   
---------------------------------------------------------------------------
at RBI, 
Subsidiary General Ledger Account Transactions in2
%  2008                      5.00          106.24          10.1941 11.40 
%  2008                      5.00          106.24          10.1941 11.40 
%  2008                      5.00          106.24          10.1941 11.40 
%  2008                      5.00          106.24          10.1941 11.40 
%  2008                      5.00          106.22          10.1978 11.40 
%  2008                      5.00          106.22          10.1978 11.40 
%  2008                      5.00          106.22          10.1978 11.40 
%  2008                      5.00          106.21          10.1997 11.40 
%  2008                      5.00          106.205         10.2006 11.40 
%  2008                      5.00          106.23          10.1960 11.40 
%  2008                      5.00          106.15          10.2108 11.40 
%  2008                      5.00          106.23          10.1960 11.40 
%  2008                      5.00          106.19          10.2034 11.40 
%  2008                      5.00          106.21          10.1997 11.40 
%  2008                     10.00          106.18          10.2052 11.40 
