in Government Dated Securities and Treasury Bills
at RBI, Mumbai on 02 August 2001
1
97010  11.19 %  2005               5.00          111.54           7.7967 
97010  11.19 %  2005               5.00          111.54           7.7967 
90009  11.25 %  2005              10.00          111.00           7.8835 
90009  11.25 %  2005              10.00          111.00           7.8835 
85006  10.50 %  2005               1.00          104.35           9.1129 
00007   9.90 %  2005               5.00          106.62           7.8102 
00007   9.90 %  2005              10.00          106.61           7.8132 
98022  11.98 %  2004               1.00          111.08           7.8782 
98017  11.95 %  2004               5.00          110.99           7.7483 
98011  11.75 %  2004              10.00          110.17           7.7393 
98011  11.75 %  2004              10.00          110.16           7.7430 
98011  11.75 %  2004              10.00          110.17           7.7393 
97007  12.59 %  2004               5.00          112.27           7.7473 
97007  12.59 %  2004              10.00          112.27           7.7473 
97007  12.59 %  2004              10.00          112.30           7.7363 
97007  12.59 %  2004               5.00          112.28           7.7436 
97007  12.59 %  2004              50.00          112.29           7.7400 
94003  12.50 %  2004               5.00          111.547          7.5883 
94003  12.50 %  2004               5.00          111.55           7.5873 
94003  12.50 %  2004               5.00          111.565          7.5814 
94003  12.50 %  2004               5.00          111.555          7.5853 
94003  12.50 %  2004               5.00          111.565          7.5814 
94003  12.50 %  2004               5.00          111.565          7.5814 
94003  12.50 %  2004               5.00          111.55           7.5873 
94003  12.50 %  2004               5.00          111.57           7.5794 
94003  12.50 %  2004               5.00          111.56           7.5834 
94003  12.50 %  2004               5.00          111.567          7.5804 
97008  11.83 %  2003              10.00          107.63           7.5662 
97008  11.83 %  2003              10.00          107.67           7.5449 
97008  11.83 %  2003               5.00          107.67           7.5449 
97008  11.83 %  2003               5.00          107.65           7.5556 
97008  11.83 %  2003              10.00          107.64           7.5609 
97008  11.83 %  2003               5.00          107.65           7.5556 
98004  11.10 %  2003               0.45          105.80           7.3587 
94010  11.55 %  2002               1.50          105.00           7.3907 
96016  13.82 %  2002               2.30          106.85           7.3714 
97004  12.69 %  2002              10.00          103.98           7.2776 
98031  11.47 %  2001              40.00          101.44           7.2016 
93009  13.31 %  2001              10.00          101.69           7.3034 
Date : August 01, 2001          Contract 
A.Government of India Dated Securities
I.  Outright Transactions
---------------------------------------------------------------------------
Rs.Crore)    nominal in                                  (
)     Per Rs.100   Indicative Code                            (Face Value
YTM % Loan  Nomenclature              Amount           Price *         
---------------------------------------------------------------------------
Subsidiary General Ledger Account Transactions2
99005  12.32 %  2011              10.00          115.22           9.8187 
99005  12.32 %  2011               5.00          115.22           9.8187 
00014  11.30 %  2010              10.00          112.73           9.1889 
00014  11.30 %  2010              10.00          112.73           9.1889 
00014  11.30 %  2010              10.00          112.72           9.1904 
00014  11.30 %  2010               5.00          112.74           9.1873 
98015  12.25 %  2010              10.00          114.90           9.7116 
98015  12.25 %  2010              10.00          114.89           9.7132 
98015  12.25 %  2010               0.13          114.65           9.7504 
99004  12.29 %  2010               5.00          114.78           9.6963 
99006  11.99 %  2009               5.00          115.48           9.1364 
99006  11.99 %  2009               5.00          115.48           9.1364 
99006  11.99 %  2009               5.00          115.49           9.1347 
