in Government Dated Securities and Treasury Bills
at RBI, Mumbai on 21 May 2001
1
 85006  10.50 %  2005               1.00          103.26           9.5021
 00007   9.90 %  2005               5.00          102.73           9.0538
 00007   9.90 %  2005              10.00          102.68           9.0690
 00007   9.90 %  2005               0.65          102.15           9.2302
 94003  12.50 %  2004              10.00          108.81           8.9135
 94003  12.50 %  2004              25.00          108.75           8.9366
 94003  12.50 %  2004              10.00          108.80           8.9174
 94003  12.50 %  2004              15.00          108.80           8.9174
 98031  11.47 %  2001              10.00          101.45           8.7047
          Contract Date : May 19, 2001
 00015  11.43 %  2015               5.00          108.70          10.2498
 00015  11.43 %  2015               5.00          108.70          10.2498
 00015  11.43 %  2015               5.00          108.70          10.2498
 00015  11.43 %  2015              10.00          108.70          10.2498
 00015  11.43 %  2015               5.00          108.70          10.2498
 00015  11.43 %  2015               5.00          108.56          10.2675
 85007  11.50 %  2015               5.00          107.60          10.4544
 01001  10.47 %  2015               5.00          102.04          10.1864
 01001  10.47 %  2015              15.00          102.04          10.1864
 01001  10.47 %  2015              10.00          102.05          10.1851
 01001  10.47 %  2015              10.00          102.05          10.1851
 01001  10.47 %  2015              10.00          102.03          10.1878
 01001  10.47 %  2015               5.00          102.05          10.1851
 01001  10.47 %  2015               5.00          102.05          10.1851
 01001  10.47 %  2015               5.00          101.98          10.1945
 00012  11.03 %  2012              10.00          106.79          10.0023
 00012  11.03 %  2012               5.00          106.80          10.0008
 00012  11.03 %  2012               5.00          106.805         10.0001
 00012  11.03 %  2012              10.00          106.78          10.0037
 00012  11.03 %  2012              10.00          106.78          10.0037
 80003   7.50 %  2010               5.00           87.75           9.5622
 00016  11.40 %  2008               5.00          109.48           9.5577
 00016  11.40 %  2008              15.00          109.57           9.5413
 00016  11.40 %  2008              10.00          109.58           9.5395
 00016  11.40 %  2008               5.00          109.57           9.5413
 00016  11.40 %  2008               5.00          109.57           9.5413
 96016  13.82 %  2002              15.00          106.15           8.8040
 97011  11.15 %  2002              15.00          102.80           8.7758
 97011  11.15 %  2002              10.00          102.80           8.7758
          Contract Date : May 18, 2001
A.Government of India Dated Securities
I.  Outright Transactions
---------------------------------------------------------------------------
                                 (in Rs.Crore)    nominal
 Code                            (Face Value)     Per Rs.100   Indicative
 Loan  Nomenclature              Amount           Price *        YTM %
---------------------------------------------------------------------------
Subsidiary General Ledger Account Transactions2
 01001  10.47 %  2015              10.00          102.00          10.1918
 01001  10.47 %  2015               0.50          101.50          10.2595
 01001  10.47 %  2015              10.00          102.00          10.1918
 99020  11.83 %  2014              20.00          109.90          10.4441
 99020  11.83 %  2014               5.00          109.90          10.4441
 98021  12.40 %  2013               1.00          111.95          10.6273
 00012  11.03 %  2012              10.00          106.78          10.0036
 00012  11.03 %  2012               5.00          106.79          10.0022
 00012  11.03 %  2012               5.00          106.84           9.9950
 00012  11.03 %  2012               5.00          106.84           9.9950
 00012  11.03 %  2012               1.00          106.68          10.0180
 00012  11.03 %  2012               5.00          106.79          10.0022
 00012  11.03 %  2012               5.00          106.79          10.0022
 00012  11.03 %  2012               5.00          106.79          10.0022
 00012  11.03 %  2012              10.00          106.77          10.0050
 00012  11.03 %  2012               5.00          106.785         10.0029
 00012  11.03 %  2012              10.00          106.785         10.0029
 00012  11.03 %  2012              15.00          106.80          10.0007
 00012  11.03 %  2012               5.00          106.725         10.0115
 00012  11.03 %  2012               5.00          106.79          10.0022
 00012  11.03 %  2012               0.791         106.47          10.0483
 00012  11.03 %  2012               5.00          106.80          10.0007
 00012  11.03 %  2012               5.00          106.80          10.0007
 00012  11.03 %  2012              10.00          106.78          10.0036
 00012  11.03 %  2012               5.00          106.79          10.0022
 00012  11.03 %  2012              10.00          106.79          10.0022
 00012  11.03 %  2012               5.00          106.79          10.0022
 00012  11.03 %  2012              25.00          106.85           9.9935
 00012  11.03 %  2012              10.00          106.78          10.0036
 84005  10.25 %  2012               2.50          100.32          10.1998
 84005  10.25 %  2012               4.00          100.20          10.2181
 91020  12.00 %  2011              10.00          112.20          10.0791
 91012  11.50 %  2011               3.75          109.25          10.0265
 00010  10.95 %  2011              10.00          106.67           9.8855
 00010  10.95 %  2011              10.00          106.67           9.8855
 00010  10.95 %  2011               5.00          106.67           9.8855
 00014  11.30 %  2010               0.50          108.85           9.8113
 00014  11.30 %  2010              10.00          108.945          9.7963
 00014  11.30 %  2010               5.00          108.95           9.7955
 98015  12.25 %  2010               5.00          111.65          10.2488
 98015  12.25 %  2010               5.00          111.53          10.2679
 99006  11.99 %  2009              20.00          110.71           9.9901
 99006  11.99 %  2009               5.00          110.82           9.9710
 99006  11.99 %  2009              15.00          110.71           9.9901
 99006  11.99 %  2009               5.00          110.82           9.9710
 00016  11.40 %  2008               0.25          109.40           9.5719
 00016  11.40 %  2008               5.00          109.57           9.5408
 00016  11.40 %  2008               5.00          109.56           9.5427
 00016  11.40 %  2008               5.00          109.55           9.5445
 00016  11.40 %  2008               5.00          109.56           9.5427
 00016  11.40 %  2008               5.00          109.56           9.5427
 99008  11.68 %  2006              10.00          109.72           9.1642
 97010  11.19 %  2005              15.00          107.33           9.0569
 00011  10.20 %  2005               5.00          103.82           9.0675
 95006  14.00 %  2005               0.50          115.10           9.42653
 00007   9.90 %  2005               5.00          102.71           9.0586
 94003  12.50 %  2004              10.00          108.80           8.9113
 94003  12.50 %  2004               5.00          108.795          8.9132
 94003  12.50 %  2004               5.00          108.80           8.9113
 94003  12.50 %  2004               5.00          108.80           8.9113
 94003  12.50 %  2004               5.00          108.79           8.9152
 94003  12.50 %  2004               0.025         108.50           9.0269
 94003  12.50 %  2004              20.00          108.81           8.9075
 97011  11.15 %  2002               5.00          102.86           8.7118
 97011  11.15 %  2002              10.00          102.87           8.7035
 97011  11.15 %  2002              10.00          102.87           8.7035
 97011  11.15 %  2002              25.00          102.875          8.6994
 97011  11.15 %  2002              10.00          102.87           8.7035
 97011  11.15 %  2002               5.00          102.87           8.7035
 97011  11.15 %  2002              25.00          102.875          8.6994
 97011  11.15 %  2002              25.00          102.875          8.6994
 97011  11.15 %  2002              25.00          102.87           8.7035
          Contract Date : May 21, 2001
 00018  11.60 %  2020               5.00          108.46          10.5661
 00018  11.60 %  2020               5.00          108.46          10.5661
 00018  11.60 %  2020               5.00          108.49          10.5627
 00018  11.60 %  2020               5.00          108.50          10.5616
 00018  11.60 %  2020               5.00          108.45          10.5673
 00018  11.60 %  2020              10.00          108.40          10.5730
 00018  11.60 %  2020               5.00          108.45          10.5673
 00018  11.60 %  2020               5.00          108.45          10.5673
 00018  11.60 %  2020               5.00          108.44          10.5684
 00018  11.60 %  2020              10.00          108.45          10.5673
 00018  11.60 %  2020              10.00          108.40          10.5730
 00018  11.60 %  2020             100.00          108.45          10.5673
 00018  11.60 %  2020              10.00          108.445         10.5678
 00008  10.70 %  2020               5.00          101.35          10.5319
 00008  10.70 %  2020               0.50          101.20          10.5501
 00008  10.70 %  2020               1.50          101.30          10.5380
 00008  10.70 %  2020               1.00          101.30          10.5380
 00008  10.70 %  2020               0.50          101.30          10.5380
 01004  10.45 %  2018               3.00          100.85          10.3411
 01004  10.45 %  2018               0.25          100.85          10.3411
 01004  10.45 %  2018               1.00          100.72          10.3574
 99019  12.30 %  2016               0.07          113.10          10.5444
 00015  11.43 %  2015               5.00          108.62          10.2598
 00015  11.43 %  2015              10.00          108.59          10.2637
 00015  11.43 %  2015               5.00          108.61          10.2611
 00015  11.43 %  2015               5.00          108.57          10.2662
 00015  11.43 %  2015               5.00          108.60          10.2624
 00015  11.43 %  2015              10.00          108.60          10.2624
 00015  11.43 %  2015               2.00          108.65          10.2560
 00015  11.43 %  2015               5.00          108.65          10.2560
 00015  11.43 %  2015               5.00          108.60          10.2624
 00015  11.43 %  2015               5.00          108.60          10.2624
 85007  11.50 %  2015               3.00          107.30          10.4935
 85007  11.50 %  2015               1.00          108.06          10.3946
 85007  11.50 %  2015               2.00          108.00          10.4024
 00009  10.79 %  2015               3.00          103.60          10.2988
 01001  10.47 %  2015              15.00          101.98          10.19454
 00016  11.40 %  2008               5.00          109.57           9.5399
 00016  11.40 %  2008               5.00          109.50           9.5526
 00016  11.40 %  2008               5.00          109.53           9.5472
 00016  11.40 %  2008              10.00          109.49           9.5545
 00016  11.40 %  2008               5.00          109.55           9.5435
 00016  11.40 %  2008               5.00          109.50           9.5526
 00016  11.40 %  2008               5.00          109.51           9.5508
 00016  11.40 %  2008               5.00          109.515          9.5499
 00016  11.40 %  2008               5.00          109.55           9.5435
 00016  11.40 %  2008               5.00          109.55           9.5435
 00016  11.40 %  2008              10.00          109.55           9.5435
 00016  11.40 %  2008              10.00          109.55           9.5435
 00016  11.40 %  2008               5.00          109.52           9.5490
 00016  11.40 %  2008               5.00          109.55           9.5435
 00016  11.40 %  2008               5.00          109.55           9.5435
 00016  11.40 %  2008               5.00          109.515          9.5499
 00016  11.40 %  2008               5.00          109.50           9.5526
 00016  11.40 %  2008               5.00          109.515          9.5499
 00016  11.40 %  2008               5.00          109.535          9.5463
 00016  11.40 %  2008               5.00          109.53           9.5472
 00016  11.40 %  2008               5.00          109.54           9.5454
 00016  11.40 %  2008               5.00          109.49           9.5545
 00016  11.40 %  2008              10.00          109.54           9.5454
 00016  11.40 %  2008               5.00          109.50           9.5526
 00016  11.40 %  2008               5.00          109.50           9.5526
 00016  11.40 %  2008               5.00          109.52           9.5490
 00016  11.40 %  2008               5.00          109.53           9.5472
 98007  12.00 %  2008               7.00          110.16           9.9376
 98009  11.90 %  2007              10.00          111.37           9.3837
 98009  11.90 %  2007               5.00          111.35           9.3878
 98009  11.90 %  2007               5.00          111.385          9.3806
 98005  11.75 %  2006               5.00          109.80           9.2154
 98005  11.75 %  2006              20.00          109.81           9.2130
