in Government Dated Securities and Treasury Bills
at RBI, Mumbai on 06 August 2001
1
00013  11.00 %  2006               5.00          112.37           7.9448 
00013  11.00 %  2006               5.00          112.40           7.9379 
00013  11.00 %  2006               5.00          112.34           7.9517 
00013  11.00 %  2006               5.00          112.34           7.9517 
00013  11.00 %  2006               5.00          112.34           7.9517 
00013  11.00 %  2006               5.00          112.34           7.9517 
00013  11.00 %  2006               5.00          112.34           7.9517 
99008  11.68 %  2006               5.00          114.31           7.9536 
99008  11.68 %  2006               5.00          114.31           7.9536 
99008  11.68 %  2006               5.00          114.31           7.9536 
99008  11.68 %  2006               5.00          114.38           7.9369 
99008  11.68 %  2006               5.00          114.38           7.9369 
97010  11.19 %  2005               5.00          111.735          7.7379 
97010  11.19 %  2005               5.00          111.74           7.7366 
97010  11.19 %  2005              10.00          111.82           7.7146 
97010  11.19 %  2005               5.00          111.72           7.7421 
97010  11.19 %  2005               5.00          111.73           7.7393 
97010  11.19 %  2005               5.00          111.68           7.7530 
00011  10.20 %  2005               5.00          108.15           7.7561 
00011  10.20 %  2005               5.00          108.16           7.7532 
00011  10.20 %  2005               5.00          108.16           7.7532 
00011  10.20 %  2005               5.00          108.15           7.7561 
00011  10.20 %  2005               5.00          108.15           7.7561 
94003  12.50 %  2004               5.00          111.66           7.5310 
94003  12.50 %  2004               5.00          111.70           7.5152 
97011  11.15 %  2002               5.00          103.97           7.2327 
Date : August 04, 2001          Contract 
00012  11.03 %  2012               5.00          110.03           9.5336 
00012  11.03 %  2012               5.00          110.07           9.5280 
00012  11.03 %  2012               5.00          110.03           9.5336 
00012  11.03 %  2012               0.50          110.07           9.5280 
00017  11.50 %  2011              10.00          114.05           9.3429 
01007   9.39 %  2011               5.00          100.805          9.2618 
98009  11.90 %  2007              10.00          116.45           8.2751 
94003  12.50 %  2004               5.00          111.62           7.5511 
94003  12.50 %  2004               5.00          111.62           7.5511 
94003  12.50 %  2004               5.00          111.62           7.5511 
94003  12.50 %  2004              10.00          111.62           7.5511 
94003  12.50 %  2004               5.00          111.62           7.5511 
Date : August 03, 2001          Contract 
A.Government of India Dated Securities
I.  Outright Transactions
---------------------------------------------------------------------------
Rs.Crore)    nominal in                                  (
)     Per Rs.100   Indicative Code                            (Face Value
YTM % Loan  Nomenclature              Amount           Price *         
---------------------------------------------------------------------------
Subsidiary General Ledger Account Transactions2
 00017  11.50 %  2011               5.00          114.18           9.3244
 91012  11.50 %  2011              25.00          113.00           9.4613
 91012  11.50 %  2011               5.00          113.00           9.4613
 91012  11.50 %  2011               5.00          113.00           9.4613
 01007   9.39 %  2011               2.00          100.88           9.2501
 01007   9.39 %  2011               1.00          101.10           9.2159
01007   9.39 %  2011               1.00          100.86           9.2532 
01007   9.39 %  2011               0.50          100.90           9.2470 
01007   9.39 %  2011              25.00          101.00           9.2314 
01007   9.39 %  2011               1.00          100.96           9.2376 
01007   9.39 %  2011               5.00          101.00           9.2314 
01007   9.39 %  2011               1.00          100.85           9.2547 
00010  10.95 %  2011               5.00          110.08           9.3543 
99005  12.32 %  2011               5.00          115.40           9.7903 
99005  12.32 %  2011               5.00          115.40           9.7903 
00014  11.30 %  2010              10.00          112.96           9.1522 
00014  11.30 %  2010               5.00          112.96           9.1522 
00014  11.30 %  2010               5.00          112.96           9.1522 
00014  11.30 %  2010               5.00          112.96           9.1522 
00014  11.30 %  2010               5.00          112.96           9.1522 
00014  11.30 %  2010              15.00          112.95           9.1537 
00014  11.30 %  2010              10.00          112.97           9.1507 
00014  11.30 %  2010               5.00          112.95           9.1537 
98015  12.25 %  2010               5.00          115.03           9.6899 
99004  12.29 %  2010               0.08          116.10           9.4849 
89009  11.50 %  2009               2.00          111.50           9.3788 
99006  11.99 %  2009              10.00          115.62           9.1112 
99006  11.99 %  2009              10.00          115.62           9.1112 
99006  11.99 %  2009               5.00          115.60           9.1145 
00016  11.40 %  2008              15.00          114.93           8.5419 
00016  11.40 %  2008               5.00          114.94           8.5402 
00016  11.40 %  2008               5.00          115.15           8.5035 
00016  11.40 %  2008               5.00          114.99           8.5314 
00016  11.40 %  2008               5.00          115.16           8.5018 
00016  11.40 %  2008               5.00          115.14           8.5053 
00016  11.40 %  2008               5.00          115.13           8.5070 
00016  11.40 %  2008               5.00          114.98           8.5332 
00016  11.40 %  2008               5.00          115.01           8.5279 
00016  11.40 %  2008              10.00          115.12           8.5087 
00016  11.40 %  2008               5.00          115.01           8.5279 
00016  11.40 %  2008               5.00          115.00           8.5297 
00016  11.40 %  2008               5.00          115.00           8.5297 
00016  11.40 %  2008               5.00          115.00           8.5297 
00016  11.40 %  2008               5.00          114.97           8.5349 
00016  11.40 %  2008               5.00          115.00           8.5297 
00016  11.40 %  2008               5.00          114.96           8.5367 
00016  11.40 %  2008               5.00          115.15           8.5035 
00016  11.40 %  2008               5.00          115.14           8.5053 
00016  11.40 %  2008               5.00          115.00           8.5297 
00016  11.40 %  2008               5.00          114.95           8.5384 
00016  11.40 %  2008              10.00          114.93           8.5419 
00016  11.40 %  2008              10.00          114.93           8.5419 
00016  11.40 %  2008               5.00          115.01           8.5279 
00016  11.40 %  2008               5.00          114.94           8.5402 
00016  11.40 %  2008               5.00          114.95           8.5384 3
 00012  11.03 %  2012               5.00          110.23           9.5054
 00012  11.03 %  2012               5.00          110.40           9.4818
 00017  11.50 %  2011              10.00          114.22           9.3188
 00017  11.50 %  2011               5.00          114.215          9.3195
 00017  11.50 %  2011               5.00          114.21           9.3202
 00017  11.50 %  2011               5.00          114.15           9.3286
 00017  11.50 %  2011               5.00          114.22           9.3188
 00017  11.50 %  2011               5.00          114.15           9.3286
 00017  11.50 %  2011               5.00          114.32           9.3048
 00017  11.50 %  2011               5.00          114.33           9.3034
 00017  11.50 %  2011               5.00          114.21           9.3202
 00017  11.50 %  2011               5.00          114.135          9.3306
 00017  11.50 %  2011               5.00          114.21           9.3202
 00017  11.50 %  2011               5.00          114.145          9.3293
 00017  11.50 %  2011              10.00          114.20           9.3216
 00017  11.50 %  2011               5.00          114.20           9.3216
 00017  11.50 %  2011               5.00          114.33           9.3034
 00017  11.50 %  2011               5.00          114.33           9.3034
 00017  11.50 %  2011               5.00          114.20           9.3216
 00017  11.50 %  2011               5.00          114.20           9.3216
 00017  11.50 %  2011              15.00          114.22           9.3188
 00017  11.50 %  2011               5.00          114.21           9.3202
 00017  11.50 %  2011               5.00          114.35           9.3006
 00017  11.50 %  2011               5.00          114.20           9.3216
 00017  11.50 %  2011              10.00          114.35           9.3006
 00017  11.50 %  2011               5.00          114.19           9.3230
 00017  11.50 %  2011               5.00          114.20           9.3216
 00017  11.50 %  2011               5.00          114.16           9.3272
 00017  11.50 %  2011               5.00          114.19           9.3230
 00017  11.50 %  2011               5.00          114.22           9.3188
 00017  11.50 %  2011              10.00          114.22           9.3188
 00017  11.50 %  2011               5.00          114.22           9.3188
 00017  11.50 %  2011              15.00          114.22           9.3188
 00017  11.50 %  2011              20.00          114.21           9.3202
 00017  11.50 %  2011               5.00          114.22           9.3188
 00017  11.50 %  2011               5.00          114.21           9.3202
 00017  11.50 %  2011               5.00          114.205          9.3209
 00017  11.50 %  2011               5.00          114.35           9.3006
 00017  11.50 %  2011               5.00          114.22           9.3188
 00017  11.50 %  2011               5.00          114.22           9.3188
 00017  11.50 %  2011               5.00          114.13           9.3313
 00017  11.50 %  2011               5.00          114.13           9.3313
 00017  11.50 %  2011               5.00          114.13           9.3313
 00017  11.50 %  2011               5.00          114.21           9.3202
 00017  11.50 %  2011               5.00          114.21           9.3202
 00017  11.50 %  2011               5.00          114.21           9.3202
 00017  11.50 %  2011               5.00          114.14           9.3300
 00017  11.50 %  2011              10.00          114.21           9.3202
 00017  11.50 %  2011               5.00          114.22           9.3188
 00017  11.50 %  2011               5.00          114.22           9.3188
 00017  11.50 %  2011               5.00          114.21           9.3202
 00017  11.50 %  2011               5.00          114.33           9.3034
 00017  11.50 %  2011               5.00          114.35           9.3006
 00017  11.50 %  2011               5.00          114.25           9.3146
 00017  11.50 %  2011               5.00          114.19           9.32304
 96016  13.82 %  2002              10.00          106.90           7.2549
 97011  11.15 %  2002               5.00          103.96           7.2241
 97011  11.15 %  2002              25.00          103.95           7.2337
 97011  11.15 %  2002               5.00          103.98           7.2049
 97011  11.15 %  2002               5.00          103.98           7.2049
 97011  11.15 %  2002               5.00          103.98           7.2049
 97011  11.15 %  2002              10.00          103.985          7.2001
 97011  11.15 %  2002               5.00          103.95           7.2337
 97011  11.15 %  2002               5.00          103.95           7.2337
 97011  11.15 %  2002              10.00          103.95           7.2337
 87006  11.00 %  2002               5.00          102.69           7.2824
          Contract Date : August 06, 2001
 01006  10.25 %  2021               1.00          102.125          9.9983
 00008  10.70 %  2020               0.05          105.65          10.0218
 98025  12.60 %  2018               5.00          119.90          10.1338
 01004  10.45 %  2018               2.00          104.63           9.8752
 01004  10.45 %  2018               2.00          104.45           9.8966
 01004  10.45 %  2018               0.30          104.40           9.9026
 01004  10.45 %  2018               1.12          104.27           9.9181
 01001  10.47 %  2015               0.50          104.87           9.8113
 99020  11.83 %  2014               0.09          113.66           9.9489
 82005   9.00 %  2013               1.00           99.29           9.0960
 00012  11.03 %  2012               5.00          110.16           9.5152
 00012  11.03 %  2012               5.00          110.15           9.5166
 00012  11.03 %  2012               5.00          110.15           9.5166
 00012  11.03 %  2012               5.00          110.13           9.5193
 00012  11.03 %  2012               5.00          110.14           9.5179
 00012  11.03 %  2012               5.00          110.36           9.4874
 00012  11.03 %  2012               5.00          110.22           9.5068
 00012  11.03 %  2012               5.00          110.40           9.4818
 00012  11.03 %  2012              15.00          110.40           9.4818
 00012  11.03 %  2012              25.00          110.36           9.4874
 00012  11.03 %  2012              15.00          110.23           9.5054
 00012  11.03 %  2012               5.00          110.22           9.5068
 00012  11.03 %  2012               5.00          110.22           9.5068
 00012  11.03 %  2012               5.00          110.22           9.5068
 00012  11.03 %  2012              20.00          110.22           9.5068
 00012  11.03 %  2012               5.00          110.22           9.5068
 00012  11.03 %  2012               5.00          110.22           9.5068
 00012  11.03 %  2012               5.00          110.22           9.5068
 00012  11.03 %  2012               5.00          110.22           9.5068
 00012  11.03 %  2012               5.00          110.40           9.4818
 00012  11.03 %  2012              10.00          110.37           9.4860
 00012  11.03 %  2012               5.00          110.225          9.5061
 00012  11.03 %  2012               5.00          110.145          9.5172
 00012  11.03 %  2012               5.00          110.145          9.5172
 00012  11.03 %  2012               5.00          110.11           9.5221
 00012  11.03 %  2012               5.00          110.20           9.5096
 00012  11.03 %  2012               5.00          110.22           9.5068
 00012  11.03 %  2012               5.00          110.145          9.5172
 00012  11.03 %  2012               5.00          110.18           9.5124
 00012  11.03 %  2012               0.50          110.14           9.5179
 00012  11.03 %  2012              25.00          110.38           9.4846
 00012  11.03 %  2012               5.00          110.13           9.5193
 00012  11.03 %  2012               5.00          110.20           9.50965
 99008  11.68 %  2006               5.00          114.52           7.9002
 99008  11.68 %  2006               5.00          114.47           7.9121
 99008  11.68 %  2006               5.00          114.47           7.9121
 99008  11.68 %  2006               5.00          114.52           7.9002
 99008  11.68 %  2006               5.00          114.47           7.9121
 99008  11.68 %  2006               5.00          114.47           7.9121
 99008  11.68 %  2006               5.00          114.47           7.9121
 99008  11.68 %  2006               5.00          114.52           7.9002
 99008  11.68 %  2006               5.00          114.51           7.9026
 99008  11.68 %  2006               5.00          114.45           7.9169
 99008  11.68 %  2006               5.00          114.46           7.9145
 99008  11.68 %  2006              10.00          114.48           7.9097
 99008  11.68 %  2006               5.00          114.48           7.9097
 97010  11.19 %  2005               5.00          111.75           7.7303
 97010  11.19 %  2005               5.00          111.80           7.7166
 97010  11.19 %  2005              10.00          111.82           7.7111
 97010  11.19 %  2005               5.00          111.78           7.7221
 97010  11.19 %  2005               5.00          111.80           7.7166
 97010  11.19 %  2005               5.00          111.79           7.7193
 97010  11.19 %  2005               5.00          111.82           7.7111
 97010  11.19 %  2005               5.00          111.82           7.7111
 97010  11.19 %  2005               5.00          111.80           7.7166
 97010  11.19 %  2005               0.40          111.80           7.7166
 97010  11.19 %  2005               5.00          111.80           7.7166
 97010  11.19 %  2005               5.00          111.80           7.7166
 97010  11.19 %  2005               5.00          111.80           7.7166
 00011  10.20 %  2005               5.00          108.22           7.7331
 00011  10.20 %  2005               5.00          108.22           7.7331
 00011  10.20 %  2005              25.00          108.20           7.7388
 00011  10.20 %  2005               5.00          108.22           7.7331
 00007   9.90 %  2005              10.00          106.80           7.7493
 00007   9.90 %  2005              10.00          106.82           7.7433
 00007   9.90 %  2005               5.00          106.84           7.7372
 00007   9.90 %  2005               5.00          106.82           7.7433
 00007   9.90 %  2005               5.00          106.80           7.7493
 00007   9.90 %  2005               5.00          106.82           7.7433
 94003  12.50 %  2004               5.00          111.80           7.4669
 94003  12.50 %  2004               5.00          111.80           7.4669
 94003  12.50 %  2004               5.00          111.795          7.4689
 94003  12.50 %  2004               5.00          111.77           7.4788
 94003  12.50 %  2004               5.00          111.77           7.4788
 94003  12.50 %  2004               5.00          111.81           7.4629
 94003  12.50 %  2004              10.00          111.77           7.4788
 94003  12.50 %  2004               5.00          111.80           7.4669
 94003  12.50 %  2004               5.00          111.80           7.4669
 94003  12.50 %  2004               5.00          111.80           7.4669
 94003  12.50 %  2004               5.00          111.80           7.4669
 94003  12.50 %  2004               5.00          111.80           7.4669
 94003  12.50 %  2004               5.00          111.77           7.4788
 94003  12.50 %  2004              10.00          111.85           7.4471
 94003  12.50 %  2004               5.00          111.79           7.4709
 94003  12.50 %  2004               5.00          111.80           7.4669
 94003  12.50 %  2004               5.00          111.80           7.4669
 94003  12.50 %  2004               5.00          111.80           7.4669
 98004  11.10 %  2003               5.00          105.75           7.36226
 00016  11.40 %  2008               5.00          115.12           8.5074
 00016  11.40 %  2008               5.00          115.15           8.5022
 00016  11.40 %  2008               5.00          115.10           8.5109
 00016  11.40 %  2008               5.00          115.08           8.5144
 00016  11.40 %  2008               5.00          115.08           8.5144
 00016  11.40 %  2008               5.00          115.13           8.5056
 00016  11.40 %  2008               5.00          115.11           8.5091
 00016  11.40 %  2008               5.00          115.12           8.5074
 00016  11.40 %  2008               5.00          115.13           8.5056
 00016  11.40 %  2008              10.00          115.09           8.5126
 00016  11.40 %  2008               5.00          115.10           8.5109
 00016  11.40 %  2008               5.00          115.08           8.5144
 00016  11.40 %  2008               5.00          115.14           8.5039
 00016  11.40 %  2008               5.00          115.135          8.5048
 00016  11.40 %  2008               5.00          115.13           8.5056
 00016  11.40 %  2008               5.00          115.145          8.5030
 00016  11.40 %  2008              10.00          115.14           8.5039
 00016  11.40 %  2008              10.00          115.11           8.5091
 00016  11.40 %  2008               5.00          115.11           8.5091
 00016  11.40 %  2008              10.00          115.14           8.5039
 00016  11.40 %  2008               5.00          115.08           8.5144
 98009  11.90 %  2007               5.00          116.68           8.2255
 98009  11.90 %  2007               5.00          116.68           8.2255
 98009  11.90 %  2007               5.00          116.63           8.2354
 00013  11.00 %  2006               5.00          112.46           7.9213
 00013  11.00 %  2006               5.00          112.48           7.9167
 00013  11.00 %  2006               5.00          112.50           7.9121
 00013  11.00 %  2006               5.00          112.49           7.9144
 00013  11.00 %  2006               5.00          112.50           7.9121
 00013  11.00 %  2006               5.00          112.50           7.9121
 00013  11.00 %  2006               5.00          112.47           7.9190
 00013  11.00 %  2006               5.00          112.38           7.9397
 98005  11.75 %  2006               5.00          114.63           7.9482
 98005  11.75 %  2006               5.00          114.59           7.9577
 98005  11.75 %  2006               5.00          114.61           7.9529
 98005  11.75 %  2006               5.00          114.63           7.9482
 98005  11.75 %  2006               5.00          114.60           7.9553
 98005  11.75 %  2006               5.00          114.63           7.9482
 98005  11.75 %  2006               5.00          114.63           7.9482
 99008  11.68 %  2006               5.00          114.52           7.9002
 99008  11.68 %  2006               5.00          114.475          7.9109
 99008  11.68 %  2006               5.00          114.46           7.9145
 99008  11.68 %  2006              25.00          114.48           7.9097
 99008  11.68 %  2006               5.00          114.50           7.9049
 99008  11.68 %  2006               5.00          114.51           7.9026
 99008  11.68 %  2006               5.00          114.48           7.9097
 99008  11.68 %  2006               5.00          114.47           7.9121
 99008  11.68 %  2006               5.00          114.46           7.9145
 99008  11.68 %  2006               5.00          114.52           7.9002
 99008  11.68 %  2006               5.00          114.49           7.9073
 99008  11.68 %  2006               5.00          114.50           7.9049
 99008  11.68 %  2006               5.00          114.49           7.9073
 99008  11.68 %  2006               5.00          114.45           7.9169
 99008  11.68 %  2006               5.00          114.52           7.9002
 99008  11.68 %  2006               5.00          114.50           7.90497
 01007   9.39 %  2011               5.00          100.93           9.2421
 01007   9.39 %  2011              10.00          101.015          9.2289
 99005  12.32 %  2011              10.00          115.65           9.7521
 99005  12.32 %  2011               5.00          115.65           9.7521
 00014  11.30 %  2010               5.00          113.105          9.1291
 00014  11.30 %  2010               5.00          113.11           9.1283
 00014  11.30 %  2010              10.00          113.05           9.1375
 00014  11.30 %  2010               5.00          113.05           9.1375
 00014  11.30 %  2010              10.00          113.08           9.1329
 00014  11.30 %  2010               5.00          113.08           9.1329
 00014  11.30 %  2010              10.00          113.08           9.1329
 00014  11.30 %  2010               5.00          113.10           9.1299
 00014  11.30 %  2010               5.00          113.12           9.1268
 00014  11.30 %  2010               5.00          113.09           9.1314
 00014  11.30 %  2010               5.00          113.10           9.1299
 00014  11.30 %  2010               5.00          113.08           9.1329
 00014  11.30 %  2010              10.00          113.10           9.1299
 00014  11.30 %  2010               5.00          113.09           9.1314
 00014  11.30 %  2010               5.00          113.09           9.1314
 00014  11.30 %  2010               5.00          113.09           9.1314
 00014  11.30 %  2010               5.00          113.08           9.1329
 00014  11.30 %  2010               5.00          113.09           9.1314
 00014  11.30 %  2010               5.00          113.09           9.1314
 00014  11.30 %  2010               5.00          113.05           9.1375
 00014  11.30 %  2010               5.00          113.08           9.1329
 00014  11.30 %  2010               5.00          113.08           9.1329
 98015  12.25 %  2010               5.00          115.10           9.6780
 99004  12.29 %  2010               5.00          115.08           9.6453
 99006  11.99 %  2009               5.00          115.71           9.0949
 99006  11.99 %  2009              10.00          115.67           9.1016
 99006  11.99 %  2009               5.00          115.70           9.0965
 99006  11.99 %  2009               5.00          115.70           9.0965
 99006  11.99 %  2009               5.00          115.70           9.0965
 99006  11.99 %  2009              10.00          115.65           9.1049
 99006  11.99 %  2009               5.00          115.65           9.1049
 99006  11.99 %  2009              10.00          115.74           9.0899
 99006  11.99 %  2009              10.00          115.71           9.0949
 99006  11.99 %  2009               5.00          115.70           9.0965
 99006  11.99 %  2009              10.00          115.70           9.0965
 99006  11.99 %  2009               5.00          115.70           9.0965
 99006  11.99 %  2009               5.00          115.675          9.1007
 99006  11.99 %  2009               5.00          115.65           9.1049
 99006  11.99 %  2009               5.00          115.65           9.1049
 99006  11.99 %  2009               5.00          115.67           9.1016
 99006  11.99 %  2009               5.00          115.675          9.1007
 99006  11.99 %  2009               5.00          115.65           9.1049
 00016  11.40 %  2008              10.00          115.13           8.5056
 00016  11.40 %  2008               5.00          115.13           8.5056
 00016  11.40 %  2008               5.00          115.08           8.5144
 00016  11.40 %  2008               5.00          115.08           8.5144
 00016  11.40 %  2008               5.00          115.09           8.5126
 00016  11.40 %  2008               5.00          115.11           8.5091
 00016  11.40 %  2008               5.00          115.12           8.5074
 00016  11.40 %  2008               5.00          115.08           8.5144
 00016  11.40 %  2008               5.00          115.095          8.51178
 00017  11.50 %  2011               5.00          114.35           9.3000
 00017  11.50 %  2011               5.00          114.34           9.3013
 00017  11.50 %  2011               5.00          114.31           9.3055
 00017  11.50 %  2011               5.00          114.36           9.2986
 00017  11.50 %  2011              10.00          114.35           9.3000
 00017  11.50 %  2011               5.00          114.36           9.2986
 00017  11.50 %  2011               5.00          114.36           9.2986
 00017  11.50 %  2011               5.00          114.30           9.3069
 00017  11.50 %  2011               5.00          114.34           9.3013
 00017  11.50 %  2011               5.00          114.34           9.3013
 00017  11.50 %  2011              10.00          114.35           9.3000
 00017  11.50 %  2011              15.00          114.22           9.3181
 00017  11.50 %  2011               5.00          114.30           9.3069
 00017  11.50 %  2011               5.00          114.36           9.2986
 00017  11.50 %  2011               5.00          114.36           9.2986
 00017  11.50 %  2011               5.00          114.30           9.3069
 00017  11.50 %  2011               5.00          114.34           9.3013
 00017  11.50 %  2011               5.00          114.35           9.3000
 00017  11.50 %  2011               5.00          114.35           9.3000
 00017  11.50 %  2011               5.00          114.35           9.3000
 00017  11.50 %  2011               5.00          114.35           9.3000
 00017  11.50 %  2011               5.00          114.35           9.3000
 00017  11.50 %  2011               5.00          114.35           9.3000
 00017  11.50 %  2011               5.00          114.32           9.3041
 00017  11.50 %  2011               5.00          114.34           9.3013
 00017  11.50 %  2011               5.00          114.34           9.3013
 00017  11.50 %  2011               5.00          114.335          9.3020
 00017  11.50 %  2011               5.00          114.36           9.2986
 00017  11.50 %  2011               5.00          114.35           9.3000
 00017  11.50 %  2011               5.00          114.30           9.3069
 00017  11.50 %  2011               5.00          114.30           9.3069
 00017  11.50 %  2011               5.00          114.30           9.3069
 00017  11.50 %  2011               5.00          114.30           9.3069
 00017  11.50 %  2011               5.00          114.32           9.3041
 00017  11.50 %  2011               5.00          114.34           9.3013
 00017  11.50 %  2011               5.00          114.30           9.3069
 00017  11.50 %  2011               0.50          114.22           9.3181
 91020  12.00 %  2011               7.35          115.02           9.6490
 01007   9.39 %  2011              10.00          101.00           9.2313
 01007   9.39 %  2011               5.00          100.99           9.2328
 01007   9.39 %  2011               5.00          100.95           9.2390
 01007   9.39 %  2011               5.00          101.02           9.2282
 01007   9.39 %  2011               4.959         100.96           9.2375
 01007   9.39 %  2011               5.00          101.00           9.2313
 01007   9.39 %  2011              10.00          101.00           9.2313
 01007   9.39 %  2011              10.00          100.98           9.2344
 01007   9.39 %  2011              10.00          101.00           9.2313
 01007   9.39 %  2011               5.00          100.98           9.2344
 01007   9.39 %  2011               5.00          101.00           9.2313
 01007   9.39 %  2011               5.00          101.02           9.2282
 01007   9.39 %  2011               5.00          101.02           9.2282
 01007   9.39 %  2011              10.00          101.00           9.2313
 01007   9.39 %  2011               5.00          101.02           9.2282
 01007   9.39 %  2011               5.00          101.02           9.2282
 01007   9.39 %  2011               5.00          101.01           9.22979
 00012  11.03 %  2012               5.00          110.31           9.4937
 00012  11.03 %  2012              10.00          110.30           9.4951
 00012  11.03 %  2012               5.00          110.34           9.4895
 00012  11.03 %  2012               5.00          110.35           9.4882
 00012  11.03 %  2012               5.00          110.36           9.4868
 00012  11.03 %  2012               5.00          110.36           9.4868
 00012  11.03 %  2012               5.00          110.36           9.4868
 00012  11.03 %  2012              10.00          110.35           9.4882
 00012  11.03 %  2012               5.00          110.35           9.4882
 00012  11.03 %  2012               5.00          110.345          9.4889
 00012  11.03 %  2012               5.00          110.32           9.4923
 00012  11.03 %  2012               5.00          110.32           9.4923
 00012  11.03 %  2012               5.00          110.33           9.4909
 00012  11.03 %  2012               5.00          110.30           9.4951
 00012  11.03 %  2012               5.00          110.33           9.4909
 00012  11.03 %  2012               5.00          110.35           9.4882
 00012  11.03 %  2012               5.00          110.34           9.4895
 00012  11.03 %  2012               5.00          110.34           9.4895
 00012  11.03 %  2012               5.00          110.34           9.4895
