in Government Dated Securities and Treasury Bills
at RBI, Mumbai on 09 August 2001
1
00013  11.00 %  2006               5.00          112.45           7.9207 
00013  11.00 %  2006               5.00          112.44           7.9230 
00013  11.00 %  2006               5.00          112.45           7.9207 
00013  11.00 %  2006               5.00          112.44           7.9230 
00013  11.00 %  2006               5.00          112.41           7.9299 
00013  11.00 %  2006               5.00          112.46           7.9184 
98005  11.75 %  2006              10.00          114.505          7.9746 
98005  11.75 %  2006               5.00          114.50           7.9758 
99008  11.68 %  2006               5.00          114.41           7.9231 
99008  11.68 %  2006               5.00          114.43           7.9183 
99008  11.68 %  2006              10.00          114.43           7.9183 
99008  11.68 %  2006               5.00          114.38           7.9303 
99008  11.68 %  2006              10.00          114.34           7.9398 
99008  11.68 %  2006               5.00          114.41           7.9231 
99008  11.68 %  2006               5.00          114.43           7.9183 
99008  11.68 %  2006               5.00          114.42           7.9207 
99008  11.68 %  2006               5.00          114.43           7.9183 
00011  10.20 %  2005              10.00          108.15           7.7500 
95006  14.00 %  2005               0.05          117.90           8.4287 
97007  12.59 %  2004               5.00          112.39           7.6750 
97007  12.59 %  2004               5.00          112.40           7.6714 
94003  12.50 %  2004               5.00          111.73           7.4859 
94003  12.50 %  2004               5.00          111.73           7.4859 
94003  12.50 %  2004               5.00          111.70           7.4979 
94003  12.50 %  2004               5.00          111.70           7.4979 
94003  12.50 %  2004               5.00          111.67           7.5098 
94003  12.50 %  2004               5.00          111.71           7.4939 
94003  12.50 %  2004               5.00          111.70           7.4979 
94003  12.50 %  2004             100.00          111.587          7.5427 
94003  12.50 %  2004               5.00          111.705          7.4959 
94003  12.50 %  2004               5.00          111.705          7.4959 
94003  12.50 %  2004               5.00          111.73           7.4859 
94003  12.50 %  2004               5.00          111.72           7.4899 
98020  11.78 %  2003               1.00          106.91           7.9998 
97011  11.15 %  2002              10.00          103.88           7.2828 
87006  11.00 %  2002               5.00          102.69           7.2566 
Date : August 08, 2001          Contract 
00012  11.03 %  2012               5.00          109.80           9.5646 
00017  11.50 %  2011              10.00          113.84           9.3709 
Date : August 07, 2001          Contract 
A.Government of India Dated Securities
I.  Outright Transactions
---------------------------------------------------------------------------
Rs.Crore)    nominal in                                  (
)     Per Rs.100   Indicative Code                            (Face Value
YTM % Loan  Nomenclature              Amount           Price *         
---------------------------------------------------------------------------
Subsidiary General Ledger Account Transactions2
99006  11.99 %  2009              10.00          115.71           9.0936 
99006  11.99 %  2009              10.00          115.76           9.0853 
99006  11.99 %  2009               5.00          115.60           9.1120 
99006  11.99 %  2009               5.00          115.71           9.0936 
99006  11.99 %  2009               5.00          115.74           9.0886 
99006  11.99 %  2009               5.00          115.73           9.0903 
99006  11.99 %  2009               5.00          115.73           9.0903 
99006  11.99 %  2009              10.00          115.72           9.0920 
99006  11.99 %  2009              10.00          115.71           9.0936 
99006  11.99 %  2009               5.00          115.70           9.0953 
00016  11.40 %  2008               5.00          114.95           8.5357 
00016  11.40 %  2008               5.00          114.97           8.5322 
00016  11.40 %  2008               5.00          114.95           8.5357 
00016  11.40 %  2008               5.00          114.94           8.5375 
00016  11.40 %  2008               5.00          114.94           8.5375 
00016  11.40 %  2008               5.00          114.95           8.5357 
00016  11.40 %  2008              10.00          114.96           8.5340 
00016  11.40 %  2008               5.00          114.95           8.5357 
00016  11.40 %  2008              10.00          114.95           8.5357 
00016  11.40 %  2008               5.00          115.02           8.5235 
00016  11.40 %  2008               5.00          114.95           8.5357 
00016  11.40 %  2008               5.00          115.00           8.5270 
00016  11.40 %  2008               5.00          115.01           8.5252 
00016  11.40 %  2008               5.00          115.00           8.5270 
00016  11.40 %  2008               5.00          115.00           8.5270 
00016  11.40 %  2008               5.00          114.96           8.5340 
00016  11.40 %  2008              25.00          114.90           8.5445 
00016  11.40 %  2008              25.00          114.90           8.5445 
00016  11.40 %  2008              10.00          115.01           8.5252 
00016  11.40 %  2008               5.00          115.00           8.5270 
00016  11.40 %  2008               5.00          114.95           8.5357 
00016  11.40 %  2008              20.00          114.95           8.5357 
00016  11.40 %  2008               5.00          115.01           8.5252 
00016  11.40 %  2008               5.00          115.01           8.5252 
00016  11.40 %  2008               5.00          114.81           8.5602 
00016  11.40 %  2008               5.00          114.97           8.5322 
00016  11.40 %  2008               5.00          114.99           8.5287 
00016  11.40 %  2008               5.00          114.88           8.5480 
00016  11.40 %  2008               5.00          114.98           8.5305 
00016  11.40 %  2008               5.00          114.96           8.5340 
00016  11.40 %  2008               5.00          115.00           8.5270 
00016  11.40 %  2008               5.00          114.99           8.5287 
00016  11.40 %  2008               5.00          114.99           8.5287 
00016  11.40 %  2008               5.00          114.98           8.5305 
00016  11.40 %  2008               5.00          114.99           8.5287 
00016  11.40 %  2008               5.00          114.97           8.5322 
00016  11.40 %  2008               5.00          114.97           8.5322 
00016  11.40 %  2008               5.00          114.84           8.5550 
00016  11.40 %  2008               5.00          114.95           8.5357 
00016  11.40 %  2008               5.00          114.97           8.5322 
00016  11.40 %  2008               5.00          114.79           8.5637 
00016  11.40 %  2008               5.00          114.96           8.5340 
00016  11.40 %  2008               5.00          114.96           8.5340 
00016  11.40 %  2008               5.00          114.96           8.5340 
00013  11.00 %  2006               5.00          112.41           7.9299 3
 00017  11.50 %  2011               5.00          114.12           9.3314
 00017  11.50 %  2011              10.00          114.19           9.3216
 00017  11.50 %  2011               5.00          114.21           9.3188
 00017  11.50 %  2011               5.00          114.17           9.3244
 00017  11.50 %  2011               5.00          114.20           9.3202
 00017  11.50 %  2011               5.00          114.12           9.3314
 00017  11.50 %  2011               5.00          114.15           9.3272
 00017  11.50 %  2011               5.00          114.15           9.3272
 00017  11.50 %  2011               5.00          114.14           9.3286
 00017  11.50 %  2011               5.00          114.12           9.3314
 00017  11.50 %  2011               5.00          114.15           9.3272
 00017  11.50 %  2011               5.00          114.16           9.3258
 00017  11.50 %  2011              10.00          114.13           9.3300
 00017  11.50 %  2011              25.00          114.05           9.3412
 00017  11.50 %  2011              25.00          114.05           9.3412
 00017  11.50 %  2011               5.00          114.12           9.3314
 00017  11.50 %  2011               5.00          114.00           9.3482
 00017  11.50 %  2011               5.00          114.20           9.3202
 00017  11.50 %  2011               5.00          114.18           9.3230
 00017  11.50 %  2011               5.00          114.20           9.3202
 00017  11.50 %  2011              15.00          114.20           9.3202
 00017  11.50 %  2011               5.00          114.20           9.3202
 00017  11.50 %  2011               5.00          114.20           9.3202
 00017  11.50 %  2011               5.00          114.20           9.3202
 00017  11.50 %  2011               5.00          114.20           9.3202
 00017  11.50 %  2011               5.00          113.90           9.3622
 00017  11.50 %  2011               5.00          114.13           9.3300
00017  11.50 %  2011               5.00          114.15           9.3272 
00017  11.50 %  2011               5.00          114.14           9.3286 
00017  11.50 %  2011              10.00          113.98           9.3510 
00017  11.50 %  2011               5.00          114.14           9.3286 
00017  11.50 %  2011               5.00          114.17           9.3244 
00017  11.50 %  2011              10.00          114.16           9.3258 
00017  11.50 %  2011               5.00          114.12           9.3314 
00017  11.50 %  2011              10.00          113.95           9.3552 
00017  11.50 %  2011               5.00          114.12           9.3314 
00017  11.50 %  2011              10.00          114.14           9.3286 
01007   9.39 %  2011               5.00          100.80           9.2622 
01007   9.39 %  2011               0.50          101.01           9.2296 
01007   9.39 %  2011               5.00          100.75           9.2700 
01007   9.39 %  2011               5.00          101.00           9.2311 
99005  12.32 %  2011               5.00          115.49           9.7748 
00014  11.30 %  2010               5.00          113.00           9.1441 
00014  11.30 %  2010               5.00          113.00           9.1441 
00014  11.30 %  2010               5.00          113.00           9.1441 
00014  11.30 %  2010               5.00          113.00           9.1441 
00014  11.30 %  2010               5.00          113.00           9.1441 
00014  11.30 %  2010               5.00          113.00           9.1441 
00014  11.30 %  2010               5.00          113.00           9.1441 
00014  11.30 %  2010               5.00          113.00           9.1441 
00014  11.30 %  2010               5.00          113.00           9.1441 
98015  12.25 %  2010               5.00          115.25           9.6537 
98015  12.25 %  2010               5.00          115.25           9.6537 
98015  12.25 %  2010              10.00          115.25           9.6537 
99004  12.29 %  2010               0.05          116.60           9.4036 4
 84005  10.25 %  2012               0.05          103.85           9.6640
 00017  11.50 %  2011               5.00          114.01           9.3468
 00017  11.50 %  2011              10.00          114.00           9.3482
 00017  11.50 %  2011               5.00          114.20           9.3202
 00017  11.50 %  2011              10.00          114.16           9.3258
 00017  11.50 %  2011               5.00          114.16           9.3258
 00017  11.50 %  2011               5.00          114.17           9.3244
 00017  11.50 %  2011               5.00          114.175          9.3237
 00017  11.50 %  2011               5.00          114.135          9.3293
 00017  11.50 %  2011               5.00          114.14           9.3286
 00017  11.50 %  2011               5.00          114.12           9.3314
 00017  11.50 %  2011               5.00          114.00           9.3482
 00017  11.50 %  2011               5.00          114.155          9.3265
 00017  11.50 %  2011               5.00          114.12           9.3314
 00017  11.50 %  2011               5.00          114.18           9.3230
 00017  11.50 %  2011               5.00          114.20           9.3202
 00017  11.50 %  2011               5.00          114.12           9.3314
 00017  11.50 %  2011               5.00          114.12           9.3314
 00017  11.50 %  2011               5.00          114.17           9.3244
 00017  11.50 %  2011               5.00          114.18           9.3230
 00017  11.50 %  2011               5.00          114.13           9.3300
 00017  11.50 %  2011               5.00          114.15           9.3272
 00017  11.50 %  2011               5.00          114.15           9.3272
 00017  11.50 %  2011               5.00          114.18           9.3230
 00017  11.50 %  2011               5.00          114.18           9.3230
 00017  11.50 %  2011               5.00          114.10           9.3342
 00017  11.50 %  2011               5.00          114.17           9.3244
 00017  11.50 %  2011               5.00          114.18           9.3230
 00017  11.50 %  2011               5.00          114.20           9.3202
 00017  11.50 %  2011               5.00          114.15           9.3272
 00017  11.50 %  2011               5.00          114.15           9.3272
 00017  11.50 %  2011               5.00          114.20           9.3202
 00017  11.50 %  2011               5.00          114.20           9.3202
 00017  11.50 %  2011              10.00          114.14           9.3286
 00017  11.50 %  2011              10.00          114.12           9.3314
 00017  11.50 %  2011               5.00          114.14           9.3286
 00017  11.50 %  2011               5.00          114.13           9.3300
 00017  11.50 %  2011               5.00          114.11           9.3328
 00017  11.50 %  2011               5.00          114.16           9.3258
 00017  11.50 %  2011               5.00          114.14           9.3286
 00017  11.50 %  2011              10.00          114.15           9.3272
 00017  11.50 %  2011               5.00          114.18           9.3230
 00017  11.50 %  2011               5.00          114.17           9.3244
 00017  11.50 %  2011              10.00          114.18           9.3230
 00017  11.50 %  2011               5.00          114.17           9.3244
 00017  11.50 %  2011               5.00          114.18           9.3230
 00017  11.50 %  2011               5.00          114.15           9.3272
 00017  11.50 %  2011              10.00          114.19           9.3216
 00017  11.50 %  2011               5.00          114.15           9.3272
 00017  11.50 %  2011               5.00          114.15           9.3272
 00017  11.50 %  2011               5.00          114.15           9.3272
 00017  11.50 %  2011              20.00          114.15           9.3272
 00017  11.50 %  2011               5.00          114.13           9.3300
 00017  11.50 %  2011               5.00          114.13           9.3300
 00017  11.50 %  2011               5.00          114.12           9.33145
 00012  11.03 %  2012              10.00          110.25           9.5015
 00012  11.03 %  2012               5.00          110.21           9.5071
 00012  11.03 %  2012               5.00          110.20           9.5084
 00012  11.03 %  2012               5.00          110.20           9.5084
 00012  11.03 %  2012               5.00          110.18           9.5112
 00012  11.03 %  2012               5.00          110.15           9.5154
 00012  11.03 %  2012               5.00          110.23           9.5043
 00012  11.03 %  2012               5.00          110.16           9.5140
 00012  11.03 %  2012               5.00          110.21           9.5071
 00012  11.03 %  2012               5.00          110.25           9.5015
 00012  11.03 %  2012               5.00          110.25           9.5015
 00012  11.03 %  2012               5.00          110.21           9.5071
 00012  11.03 %  2012               5.00          110.23           9.5043
 00012  11.03 %  2012               5.00          110.19           9.5098
 00012  11.03 %  2012               5.00          110.19           9.5098
 00012  11.03 %  2012              10.00          110.22           9.5057
 00012  11.03 %  2012               5.00          110.20           9.5084
 00012  11.03 %  2012               5.00          110.20           9.5084
 00012  11.03 %  2012               5.00          110.16           9.5140
 00012  11.03 %  2012               5.00          110.175          9.5119
 00012  11.03 %  2012               5.00          110.21           9.5071
 00012  11.03 %  2012               5.00          110.22           9.5057
 00012  11.03 %  2012               5.00          110.25           9.5015
 00012  11.03 %  2012               5.00          110.18           9.5112
 00012  11.03 %  2012              10.00          110.21           9.5071
 00012  11.03 %  2012               5.00          110.27           9.4987
 00012  11.03 %  2012               5.00          110.20           9.5084
 00012  11.03 %  2012               3.00          109.93           9.5461
 00012  11.03 %  2012               5.00          110.24           9.5029
 00012  11.03 %  2012               5.00          110.00           9.5363
 00012  11.03 %  2012               5.00          110.17           9.5126
 00012  11.03 %  2012               5.00          110.15           9.5154
 00012  11.03 %  2012              10.00          109.95           9.5433
 00012  11.03 %  2012               5.00          110.25           9.5015
 00012  11.03 %  2012               5.00          110.23           9.5043
 00012  11.03 %  2012              10.00          110.25           9.5015
 00012  11.03 %  2012               5.00          110.21           9.5071
 00012  11.03 %  2012               5.00          110.19           9.5098
 00012  11.03 %  2012               5.00          110.10           9.5224
 00012  11.03 %  2012               5.00          110.23           9.5043
 00012  11.03 %  2012              10.00          110.23           9.5043
 00012  11.03 %  2012               5.00          110.23           9.5043
 00012  11.03 %  2012               5.00          110.20           9.5084
 00012  11.03 %  2012              10.00          110.20           9.5084
 00012  11.03 %  2012              10.00          110.20           9.5084
 00012  11.03 %  2012               5.00          110.20           9.5084
 00012  11.03 %  2012               5.00          110.20           9.5084
 00012  11.03 %  2012               5.00          110.17           9.5126
 00012  11.03 %  2012               5.00          110.215          9.5064
 00012  11.03 %  2012               5.00          110.20           9.5084
 00012  11.03 %  2012               5.00          110.25           9.5015
 00012  11.03 %  2012              10.00          109.98           9.5391
 00012  11.03 %  2012               5.00          110.00           9.5363
 00012  11.03 %  2012               5.00          109.98           9.5391
 00012  11.03 %  2012               2.00          109.93           9.54616
 98004  11.10 %  2003               5.00          105.71           7.3706
 98004  11.10 %  2003              25.00          105.74           7.3519
 98004  11.10 %  2003               5.00          105.75           7.3456
 98004  11.10 %  2003              15.00          105.72           7.3644
 97011  11.15 %  2002              10.00          103.88           7.2738
 97011  11.15 %  2002               5.00          103.895          7.2593
 97011  11.15 %  2002               5.00          103.895          7.2593
 97011  11.15 %  2002              10.00          103.90           7.2544
 97011  11.15 %  2002              10.00          103.90           7.2544
 97011  11.15 %  2002               5.00          103.90           7.2544
 97011  11.15 %  2002               5.00          103.90           7.2544
 98019  11.68 %  2002               5.00          104.155          7.2601
 98019  11.68 %  2002              10.00          104.16           7.2549
 98019  11.68 %  2002               5.00          104.16           7.2549
 97004  12.69 %  2002              15.00          103.91           7.2212
 98031  11.47 %  2001               5.00          101.365          7.1481
 94009  11.75 %  2001              25.00          100.197          7.0323
          Contract Date : August 09, 2001
 01006  10.25 %  2021               0.50          102.25           9.9838
 01006  10.25 %  2021               0.09          102.35           9.9724
 01006  10.25 %  2021              10.00          102.05          10.0068
 01006  10.25 %  2021               0.50          102.15           9.9953
 00008  10.70 %  2020               5.00          105.80          10.0046
 98025  12.60 %  2018               1.00          117.85          10.3559
 01004  10.45 %  2018               5.00          104.25           9.9204
 01004  10.45 %  2018               5.00          104.25           9.9204
 01004  10.45 %  2018               5.00          104.45           9.8965
 01004  10.45 %  2018               5.00          104.13           9.9348
 99019  12.30 %  2016               0.10          116.50          10.1281
 85007  11.50 %  2015               0.05          111.30           9.9699
 99020  11.83 %  2014               1.00          113.50           9.9682
 84010  10.50 %  2014               1.00          104.00           9.9454
 01005   9.81 %  2013              10.00          102.01           9.5191
 01005   9.81 %  2013              10.00          102.15           9.4995
 01005   9.81 %  2013               0.55          102.23           9.4882
 82005   9.00 %  2013               5.00           99.25           9.1016
 00012  11.03 %  2012               5.00          109.99           9.5377
 00012  11.03 %  2012              10.00          110.16           9.5140
 00012  11.03 %  2012               5.00          110.15           9.5154
 00012  11.03 %  2012               5.00          110.15           9.5154
 00012  11.03 %  2012               5.00          110.21           9.5071
 00012  11.03 %  2012               5.00          110.21           9.5071
 00012  11.03 %  2012               5.00          110.15           9.5154
 00012  11.03 %  2012               5.00          110.15           9.5154
 00012  11.03 %  2012               5.00          110.215          9.5064
 00012  11.03 %  2012               5.00          110.21           9.5071
 00012  11.03 %  2012               5.00          110.18           9.5112
 00012  11.03 %  2012               5.00          110.15           9.5154
 00012  11.03 %  2012               5.00          110.18           9.5112
 00012  11.03 %  2012               5.00          110.20           9.5084
 00012  11.03 %  2012               5.00          110.20           9.5084
 00012  11.03 %  2012               5.00          110.25           9.5015
 00012  11.03 %  2012              10.00          110.15           9.5154
 00012  11.03 %  2012               5.00          110.24           9.5029
 00012  11.03 %  2012               5.00          110.16           9.51407
 99008  11.68 %  2006              10.00          114.47           7.9071
 99008  11.68 %  2006              10.00          114.47           7.9071
 99008  11.68 %  2006               5.00          114.42           7.9191
 99008  11.68 %  2006               5.00          114.45           7.9119
 99008  11.68 %  2006              10.00          114.43           7.9167
 99008  11.68 %  2006               5.00          114.44           7.9143
 99008  11.68 %  2006               5.00          114.44           7.9143
 99008  11.68 %  2006               5.00          114.40           7.9239
 99008  11.68 %  2006               5.00          114.43           7.9167
 99008  11.68 %  2006               5.00          114.47           7.9071
 99008  11.68 %  2006               5.00          114.44           7.9143
 99008  11.68 %  2006               5.00          114.43           7.9167
 00011  10.20 %  2005               5.00          108.19           7.7370
 00011  10.20 %  2005               5.00          108.20           7.7342
 00011  10.20 %  2005               5.00          108.20           7.7342
 00011  10.20 %  2005               5.00          108.20           7.7342
 00011  10.20 %  2005               5.00          108.18           7.7399
 00011  10.20 %  2005               5.00          108.15           7.7485
 00011  10.20 %  2005               5.00          108.21           7.7313
 00011  10.20 %  2005               5.00          108.19           7.7370
 00011  10.20 %  2005               5.00          108.15           7.7485
 00007   9.90 %  2005               5.00          106.80           7.7454
 00007   9.90 %  2005              10.00          106.82           7.7393
 00007   9.90 %  2005               5.00          106.80           7.7454
 00007   9.90 %  2005              10.00          106.80           7.7454
 98022  11.98 %  2004               5.00          111.69           7.6436
 98022  11.98 %  2004               5.00          111.60           7.6747
 98022  11.98 %  2004               5.00          111.71           7.6367
 98022  11.98 %  2004              10.00          111.71           7.6367
 98011  11.75 %  2004              20.00          110.48           7.5971
 98011  11.75 %  2004              10.00          110.48           7.5971
 97007  12.59 %  2004              10.00          112.43           7.6563
 97007  12.59 %  2004              10.00          112.44           7.6526
 97007  12.59 %  2004               5.00          112.44           7.6526
 97007  12.59 %  2004              10.00          112.41           7.6636
 97007  12.59 %  2004               5.00          112.41           7.6636
 97007  12.59 %  2004              10.00          112.42           7.6599
 94003  12.50 %  2004              15.00          111.74           7.4776
 94003  12.50 %  2004              10.00          111.73           7.4816
 94003  12.50 %  2004               5.00          111.72           7.4856
 94003  12.50 %  2004               5.00          111.73           7.4816
 94003  12.50 %  2004               5.00          111.73           7.4816
 94003  12.50 %  2004               5.00          111.73           7.4816
 94003  12.50 %  2004               5.00          111.735          7.4796
 94003  12.50 %  2004               5.00          111.71           7.4895
 94003  12.50 %  2004              10.00          111.74           7.4776
 94003  12.50 %  2004               5.00          111.74           7.4776
 94003  12.50 %  2004               5.00          111.73           7.4816
 94003  12.50 %  2004               5.00          111.745          7.4756
